Shift: 10
kodizom 0 1 2 3 4 5 6
kozdmoi 0 1 4 2 6 5 3
kozidom 0 1 4 3 2 5 6
kozidmo 0 1 4 3 2 6 5
koziodm 0 1 4 3 5 2 6
koziomd 0 1 4 3 5 6 2
kozimdo 0 1 4 3 6 2 5
kozimod 0 1 4 3 6 5 2
kozodim 0 1 4 5 2 3 6
kozodmi 0 1 4 5 2 6 3
kozoidm 0 1 4 5 3 2 6
kozoimd 0 1 4 5 3 6 2
kozomdi 0 1 4 5 6 2 3
kozomid 0 1 4 5 6 3 2
kozmdio 0 1 4 6 2 3 5
kozmdoi 0 1 4 6 2 5 3
kozmido 0 1 4 6 3 2 5
kozmiod 0 1 4 6 3 5 2
kozmodi 0 1 4 6 5 2 3
kozmoid 0 1 4 6 5 3 2
koodizm 0 1 5 2 3 4 6
koodimz 0 1 5 2 3 6 4
koodzim 0 1 5 2 4 3 6
koodzmi 0 1 5 2 4 6 3
koodmiz 0 1 5 2 6 3 4
koodmzi 0 1 5 2 6 4 3
kooidzm 0 1 5 3 2 4 6
kooidmz 0 1 5 3 2 6 4
kooizdm 0 1 5 3 4 2 6
kooizmd 0 1 5 3 4 6 2
kooimdz 0 1 5 3 6 2 4
kooimzd 0 1 5 3 6 4 2
koozdim 0 1 5 4 2 3 6
koozdmi 0 1 5 4 2 6 3
koozidm 0 1 5 4 3 2 6
koozimd 0 1 5 4 3 6 2
koozmdi 0 1 5 4 6 2 3
koozmid 0 1 5 4 6 3 2
koomdiz 0 1 5 6 2 3 4
koomdzi 0 1 5 6 2 4 3
koomidz 0 1 5 6 3 2 4
koomizd 0 1 5 6 3 4 2
koomzdi 0 1 5 6 4 2 3
koomzid 0 1 5 6 4 3 2
komdizo 0 1 6 2 3 4 5
komdioz 0 1 6 2 3 5 4
komdzio 0 1 6 2 4 3 5
komdzoi 0 1 6 2 4 5 3
komdoiz 0 1 6 2 5 3 4
komdozi 0 1 6 2 5 4 3
komidzo 0 1 6 3 2 4 5
komidoz 0 1 6 3 2 5 4
komizdo 0 1 6 3 4 2 5
komizod 0 1 6 3 4 5 2
komiodz 0 1 6 3 5 2 4
komiozd 0 1 6 3 5 4 2
komzdio 0 1 6 4 2 3 5
komzdoi 0 1 6 4 2 5 3
komzido 0 1 6 4 3 2 5
komziod 0 1 6 4 3 5 2
komzodi 0 1 6 4 5 2 3
komzoid 0 1 6 4 5 3 2
komodiz 0 1 6 5 2 3 4
komodzi 0 1 6 5 2 4 3
komoidz 0 1 6 5 3 2 4
komoizd 0 1 6 5 3 4 2
komozdi 0 1 6 5 4 2 3
komozid 0 1 6 5 4 3 2
kdoizom 0 2 1 3 4 5 6
kdoizmo 0 2 1 3 4 6 5
kdoiozm 0 2 1 3 5 4 6
kdoiomz 0 2 1 3 5 6 4
kdoimzo 0 2 1 3 6 4 5
kdoimoz 0 2 1 3 6 5 4
kdoziom 0 2 1 4 3 5 6
kdozimo 0 2 1 4 3 6 5
kdozoim 0 2 1 4 5 3 6
kdozomi 0 2 1 4 5 6 3
kdozmio 0 2 1 4 6 3 5
kdozmoi 0 2 1 4 6 5 3
kdooizm 0 2 1 5 3 4 6
kdooimz 0 2 1 5 3 6 4
kdoozim 0 2 1 5 4 3 6
kdoozmi 0 2 1 5 4 6 3
kdoomiz 0 2 1 5 6 3 4
kdoomzi 0 2 1 5 6 4 3
kdomizo 0 2 1 6 3 4 5
kdomioz 0 2 1 6 3 5 4
kdomzio 0 2 1 6 4 3 5
kdomzoi 0 2 1 6 4 5 3
kdomoiz 0 2 1 6 5 3 4
kdomozi 0 2 1 6 5 4 3
kdiozom 0 2 3 1 4 5 6
kdiozmo 0 2 3 1 4 6 5
kdioozm 0 2 3 1 5 4 6
kdioomz 0 2 3 1 5 6 4
kdiomzo 0 2 3 1 6 4 5
kdiomoz 0 2 3 1 6 5 4
kdizoom 0 2 3 4 1 5 6
kdizomo 0 2 3 4 1 6 5
kdizoom 0 2 3 4 5 1 6
kdizomo 0 2 3 4 5 6 1
kdizmoo 0 2 3 4 6 1 5
kdizmoo 0 2 3 4 6 5 1
kdioozm 0 2 3 5 1 4 6
kdioomz 0 2 3 5 1 6 4
kdiozom 0 2 3 5 4 1 6
kdiozmo 0 2 3 5 4 6 1
kdiomoz 0 2 3 5 6 1 4
kdiomzo 0 2 3 5 6 4 1
kdimozo 0 2 3 6 1 4 5
kdimooz 0 2 3 6 1 5 4
kdimzoo 0 2 3 6 4 1 5
kdimzoo 0 2 3 6 4 5 1
kdimooz 0 2 3 6 5 1 4
kdimozo 0 2 3 6 5 4 1
kdzoiom 0 2 4 1 3 5 6
kdzoimo 0 2 4 1 3 6 5
kdzooim 0 2 4 1 5 3 6
kdzoomi 0 2 4 1 5 6 3
kdzomio 0 2 4 1 6 3 5
kdzomoi 0 2 4 1 6 5 3
kdzioom 0 2 4 3 1 5 6
kdziomo 0 2 4 3 1 6 5
kdzioom 0 2 4 3 5 1 6
kdziomo 0 2 4 3 5 6 1
kdzimoo 0 2 4 3 6 1 5
kdzimoo 0 2 4 3 6 5 1
kdzooim 0 2 4 5 1 3 6
kdzoomi 0 2 4 5 1 6 3
kdzoiom 0 2 4 5 3 1 6
kdzoimo 0 2 4 5 3 6 1
kdzomoi 0 2 4 5 6 1 3
kdzomio 0 2 4 5 6 3 1
kdzmoio 0 2 4 6 1 3 5
kdzmooi 0 2 4 6 1 5 3
kdzmioo 0 2 4 6 3 1 5
kdzmioo 0 2 4 6 3 5 1
kdzmooi 0 2 4 6 5 1 3
kdzmoio 0 2 4 6 5 3 1
kdooizm 0 2 5 1 3 4 6
kdooimz 0 2 5 1 3 6 4
kdoozim 0 2 5 1 4 3 6
kdoozmi 0 2 5 1 4 6 3
kdoomiz 0 2 5 1 6 3 4
kdoomzi 0 2 5 1 6 4 3
kdoiozm 0 2 5 3 1 4 6
kdoiomz 0 2 5 3 1 6 4
kdoizom 0 2 5 3 4 1 6
kdoizmo 0 2 5 3 4 6 1
kdoimoz 0 2 5 3 6 1 4
kdoimzo 0 2 5 3 6 4 1
kdozoim 0 2 5 4 1 3 6
kdozomi 0 2 5 4 1 6 3
kdoziom 0 2 5 4 3 1 6
kdozimo 0 2 5 4 3 6 1
kdozmoi 0 2 5 4 6 1 3
kdozmio 0 2 5 4 6 3 1
kdomoiz 0 2 5 6 1 3 4
kdomozi 0 2 5 6 1 4 3
kdomioz 0 2 5 6 3 1 4
kdomizo 0 2 5 6 3 4 1
kdomzoi 0 2 5 6 4 1 3
kdomzio 0 2 5 6 4 3 1
kdmoizo 0 2 6 1 3 4 5
kdmoioz 0 2 6 1 3 5 4
kdmozio 0 2 6 1 4 3 5
kdmozoi 0 2 6 1 4 5 3
kdmooiz 0 2 6 1 5 3 4
kdmoozi 0 2 6 1 5 4 3
kdmiozo 0 2 6 3 1 4 5
kdmiooz 0 2 6 3 1 5 4
kdmizoo 0 2 6 3 4 1 5
kdmizoo 0 2 6 3 4 5 1
kdmiooz 0 2 6 3 5 1 4
kdmiozo 0 2 6 3 5 4 1
kdmzoio 0 2 6 4 1 3 5
kdmzooi 0 2 6 4 1 5 3
kdmzioo 0 2 6 4 3 1 5
kdmzioo 0 2 6 4 3 5 1
kdmzooi 0 2 6 4 5 1 3
kdmzoio 0 2 6 4 5 3 1
kdmooiz 0 2 6 5 1 3 4
kdmoozi 0 2 6 5 1 4 3
kdmoioz 0 2 6 5 3 1 4
kdmoizo 0 2 6 5 3 4 1
kdmozoi 0 2 6 5 4 1 3
kdmozio 0 2 6 5 4 3 1
kiodzom 0 3 1 2 4 5 6
kiodzmo 0 3 1 2 4 6 5
kiodozm 0 3 1 2 5 4 6
kiodomz 0 3 1 2 5 6 4
kiodmzo 0 3 1 2 6 4 5
kiodmoz 0 3 1 2 6 5 4
kiozdom 0 3 1 4 2 5 6
kiozdmo 0 3 1 4 2 6 5
kiozodm 0 3 1 4 5 2 6
kiozomd 0 3 1 4 5 6 2
kiozmdo 0 3 1 4 6 2 5
kiozmod 0 3 1 4 6 5 2
kioodzm 0 3 1 5 2 4 6
kioodmz 0 3 1 5 2 6 4
kioozdm 0 3 1 5 4 2 6
kioozmd 0 3 1 5 4 6 2
kioomdz 0 3 1 5 6 2 4
kioomzd 0 3 1 5 6 4 2
kiomdzo 0 3 1 6 2 4 5
kiomdoz 0 3 1 6 2 5 4
kiomzdo 0 3 1 6 4 2 5
kiomzod 0 3 1 6 4 5 2
kiomodz 0 3 1 6 5 2 4
kiomozd 0 3 1 6 5 4 2
kidozom 0 3 2 1 4 5 6
kidozmo 0 3 2 1 4 6 5
kidoozm 0 3 2 1 5 4 6
kidoomz 0 3 2 1 5 6 4
kidomzo 0 3 2 1 6 4 5
kidomoz 0 3 2 1 6 5 4
kidzoom 0 3 2 4 1 5 6
kidzomo 0 3 2 4 1 6 5
kidzoom 0 3 2 4 5 1 6
kidzomo 0 3 2 4 5 6 1
kidzmoo 0 3 2 4 6 1 5
kidzmoo 0 3 2 4 6 5 1
kidoozm 0 3 2 5 1 4 6
kidoomz 0 3 2 5 1 6 4
kidozom 0 3 2 5 4 1 6
kidozmo 0 3 2 5 4 6 1
kidomoz 0 3 2 5 6 1 4
kidomzo 0 3 2 5 6 4 1
kidmozo 0 3 2 6 1 4 5
kidmooz 0 3 2 6 1 5 4
kidmzoo 0 3 2 6 4 1 5
kidmzoo 0 3 2 6 4 5 1
kidmooz 0 3 2 6 5 1 4
kidmozo 0 3 2 6 5 4 1
kizodom 0 3 4 1 2 5 6
kizodmo 0 3 4 1 2 6 5
kizoodm 0 3 4 1 5 2 6
kizoomd 0 3 4 1 5 6 2
kizomdo 0 3 4 1 6 2 5
kizomod 0 3 4 1 6 5 2
kizdoom 0 3 4 2 1 5 6
kizdomo 0 3 4 2 1 6 5
kizdoom 0 3 4 2 5 1 6
kizdomo 0 3 4 2 5 6 1
kizdmoo 0 3 4 2 6 1 5
kizdmoo 0 3 4 2 6 5 1
kizoodm 0 3 4 5 1 2 6
kizoomd 0 3 4 5 1 6 2
kizodom 0 3 4 5 2 1 6
kizodmo 0 3 4 5 2 6 1
kizomod 0 3 4 5 6 1 2
kizomdo 0 3 4 5 6 2 1
kizmodo 0 3 4 6 1 2 5
kizmood 0 3 4 6 1 5 2
kizmdoo 0 3 4 6 2 1 5
kizmdoo 0 3 4 6 2 5 1
kizmood 0 3 4 6 5 1 2
kizmodo 0 3 4 6 5 2 1
kioodzm 0 3 5 1 2 4 6
kioodmz 0 3 5 1 2 6 4
kioozdm 0 3 5 1 4 2 6
kioozmd 0 3 5 1 4 6 2
kioomdz 0 3 5 1 6 2 4
kioomzd 0 3 5 1 6 4 2
kiodozm 0 3 5 2 1 4 6
kiodomz 0 3 5 2 1 6 4
kiodzom 0 3 5 2 4 1 6
kiodzmo 0 3 5 2 4 6 1
kiodmoz 0 3 5 2 6 1 4
kiodmzo 0 3 5 2 6 4 1
kiozodm 0 3 5 4 1 2 6
kiozomd 0 3 5 4 1 6 2
kiozdom 0 3 5 4 2 1 6
kiozdmo 0 3 5 4 2 6 1
kiozmod 0 3 5 4 6 1 2
kiozmdo 0 3 5 4 6 2 1
kiomodz 0 3 5 6 1 2 4
kiomozd 0 3 5 6 1 4 2
kiomdoz 0 3 5 6 2 1 4
kiomdzo 0 3 5 6 2 4 1
kiomzod 0 3 5 6 4 1 2
kiomzdo 0 3 5 6 4 2 1
kimodzo 0 3 6 1 2 4 5
kimodoz 0 3 6 1 2 5 4
kimozdo 0 3 6 1 4 2 5
kimozod 0 3 6 1 4 5 2
kimoodz 0 3 6 1 5 2 4
kimoozd 0 3 6 1 5 4 2
kimdozo 0 3 6 2 1 4 5
kimdooz 0 3 6 2 1 5 4
kimdzoo 0 3 6 2 4 1 5
kimdzoo 0 3 6 2 4 5 1
kimdooz 0 3 6 2 5 1 4
kimdozo 0 3 6 2 5 4 1
kimzodo 0 3 6 4 1 2 5
kimzood 0 3 6 4 1 5 2
kimzdoo 0 3 6 4 2 1 5
kimzdoo 0 3 6 4 2 5 1
kimzood 0 3 6 4 5 1 2
kimzodo 0 3 6 4 5 2 1
kimoodz 0 3 6 5 1 2 4
kimoozd 0 3 6 5 1 4 2
kimodoz 0 3 6 5 2 1 4
kimodzo 0 3 6 5 2 4 1
kimozod 0 3 6 5 4 1 2
kimozdo 0 3 6 5 4 2 1
kzodiom 0 4 1 2 3 5 6
kzodimo 0 4 1 2 3 6 5
kzodoim 0 4 1 2 5 3 6
kzodomi 0 4 1 2 5 6 3
kzodmio 0 4 1 2 6 3 5
kzodmoi 0 4 1 2 6 5 3
kzoidom 0 4 1 3 2 5 6
kzoidmo 0 4 1 3 2 6 5
kzoiodm 0 4 1 3 5 2 6
kzoiomd 0 4 1 3 5 6 2
kzoimdo 0 4 1 3 6 2 5
kzoimod 0 4 1 3 6 5 2
kzoodim 0 4 1 5 2 3 6
kzoodmi 0 4 1 5 2 6 3
kzooidm 0 4 1 5 3 2 6
kzooimd 0 4 1 5 3 6 2
kzoomdi 0 4 1 5 6 2 3
kzoomid 0 4 1 5 6 3 2
kzomdio 0 4 1 6 2 3 5
kzomdoi 0 4 1 6 2 5 3
kzomido 0 4 1 6 3 2 5
kzomiod 0 4 1 6 3 5 2
kzomodi 0 4 1 6 5 2 3
kzomoid 0 4 1 6 5 3 2
kzdoiom 0 4 2 1 3 5 6
kzdoimo 0 4 2 1 3 6 5
kzdooim 0 4 2 1 5 3 6
kzdoomi 0 4 2 1 5 6 3
kzdomio 0 4 2 1 6 3 5
kzdomoi 0 4 2 1 6 5 3
kzdioom 0 4 2 3 1 5 6
kzdiomo 0 4 2 3 1 6 5
kzdioom 0 4 2 3 5 1 6
kzdiomo 0 4 2 3 5 6 1
kzdimoo 0 4 2 3 6 1 5
kzdimoo 0 4 2 3 6 5 1
kzdooim 0 4 2 5 1 3 6
kzdoomi 0 4 2 5 1 6 3
kzdoiom 0 4 2 5 3 1 6
kzdoimo 0 4 2 5 3 6 1
kzdomoi 0 4 2 5 6 1 3
kzdomio 0 4 2 5 6 3 1
kzdmoio 0 4 2 6 1 3 5
kzdmooi 0 4 2 6 1 5 3
kzdmioo 0 4 2 6 3 1 5
kzdmioo 0 4 2 6 3 5 1
kzdmooi 0 4 2 6 5 1 3
kzdmoio 0 4 2 6 5 3 1
kziodom 0 4 3 1 2 5 6
kziodmo 0 4 3 1 2 6 5
kzioodm 0 4 3 1 5 2 6
kzioomd 0 4 3 1 5 6 2
kziomdo 0 4 3 1 6 2 5
kziomod 0 4 3 1 6 5 2
kzidoom 0 4 3 2 1 5 6
kzidomo 0 4 3 2 1 6 5
kzidoom 0 4 3 2 5 1 6
kzidomo 0 4 3 2 5 6 1
kzidmoo 0 4 3 2 6 1 5
kzidmoo 0 4 3 2 6 5 1
kzioodm 0 4 3 5 1 2 6
kzioomd 0 4 3 5 1 6 2
kziodom 0 4 3 5 2 1 6
kziodmo 0 4 3 5 2 6 1
kziomod 0 4 3 5 6 1 2
kziomdo 0 4 3 5 6 2 1
kzimodo 0 4 3 6 1 2 5
kzimood 0 4 3 6 1 5 2
kzimdoo 0 4 3 6 2 1 5
kzimdoo 0 4 3 6 2 5 1
kzimood 0 4 3 6 5 1 2
kzimodo 0 4 3 6 5 2 1
kzoodim 0 4 5 1 2 3 6
kzoodmi 0 4 5 1 2 6 3
kzooidm 0 4 5 1 3 2 6
kzooimd 0 4 5 1 3 6 2
kzoomdi 0 4 5 1 6 2 3
kzoomid 0 4 5 1 6 3 2
kzodoim 0 4 5 2 1 3 6
kzodomi 0 4 5 2 1 6 3
kzodiom 0 4 5 2 3 1 6
kzodimo 0 4 5 2 3 6 1
kzodmoi 0 4 5 2 6 1 3
kzodmio 0 4 5 2 6 3 1
kzoiodm 0 4 5 3 1 2 6
kzoiomd 0 4 5 3 1 6 2
kzoidom 0 4 5 3 2 1 6
kzoidmo 0 4 5 3 2 6 1
kzoimod 0 4 5 3 6 1 2
kzoimdo 0 4 5 3 6 2 1
kzomodi 0 4 5 6 1 2 3
kzomoid 0 4 5 6 1 3 2
kzomdoi 0 4 5 6 2 1 3
kzomdio 0 4 5 6 2 3 1
kzomiod 0 4 5 6 3 1 2
kzomido 0 4 5 6 3 2 1
kzmodio 0 4 6 1 2 3 5
kzmodoi 0 4 6 1 2 5 3
kzmoido 0 4 6 1 3 2 5
kzmoiod 0 4 6 1 3 5 2
kzmoodi 0 4 6 1 5 2 3
kzmooid 0 4 6 1 5 3 2
kzmdoio 0 4 6 2 1 3 5
kzmdooi 0 4 6 2 1 5 3
kzmdioo 0 4 6 2 3 1 5
kzmdioo 0 4 6 2 3 5 1
kzmdooi 0 4 6 2 5 1 3
kzmdoio 0 4 6 2 5 3 1
kzmiodo 0 4 6 3 1 2 5
kzmiood 0 4 6 3 1 5 2
kzmidoo 0 4 6 3 2 1 5
kzmidoo 0 4 6 3 2 5 1
kzmiood 0 4 6 3 5 1 2
kzmiodo 0 4 6 3 5 2 1
kzmoodi 0 4 6 5 1 2 3
kzmooid 0 4 6 5 1 3 2
kzmodoi 0 4 6 5 2 1 3
kzmodio 0 4 6 5 2 3 1
kzmoiod 0 4 6 5 3 1 2
kzmoido 0 4 6 5 3 2 1
koodizm 0 5 1 2 3 4 6
koodimz 0 5 1 2 3 6 4
koodzim 0 5 1 2 4 3 6
koodzmi 0 5 1 2 4 6 3
koodmiz 0 5 1 2 6 3 4
koodmzi 0 5 1 2 6 4 3
kooidzm 0 5 1 3 2 4 6
kooidmz 0 5 1 3 2 6 4
kooizdm 0 5 1 3 4 2 6
kooizmd 0 5 1 3 4 6 2
kooimdz 0 5 1 3 6 2 4
kooimzd 0 5 1 3 6 4 2
koozdim 0 5 1 4 2 3 6
koozdmi 0 5 1 4 2 6 3
koozidm 0 5 1 4 3 2 6
koozimd 0 5 1 4 3 6 2
koozmdi 0 5 1 4 6 2 3
koozmid 0 5 1 4 6 3 2
koomdiz 0 5 1 6 2 3 4
koomdzi 0 5 1 6 2 4 3
koomidz 0 5 1 6 3 2 4
koomizd 0 5 1 6 3 4 2
koomzdi 0 5 1 6 4 2 3
koomzid 0 5 1 6 4 3 2
kodoizm 0 5 2 1 3 4 6
kodoimz 0 5 2 1 3 6 4
kodozim 0 5 2 1 4 3 6
kodozmi 0 5 2 1 4 6 3
kodomiz 0 5 2 1 6 3 4
kodomzi 0 5 2 1 6 4 3
kodiozm 0 5 2 3 1 4 6
kodiomz 0 5 2 3 1 6 4
kodizom 0 5 2 3 4 1 6
kodizmo 0 5 2 3 4 6 1
kodimoz 0 5 2 3 6 1 4
kodimzo 0 5 2 3 6 4 1
kodzoim 0 5 2 4 1 3 6
kodzomi 0 5 2 4 1 6 3
kodziom 0 5 2 4 3 1 6
kodzimo 0 5 2 4 3 6 1
kodzmoi 0 5 2 4 6 1 3
kodzmio 0 5 2 4 6 3 1
kodmoiz 0 5 2 6 1 3 4
kodmozi 0 5 2 6 1 4 3
kodmioz 0 5 2 6 3 1 4
kodmizo 0 5 2 6 3 4 1
kodmzoi 0 5 2 6 4 1 3
kodmzio 0 5 2 6 4 3 1
koiodzm 0 5 3 1 2 4 6
koiodmz 0 5 3 1 2 6 4
koiozdm 0 5 3 1 4 2 6
koiozmd 0 5 3 1 4 6 2
koiomdz 0 5 3 1 6 2 4
koiomzd 0 5 3 1 6 4 2
koidozm 0 5 3 2 1 4 6
koidomz 0 5 3 2 1 6 4
koidzom 0 5 3 2 4 1 6
koidzmo 0 5 3 2 4 6 1
koidmoz 0 5 3 2 6 1 4
koidmzo 0 5 3 2 6 4 1
koizodm 0 5 3 4 1 2 6
koizomd 0 5 3 4 1 6 2
koizdom 0 5 3 4 2 1 6
koizdmo 0 5 3 4 2 6 1
koizmod 0 5 3 4 6 1 2
koizmdo 0 5 3 4 6 2 1
koimodz 0 5 3 6 1 2 4
koimozd 0 5 3 6 1 4 2
koimdoz 0 5 3 6 2 1 4
koimdzo 0 5 3 6 2 4 1
koimzod 0 5 3 6 4 1 2
koimzdo 0 5 3 6 4 2 1
kozodim 0 5 4 1 2 3 6
kozodmi 0 5 4 1 2 6 3
kozoidm 0 5 4 1 3 2 6
kozoimd 0 5 4 1 3 6 2
kozomdi 0 5 4 1 6 2 3
kozomid 0 5 4 1 6 3 2
kozdoim 0 5 4 2 1 3 6
kozdomi 0 5 4 2 1 6 3
kozdiom 0 5 4 2 3 1 6
kozdimo 0 5 4 2 3 6 1
kozdmoi 0 5 4 2 6 1 3
kozdmio 0 5 4 2 6 3 1
koziodm 0 5 4 3 1 2 6
koziomd 0 5 4 3 1 6 2
kozidom 0 5 4 3 2 1 6
kozidmo 0 5 4 3 2 6 1
kozimod 0 5 4 3 6 1 2
kozimdo 0 5 4 3 6 2 1
kozmodi 0 5 4 6 1 2 3
kozmoid 0 5 4 6 1 3 2
kozmdoi 0 5 4 6 2 1 3
kozmdio 0 5 4 6 2 3 1
kozmiod 0 5 4 6 3 1 2
kozmido 0 5 4 6 3 2 1
komodiz 0 5 6 1 2 3 4
komodzi 0 5 6 1 2 4 3
komoidz 0 5 6 1 3 2 4
komoizd 0 5 6 1 3 4 2
komozdi 0 5 6 1 4 2 3
komozid 0 5 6 1 4 3 2
komdoiz 0 5 6 2 1 3 4
komdozi 0 5 6 2 1 4 3
komdioz 0 5 6 2 3 1 4
komdizo 0 5 6 2 3 4 1
komdzoi 0 5 6 2 4 1 3
komdzio 0 5 6 2 4 3 1
komiodz 0 5 6 3 1 2 4
komiozd 0 5 6 3 1 4 2
komidoz 0 5 6 3 2 1 4
komidzo 0 5 6 3 2 4 1
komizod 0 5 6 3 4 1 2
komizdo 0 5 6 3 4 2 1
komzodi 0 5 6 4 1 2 3
komzoid 0 5 6 4 1 3 2
komzdoi 0 5 6 4 2 1 3
komzdio 0 5 6 4 2 3 1
komziod 0 5 6 4 3 1 2
komzido 0 5 6 4 3 2 1
kmodizo 0 6 1 2 3 4 5
kmodioz 0 6 1 2 3 5 4
kmodzio 0 6 1 2 4 3 5
kmodzoi 0 6 1 2 4 5 3
kmodoiz 0 6 1 2 5 3 4
kmodozi 0 6 1 2 5 4 3
kmoidzo 0 6 1 3 2 4 5
kmoidoz 0 6 1 3 2 5 4
kmoizdo 0 6 1 3 4 2 5
kmoizod 0 6 1 3 4 5 2
kmoiodz 0 6 1 3 5 2 4
kmoiozd 0 6 1 3 5 4 2
kmozdio 0 6 1 4 2 3 5
kmozdoi 0 6 1 4 2 5 3
kmozido 0 6 1 4 3 2 5
kmoziod 0 6 1 4 3 5 2
kmozodi 0 6 1 4 5 2 3
kmozoid 0 6 1 4 5 3 2
kmoodiz 0 6 1 5 2 3 4
kmoodzi 0 6 1 5 2 4 3
kmooidz 0 6 1 5 3 2 4
kmooizd 0 6 1 5 3 4 2
kmoozdi 0 6 1 5 4 2 3
kmoozid 0 6 1 5 4 3 2
kmdoizo 0 6 2 1 3 4 5
kmdoioz 0 6 2 1 3 5 4
kmdozio 0 6 2 1 4 3 5
kmdozoi 0 6 2 1 4 5 3
kmdooiz 0 6 2 1 5 3 4
kmdoozi 0 6 2 1 5 4 3
kmdiozo 0 6 2 3 1 4 5
kmdiooz 0 6 2 3 1 5 4
kmdizoo 0 6 2 3 4 1 5
kmdizoo 0 6 2 3 4 5 1
kmdiooz 0 6 2 3 5 1 4
kmdiozo 0 6 2 3 5 4 1
kmdzoio 0 6 2 4 1 3 5
kmdzooi 0 6 2 4 1 5 3
kmdzioo 0 6 2 4 3 1 5
kmdzioo 0 6 2 4 3 5 1
kmdzooi 0 6 2 4 5 1 3
kmdzoio 0 6 2 4 5 3 1
kmdooiz 0 6 2 5 1 3 4
kmdoozi 0 6 2 5 1 4 3
kmdoioz 0 6 2 5 3 1 4
kmdoizo 0 6 2 5 3 4 1
kmdozoi 0 6 2 5 4 1 3
kmdozio 0 6 2 5 4 3 1
kmiodzo 0 6 3 1 2 4 5
kmiodoz 0 6 3 1 2 5 4
kmiozdo 0 6 3 1 4 2 5
kmiozod 0 6 3 1 4 5 2
kmioodz 0 6 3 1 5 2 4
kmioozd 0 6 3 1 5 4 2
kmidozo 0 6 3 2 1 4 5
kmidooz 0 6 3 2 1 5 4
kmidzoo 0 6 3 2 4 1 5
kmidzoo 0 6 3 2 4 5 1
kmidooz 0 6 3 2 5 1 4
kmidozo 0 6 3 2 5 4 1
kmizodo 0 6 3 4 1 2 5
kmizood 0 6 3 4 1 5 2
kmizdoo 0 6 3 4 2 1 5
kmizdoo 0 6 3 4 2 5 1
kmizood 0 6 3 4 5 1 2
kmizodo 0 6 3 4 5 2 1
kmioodz 0 6 3 5 1 2 4
kmioozd 0 6 3 5 1 4 2
kmiodoz 0 6 3 5 2 1 4
kmiodzo 0 6 3 5 2 4 1
kmiozod 0 6 3 5 4 1 2
kmiozdo 0 6 3 5 4 2 1
kmzodio 0 6 4 1 2 3 5
kmzodoi 0 6 4 1 2 5 3
kmzoido 0 6 4 1 3 2 5
kmzoiod 0 6 4 1 3 5 2
kmzoodi 0 6 4 1 5 2 3
kmzooid 0 6 4 1 5 3 2
kmzdoio 0 6 4 2 1 3 5
kmzdooi 0 6 4 2 1 5 3
kmzdioo 0 6 4 2 3 1 5
kmzdioo 0 6 4 2 3 5 1
kmzdooi 0 6 4 2 5 1 3
kmzdoio 0 6 4 2 5 3 1
kmziodo 0 6 4 3 1 2 5
kmziood 0 6 4 3 1 5 2
kmzidoo 0 6 4 3 2 1 5
kmzidoo 0 6 4 3 2 5 1
kmziood 0 6 4 3 5 1 2
kmziodo 0 6 4 3 5 2 1
kmzoodi 0 6 4 5 1 2 3
kmzooid 0 6 4 5 1 3 2
kmzodoi 0 6 4 5 2 1 3
kmzodio 0 6 4 5 2 3 1
