Shift: 0
aetypec 0 1 2 3 4 5 6
aepcety 0 1 4 6 5 2 3
aepceyt 0 1 4 6 5 3 2
aeetypc 0 1 5 2 3 4 6
aeetycp 0 1 5 2 3 6 4
aeetpyc 0 1 5 2 4 3 6
aeetpcy 0 1 5 2 4 6 3
aeetcyp 0 1 5 2 6 3 4
aeetcpy 0 1 5 2 6 4 3
aeeytpc 0 1 5 3 2 4 6
aeeytcp 0 1 5 3 2 6 4
aeeyptc 0 1 5 3 4 2 6
aeeypct 0 1 5 3 4 6 2
aeeyctp 0 1 5 3 6 2 4
aeeycpt 0 1 5 3 6 4 2
aeeptyc 0 1 5 4 2 3 6
aeeptcy 0 1 5 4 2 6 3
aeepytc 0 1 5 4 3 2 6
aeepyct 0 1 5 4 3 6 2
aeepcty 0 1 5 4 6 2 3
aeepcyt 0 1 5 4 6 3 2
aeectyp 0 1 5 6 2 3 4
aeectpy 0 1 5 6 2 4 3
aeecytp 0 1 5 6 3 2 4
aeecypt 0 1 5 6 3 4 2
aeecpty 0 1 5 6 4 2 3
aeecpyt 0 1 5 6 4 3 2
aectype 0 1 6 2 3 4 5
aectyep 0 1 6 2 3 5 4
aectpye 0 1 6 2 4 3 5
aectpey 0 1 6 2 4 5 3
aecteyp 0 1 6 2 5 3 4
aectepy 0 1 6 2 5 4 3
aecytpe 0 1 6 3 2 4 5
aecytep 0 1 6 3 2 5 4
aecypte 0 1 6 3 4 2 5
aecypet 0 1 6 3 4 5 2
aecyetp 0 1 6 3 5 2 4
aecyept 0 1 6 3 5 4 2
aecptye 0 1 6 4 2 3 5
aecptey 0 1 6 4 2 5 3
aecpyte 0 1 6 4 3 2 5
aecpyet 0 1 6 4 3 5 2
aecpety 0 1 6 4 5 2 3
aecpeyt 0 1 6 4 5 3 2
aecetyp 0 1 6 5 2 3 4
aecetpy 0 1 6 5 2 4 3
aeceytp 0 1 6 5 3 2 4
aeceypt 0 1 6 5 3 4 2
aecepty 0 1 6 5 4 2 3
aecepyt 0 1 6 5 4 3 2
ateypec 0 2 1 3 4 5 6
ateypce 0 2 1 3 4 6 5
ateyepc 0 2 1 3 5 4 6
ateyecp 0 2 1 3 5 6 4
ateycpe 0 2 1 3 6 4 5
ateycep 0 2 1 3 6 5 4
atepyec 0 2 1 4 3 5 6
atepyce 0 2 1 4 3 6 5
atepeyc 0 2 1 4 5 3 6
atepecy 0 2 1 4 5 6 3
atepcye 0 2 1 4 6 3 5
atepcey 0 2 1 4 6 5 3
ateeypc 0 2 1 5 3 4 6
ateeycp 0 2 1 5 3 6 4
ateepyc 0 2 1 5 4 3 6
ateepcy 0 2 1 5 4 6 3
ateecyp 0 2 1 5 6 3 4
ateecpy 0 2 1 5 6 4 3
atecype 0 2 1 6 3 4 5
atecyep 0 2 1 6 3 5 4
atecpye 0 2 1 6 4 3 5
atecpey 0 2 1 6 4 5 3
ateceyp 0 2 1 6 5 3 4
atecepy 0 2 1 6 5 4 3
atyepec 0 2 3 1 4 5 6
atyepce 0 2 3 1 4 6 5
atyeepc 0 2 3 1 5 4 6
atyeecp 0 2 3 1 5 6 4
atyecpe 0 2 3 1 6 4 5
atyecep 0 2 3 1 6 5 4
atypeec 0 2 3 4 1 5 6
atypece 0 2 3 4 1 6 5
atypeec 0 2 3 4 5 1 6
atypece 0 2 3 4 5 6 1
atypcee 0 2 3 4 6 1 5
atypcee 0 2 3 4 6 5 1
atyeepc 0 2 3 5 1 4 6
atyeecp 0 2 3 5 1 6 4
atyepec 0 2 3 5 4 1 6
atyepce 0 2 3 5 4 6 1
atyecep 0 2 3 5 6 1 4
atyecpe 0 2 3 5 6 4 1
atycepe 0 2 3 6 1 4 5
atyceep 0 2 3 6 1 5 4
atycpee 0 2 3 6 4 1 5
atycpee 0 2 3 6 4 5 1
atyceep 0 2 3 6 5 1 4
atycepe 0 2 3 6 5 4 1
atpeyec 0 2 4 1 3 5 6
atpeyce 0 2 4 1 3 6 5
atpeeyc 0 2 4 1 5 3 6
atpeecy 0 2 4 1 5 6 3
atpecye 0 2 4 1 6 3 5
atpecey 0 2 4 1 6 5 3
atpyeec 0 2 4 3 1 5 6
atpyece 0 2 4 3 1 6 5
atpyeec 0 2 4 3 5 1 6
atpyece 0 2 4 3 5 6 1
atpycee 0 2 4 3 6 1 5
atpycee 0 2 4 3 6 5 1
atpeeyc 0 2 4 5 1 3 6
atpeecy 0 2 4 5 1 6 3
atpeyec 0 2 4 5 3 1 6
atpeyce 0 2 4 5 3 6 1
atpecey 0 2 4 5 6 1 3
atpecye 0 2 4 5 6 3 1
atpceye 0 2 4 6 1 3 5
atpceey 0 2 4 6 1 5 3
atpcyee 0 2 4 6 3 1 5
atpcyee 0 2 4 6 3 5 1
atpceey 0 2 4 6 5 1 3
atpceye 0 2 4 6 5 3 1
ateeypc 0 2 5 1 3 4 6
ateeycp 0 2 5 1 3 6 4
ateepyc 0 2 5 1 4 3 6
ateepcy 0 2 5 1 4 6 3
ateecyp 0 2 5 1 6 3 4
ateecpy 0 2 5 1 6 4 3
ateyepc 0 2 5 3 1 4 6
ateyecp 0 2 5 3 1 6 4
ateypec 0 2 5 3 4 1 6
ateypce 0 2 5 3 4 6 1
ateycep 0 2 5 3 6 1 4
ateycpe 0 2 5 3 6 4 1
atepeyc 0 2 5 4 1 3 6
atepecy 0 2 5 4 1 6 3
atepyec 0 2 5 4 3 1 6
atepyce 0 2 5 4 3 6 1
atepcey 0 2 5 4 6 1 3
atepcye 0 2 5 4 6 3 1
ateceyp 0 2 5 6 1 3 4
atecepy 0 2 5 6 1 4 3
atecyep 0 2 5 6 3 1 4
atecype 0 2 5 6 3 4 1
atecpey 0 2 5 6 4 1 3
atecpye 0 2 5 6 4 3 1
atceype 0 2 6 1 3 4 5
atceyep 0 2 6 1 3 5 4
atcepye 0 2 6 1 4 3 5
atcepey 0 2 6 1 4 5 3
atceeyp 0 2 6 1 5 3 4
atceepy 0 2 6 1 5 4 3
atcyepe 0 2 6 3 1 4 5
atcyeep 0 2 6 3 1 5 4
atcypee 0 2 6 3 4 1 5
atcypee 0 2 6 3 4 5 1
atcyeep 0 2 6 3 5 1 4
atcyepe 0 2 6 3 5 4 1
atcpeye 0 2 6 4 1 3 5
atcpeey 0 2 6 4 1 5 3
atcpyee 0 2 6 4 3 1 5
atcpyee 0 2 6 4 3 5 1
atcpeey 0 2 6 4 5 1 3
atcpeye 0 2 6 4 5 3 1
atceeyp 0 2 6 5 1 3 4
atceepy 0 2 6 5 1 4 3
atceyep 0 2 6 5 3 1 4
atceype 0 2 6 5 3 4 1
atcepey 0 2 6 5 4 1 3
atcepye 0 2 6 5 4 3 1
ayetpec 0 3 1 2 4 5 6
ayetpce 0 3 1 2 4 6 5
ayetepc 0 3 1 2 5 4 6
ayetecp 0 3 1 2 5 6 4
ayetcpe 0 3 1 2 6 4 5
ayetcep 0 3 1 2 6 5 4
ayeptec 0 3 1 4 2 5 6
ayeptce 0 3 1 4 2 6 5
ayepetc 0 3 1 4 5 2 6
ayepect 0 3 1 4 5 6 2
ayepcte 0 3 1 4 6 2 5
ayepcet 0 3 1 4 6 5 2
ayeetpc 0 3 1 5 2 4 6
ayeetcp 0 3 1 5 2 6 4
ayeeptc 0 3 1 5 4 2 6
ayeepct 0 3 1 5 4 6 2
ayeectp 0 3 1 5 6 2 4
ayeecpt 0 3 1 5 6 4 2
ayectpe 0 3 1 6 2 4 5
ayectep 0 3 1 6 2 5 4
ayecpte 0 3 1 6 4 2 5
ayecpet 0 3 1 6 4 5 2
ayecetp 0 3 1 6 5 2 4
ayecept 0 3 1 6 5 4 2
aytepec 0 3 2 1 4 5 6
aytepce 0 3 2 1 4 6 5
ayteepc 0 3 2 1 5 4 6
ayteecp 0 3 2 1 5 6 4
aytecpe 0 3 2 1 6 4 5
aytecep 0 3 2 1 6 5 4
aytpeec 0 3 2 4 1 5 6
aytpece 0 3 2 4 1 6 5
aytpeec 0 3 2 4 5 1 6
aytpece 0 3 2 4 5 6 1
aytpcee 0 3 2 4 6 1 5
aytpcee 0 3 2 4 6 5 1
ayteepc 0 3 2 5 1 4 6
ayteecp 0 3 2 5 1 6 4
aytepec 0 3 2 5 4 1 6
aytepce 0 3 2 5 4 6 1
aytecep 0 3 2 5 6 1 4
aytecpe 0 3 2 5 6 4 1
aytcepe 0 3 2 6 1 4 5
aytceep 0 3 2 6 1 5 4
aytcpee 0 3 2 6 4 1 5
aytcpee 0 3 2 6 4 5 1
aytceep 0 3 2 6 5 1 4
aytcepe 0 3 2 6 5 4 1
aypetec 0 3 4 1 2 5 6
aypetce 0 3 4 1 2 6 5
aypeetc 0 3 4 1 5 2 6
aypeect 0 3 4 1 5 6 2
aypecte 0 3 4 1 6 2 5
aypecet 0 3 4 1 6 5 2
aypteec 0 3 4 2 1 5 6
ayptece 0 3 4 2 1 6 5
aypteec 0 3 4 2 5 1 6
ayptece 0 3 4 2 5 6 1
ayptcee 0 3 4 2 6 1 5
ayptcee 0 3 4 2 6 5 1
aypeetc 0 3 4 5 1 2 6
aypeect 0 3 4 5 1 6 2
aypetec 0 3 4 5 2 1 6
aypetce 0 3 4 5 2 6 1
aypecet 0 3 4 5 6 1 2
aypecte 0 3 4 5 6 2 1
aypcete 0 3 4 6 1 2 5
aypceet 0 3 4 6 1 5 2
aypctee 0 3 4 6 2 1 5
aypctee 0 3 4 6 2 5 1
aypceet 0 3 4 6 5 1 2
aypcete 0 3 4 6 5 2 1
ayeetpc 0 3 5 1 2 4 6
ayeetcp 0 3 5 1 2 6 4
ayeeptc 0 3 5 1 4 2 6
ayeepct 0 3 5 1 4 6 2
ayeectp 0 3 5 1 6 2 4
ayeecpt 0 3 5 1 6 4 2
ayetepc 0 3 5 2 1 4 6
ayetecp 0 3 5 2 1 6 4
ayetpec 0 3 5 2 4 1 6
ayetpce 0 3 5 2 4 6 1
ayetcep 0 3 5 2 6 1 4
ayetcpe 0 3 5 2 6 4 1
ayepetc 0 3 5 4 1 2 6
ayepect 0 3 5 4 1 6 2
ayeptec 0 3 5 4 2 1 6
ayeptce 0 3 5 4 2 6 1
ayepcet 0 3 5 4 6 1 2
ayepcte 0 3 5 4 6 2 1
ayecetp 0 3 5 6 1 2 4
ayecept 0 3 5 6 1 4 2
ayectep 0 3 5 6 2 1 4
ayectpe 0 3 5 6 2 4 1
ayecpet 0 3 5 6 4 1 2
ayecpte 0 3 5 6 4 2 1
aycetpe 0 3 6 1 2 4 5
aycetep 0 3 6 1 2 5 4
aycepte 0 3 6 1 4 2 5
aycepet 0 3 6 1 4 5 2
ayceetp 0 3 6 1 5 2 4
ayceept 0 3 6 1 5 4 2
ayctepe 0 3 6 2 1 4 5
aycteep 0 3 6 2 1 5 4
ayctpee 0 3 6 2 4 1 5
ayctpee 0 3 6 2 4 5 1
aycteep 0 3 6 2 5 1 4
ayctepe 0 3 6 2 5 4 1
aycpete 0 3 6 4 1 2 5
aycpeet 0 3 6 4 1 5 2
aycptee 0 3 6 4 2 1 5
aycptee 0 3 6 4 2 5 1
aycpeet 0 3 6 4 5 1 2
aycpete 0 3 6 4 5 2 1
ayceetp 0 3 6 5 1 2 4
ayceept 0 3 6 5 1 4 2
aycetep 0 3 6 5 2 1 4
aycetpe 0 3 6 5 2 4 1
aycepet 0 3 6 5 4 1 2
aycepte 0 3 6 5 4 2 1
apetyec 0 4 1 2 3 5 6
apetyce 0 4 1 2 3 6 5
apeteyc 0 4 1 2 5 3 6
apetecy 0 4 1 2 5 6 3
apetcye 0 4 1 2 6 3 5
apetcey 0 4 1 2 6 5 3
apeytec 0 4 1 3 2 5 6
apeytce 0 4 1 3 2 6 5
apeyetc 0 4 1 3 5 2 6
apeyect 0 4 1 3 5 6 2
apeycte 0 4 1 3 6 2 5
apeycet 0 4 1 3 6 5 2
apeetyc 0 4 1 5 2 3 6
apeetcy 0 4 1 5 2 6 3
apeeytc 0 4 1 5 3 2 6
apeeyct 0 4 1 5 3 6 2
apeecty 0 4 1 5 6 2 3
apeecyt 0 4 1 5 6 3 2
apectye 0 4 1 6 2 3 5
apectey 0 4 1 6 2 5 3
apecyte 0 4 1 6 3 2 5
apecyet 0 4 1 6 3 5 2
apecety 0 4 1 6 5 2 3
apeceyt 0 4 1 6 5 3 2
apteyec 0 4 2 1 3 5 6
apteyce 0 4 2 1 3 6 5
apteeyc 0 4 2 1 5 3 6
apteecy 0 4 2 1 5 6 3
aptecye 0 4 2 1 6 3 5
aptecey 0 4 2 1 6 5 3
aptyeec 0 4 2 3 1 5 6
aptyece 0 4 2 3 1 6 5
aptyeec 0 4 2 3 5 1 6
aptyece 0 4 2 3 5 6 1
aptycee 0 4 2 3 6 1 5
aptycee 0 4 2 3 6 5 1
apteeyc 0 4 2 5 1 3 6
apteecy 0 4 2 5 1 6 3
apteyec 0 4 2 5 3 1 6
apteyce 0 4 2 5 3 6 1
aptecey 0 4 2 5 6 1 3
aptecye 0 4 2 5 6 3 1
aptceye 0 4 2 6 1 3 5
aptceey 0 4 2 6 1 5 3
aptcyee 0 4 2 6 3 1 5
aptcyee 0 4 2 6 3 5 1
aptceey 0 4 2 6 5 1 3
aptceye 0 4 2 6 5 3 1
apyetec 0 4 3 1 2 5 6
apyetce 0 4 3 1 2 6 5
apyeetc 0 4 3 1 5 2 6
apyeect 0 4 3 1 5 6 2
apyecte 0 4 3 1 6 2 5
apyecet 0 4 3 1 6 5 2
apyteec 0 4 3 2 1 5 6
apytece 0 4 3 2 1 6 5
apyteec 0 4 3 2 5 1 6
apytece 0 4 3 2 5 6 1
apytcee 0 4 3 2 6 1 5
apytcee 0 4 3 2 6 5 1
apyeetc 0 4 3 5 1 2 6
apyeect 0 4 3 5 1 6 2
apyetec 0 4 3 5 2 1 6
apyetce 0 4 3 5 2 6 1
apyecet 0 4 3 5 6 1 2
apyecte 0 4 3 5 6 2 1
apycete 0 4 3 6 1 2 5
apyceet 0 4 3 6 1 5 2
apyctee 0 4 3 6 2 1 5
apyctee 0 4 3 6 2 5 1
apyceet 0 4 3 6 5 1 2
apycete 0 4 3 6 5 2 1
apeetyc 0 4 5 1 2 3 6
apeetcy 0 4 5 1 2 6 3
apeeytc 0 4 5 1 3 2 6
apeeyct 0 4 5 1 3 6 2
apeecty 0 4 5 1 6 2 3
apeecyt 0 4 5 1 6 3 2
apeteyc 0 4 5 2 1 3 6
apetecy 0 4 5 2 1 6 3
apetyec 0 4 5 2 3 1 6
apetyce 0 4 5 2 3 6 1
apetcey 0 4 5 2 6 1 3
apetcye 0 4 5 2 6 3 1
apeyetc 0 4 5 3 1 2 6
apeyect 0 4 5 3 1 6 2
apeytec 0 4 5 3 2 1 6
apeytce 0 4 5 3 2 6 1
apeycet 0 4 5 3 6 1 2
apeycte 0 4 5 3 6 2 1
apecety 0 4 5 6 1 2 3
apeceyt 0 4 5 6 1 3 2
apectey 0 4 5 6 2 1 3
apectye 0 4 5 6 2 3 1
apecyet 0 4 5 6 3 1 2
apecyte 0 4 5 6 3 2 1
apcetye 0 4 6 1 2 3 5
apcetey 0 4 6 1 2 5 3
apceyte 0 4 6 1 3 2 5
apceyet 0 4 6 1 3 5 2
apceety 0 4 6 1 5 2 3
apceeyt 0 4 6 1 5 3 2
apcteye 0 4 6 2 1 3 5
apcteey 0 4 6 2 1 5 3
apctyee 0 4 6 2 3 1 5
apctyee 0 4 6 2 3 5 1
apcteey 0 4 6 2 5 1 3
apcteye 0 4 6 2 5 3 1
apcyete 0 4 6 3 1 2 5
apcyeet 0 4 6 3 1 5 2
apcytee 0 4 6 3 2 1 5
apcytee 0 4 6 3 2 5 1
apcyeet 0 4 6 3 5 1 2
apcyete 0 4 6 3 5 2 1
apceety 0 4 6 5 1 2 3
apceeyt 0 4 6 5 1 3 2
apcetey 0 4 6 5 2 1 3
apcetye 0 4 6 5 2 3 1
apceyet 0 4 6 5 3 1 2
apceyte 0 4 6 5 3 2 1
aeetypc 0 5 1 2 3 4 6
aeetycp 0 5 1 2 3 6 4
aeetpyc 0 5 1 2 4 3 6
aeetpcy 0 5 1 2 4 6 3
aeetcyp 0 5 1 2 6 3 4
aeetcpy 0 5 1 2 6 4 3
aeeytpc 0 5 1 3 2 4 6
aeeytcp 0 5 1 3 2 6 4
aeeyptc 0 5 1 3 4 2 6
aeeypct 0 5 1 3 4 6 2
aeeyctp 0 5 1 3 6 2 4
aeeycpt 0 5 1 3 6 4 2
aeeptyc 0 5 1 4 2 3 6
aeeptcy 0 5 1 4 2 6 3
aeepytc 0 5 1 4 3 2 6
aeepyct 0 5 1 4 3 6 2
aeepcty 0 5 1 4 6 2 3
aeepcyt 0 5 1 4 6 3 2
aeectyp 0 5 1 6 2 3 4
aeectpy 0 5 1 6 2 4 3
aeecytp 0 5 1 6 3 2 4
aeecypt 0 5 1 6 3 4 2
aeecpty 0 5 1 6 4 2 3
aeecpyt 0 5 1 6 4 3 2
aeteypc 0 5 2 1 3 4 6
aeteycp 0 5 2 1 3 6 4
aetepyc 0 5 2 1 4 3 6
aetepcy 0 5 2 1 4 6 3
aetecyp 0 5 2 1 6 3 4
aetecpy 0 5 2 1 6 4 3
aetyepc 0 5 2 3 1 4 6
aetyecp 0 5 2 3 1 6 4
aetypec 0 5 2 3 4 1 6
aetypce 0 5 2 3 4 6 1
aetycep 0 5 2 3 6 1 4
aetycpe 0 5 2 3 6 4 1
aetpeyc 0 5 2 4 1 3 6
aetpecy 0 5 2 4 1 6 3
aetpyec 0 5 2 4 3 1 6
aetpyce 0 5 2 4 3 6 1
aetpcey 0 5 2 4 6 1 3
aetpcye 0 5 2 4 6 3 1
aetceyp 0 5 2 6 1 3 4
aetcepy 0 5 2 6 1 4 3
aetcyep 0 5 2 6 3 1 4
aetcype 0 5 2 6 3 4 1
aetcpey 0 5 2 6 4 1 3
aetcpye 0 5 2 6 4 3 1
aeyetpc 0 5 3 1 2 4 6
aeyetcp 0 5 3 1 2 6 4
aeyeptc 0 5 3 1 4 2 6
aeyepct 0 5 3 1 4 6 2
aeyectp 0 5 3 1 6 2 4
aeyecpt 0 5 3 1 6 4 2
aeytepc 0 5 3 2 1 4 6
aeytecp 0 5 3 2 1 6 4
aeytpec 0 5 3 2 4 1 6
aeytpce 0 5 3 2 4 6 1
aeytcep 0 5 3 2 6 1 4
aeytcpe 0 5 3 2 6 4 1
aeypetc 0 5 3 4 1 2 6
aeypect 0 5 3 4 1 6 2
aeyptec 0 5 3 4 2 1 6
aeyptce 0 5 3 4 2 6 1
aeypcet 0 5 3 4 6 1 2
aeypcte 0 5 3 4 6 2 1
aeycetp 0 5 3 6 1 2 4
aeycept 0 5 3 6 1 4 2
aeyctep 0 5 3 6 2 1 4
aeyctpe 0 5 3 6 2 4 1
aeycpet 0 5 3 6 4 1 2
aeycpte 0 5 3 6 4 2 1
aepetyc 0 5 4 1 2 3 6
aepetcy 0 5 4 1 2 6 3
aepeytc 0 5 4 1 3 2 6
aepeyct 0 5 4 1 3 6 2
aepecty 0 5 4 1 6 2 3
aepecyt 0 5 4 1 6 3 2
aepteyc 0 5 4 2 1 3 6
aeptecy 0 5 4 2 1 6 3
aeptyec 0 5 4 2 3 1 6
aeptyce 0 5 4 2 3 6 1
aeptcey 0 5 4 2 6 1 3
aeptcye 0 5 4 2 6 3 1
aepyetc 0 5 4 3 1 2 6
aepyect 0 5 4 3 1 6 2
aepytec 0 5 4 3 2 1 6
aepytce 0 5 4 3 2 6 1
aepycet 0 5 4 3 6 1 2
aepycte 0 5 4 3 6 2 1
aepcety 0 5 4 6 1 2 3
aepceyt 0 5 4 6 1 3 2
aepctey 0 5 4 6 2 1 3
aepctye 0 5 4 6 2 3 1
aepcyet 0 5 4 6 3 1 2
aepcyte 0 5 4 6 3 2 1
aecetyp 0 5 6 1 2 3 4
aecetpy 0 5 6 1 2 4 3
aeceytp 0 5 6 1 3 2 4
aeceypt 0 5 6 1 3 4 2
aecepty 0 5 6 1 4 2 3
aecepyt 0 5 6 1 4 3 2
aecteyp 0 5 6 2 1 3 4
aectepy 0 5 6 2 1 4 3
aectyep 0 5 6 2 3 1 4
aectype 0 5 6 2 3 4 1
aectpey 0 5 6 2 4 1 3
aectpye 0 5 6 2 4 3 1
aecyetp 0 5 6 3 1 2 4
aecyept 0 5 6 3 1 4 2
aecytep 0 5 6 3 2 1 4
aecytpe 0 5 6 3 2 4 1
aecypet 0 5 6 3 4 1 2
aecypte 0 5 6 3 4 2 1
aecpety 0 5 6 4 1 2 3
aecpeyt 0 5 6 4 1 3 2
aecptey 0 5 6 4 2 1 3
aecptye 0 5 6 4 2 3 1
aecpyet 0 5 6 4 3 1 2
aecpyte 0 5 6 4 3 2 1
acetype 0 6 1 2 3 4 5
acetyep 0 6 1 2 3 5 4
acetpye 0 6 1 2 4 3 5
acetpey 0 6 1 2 4 5 3
aceteyp 0 6 1 2 5 3 4
acetepy 0 6 1 2 5 4 3
aceytpe 0 6 1 3 2 4 5
aceytep 0 6 1 3 2 5 4
aceypte 0 6 1 3 4 2 5
aceypet 0 6 1 3 4 5 2
aceyetp 0 6 1 3 5 2 4
aceyept 0 6 1 3 5 4 2
aceptye 0 6 1 4 2 3 5
aceptey 0 6 1 4 2 5 3
acepyte 0 6 1 4 3 2 5
acepyet 0 6 1 4 3 5 2
acepety 0 6 1 4 5 2 3
acepeyt 0 6 1 4 5 3 2
aceetyp 0 6 1 5 2 3 4
aceetpy 0 6 1 5 2 4 3
aceeytp 0 6 1 5 3 2 4
aceeypt 0 6 1 5 3 4 2
aceepty 0 6 1 5 4 2 3
aceepyt 0 6 1 5 4 3 2
acteype 0 6 2 1 3 4 5
acteyep 0 6 2 1 3 5 4
actepye 0 6 2 1 4 3 5
actepey 0 6 2 1 4 5 3
acteeyp 0 6 2 1 5 3 4
acteepy 0 6 2 1 5 4 3
actyepe 0 6 2 3 1 4 5
actyeep 0 6 2 3 1 5 4
actypee 0 6 2 3 4 1 5
actypee 0 6 2 3 4 5 1
actyeep 0 6 2 3 5 1 4
actyepe 0 6 2 3 5 4 1
actpeye 0 6 2 4 1 3 5
actpeey 0 6 2 4 1 5 3
actpyee 0 6 2 4 3 1 5
actpyee 0 6 2 4 3 5 1
actpeey 0 6 2 4 5 1 3
actpeye 0 6 2 4 5 3 1
acteeyp 0 6 2 5 1 3 4
acteepy 0 6 2 5 1 4 3
acteyep 0 6 2 5 3 1 4
acteype 0 6 2 5 3 4 1
actepey 0 6 2 5 4 1 3
actepye 0 6 2 5 4 3 1
acyetpe 0 6 3 1 2 4 5
acyetep 0 6 3 1 2 5 4
acyepte 0 6 3 1 4 2 5
acyepet 0 6 3 1 4 5 2
acyeetp 0 6 3 1 5 2 4
acyeept 0 6 3 1 5 4 2
acytepe 0 6 3 2 1 4 5
acyteep 0 6 3 2 1 5 4
acytpee 0 6 3 2 4 1 5
acytpee 0 6 3 2 4 5 1
acyteep 0 6 3 2 5 1 4
acytepe 0 6 3 2 5 4 1
acypete 0 6 3 4 1 2 5
acypeet 0 6 3 4 1 5 2
acyptee 0 6 3 4 2 1 5
acyptee 0 6 3 4 2 5 1
acypeet 0 6 3 4 5 1 2
acypete 0 6 3 4 5 2 1
acyeetp 0 6 3 5 1 2 4
acyeept 0 6 3 5 1 4 2
acyetep 0 6 3 5 2 1 4
acyetpe 0 6 3 5 2 4 1
acyepet 0 6 3 5 4 1 2
acyepte 0 6 3 5 4 2 1
acpetye 0 6 4 1 2 3 5
acpetey 0 6 4 1 2 5 3
acpeyte 0 6 4 1 3 2 5
acpeyet 0 6 4 1 3 5 2
acpeety 0 6 4 1 5 2 3
acpeeyt 0 6 4 1 5 3 2
acpteye 0 6 4 2 1 3 5
acpteey 0 6 4 2 1 5 3
acptyee 0 6 4 2 3 1 5
acptyee 0 6 4 2 3 5 1
acpteey 0 6 4 2 5 1 3
acpteye 0 6 4 2 5 3 1
acpyete 0 6 4 3 1 2 5
acpyeet 0 6 4 3 1 5 2
acpytee 0 6 4 3 2 1 5
acpytee 0 6 4 3 2 5 1
acpyeet 0 6 4 3 5 1 2
acpyete 0 6 4 3 5 2 1
acpeety 0 6 4 5 1 2 3
acpeeyt 0 6 4 5 1 3 2
acpetey 0 6 4 5 2 1 3
acpetye 0 6 4 5 2 3 1
acpeyet 0 6 4 5 3 1 2
acpeyte 0 6 4 5 3 2 1
aceetyp 0 6 5 1 2 3 4
aceetpy 0 6 5 1 2 4 3
aceeytp 0 6 5 1 3 2 4
aceeypt 0 6 5 1 3 4 2
aceepty 0 6 5 1 4 2 3
aceepyt 0 6 5 1 4 3 2
aceteyp 0 6 5 2 1 3 4
acetepy 0 6 5 2 1 4 3
acetyep 0 6 5 2 3 1 4
acetype 0 6 5 2 3 4 1
acetpey 0 6 5 2 4 1 3
acetpye 0 6 5 2 4 3 1
aceyetp 0 6 5 3 1 2 4
aceyept 0 6 5 3 1 4 2
aceytep 0 6 5 3 2 1 4
aceytpe 0 6 5 3 2 4 1
aceypet 0 6 5 3 4 1 2
aceypte 0 6 5 3 4 2 1
