Shift: 2
cgvarge 0 1 2 3 4 5 6
cveagrg 0 2 6 3 5 4 1
cvergag 0 2 6 4 1 3 5
cvergga 0 2 6 4 1 5 3
cveragg 0 2 6 4 3 1 5
cveragg 0 2 6 4 3 5 1
cvergga 0 2 6 4 5 1 3
cvergag 0 2 6 4 5 3 1
cveggar 0 2 6 5 1 3 4
cveggra 0 2 6 5 1 4 3
cvegagr 0 2 6 5 3 1 4
cvegarg 0 2 6 5 3 4 1
cvegrga 0 2 6 5 4 1 3
cvegrag 0 2 6 5 4 3 1
cagvrge 0 3 1 2 4 5 6
cagvreg 0 3 1 2 4 6 5
cagvgre 0 3 1 2 5 4 6
cagvger 0 3 1 2 5 6 4
cagverg 0 3 1 2 6 4 5
cagvegr 0 3 1 2 6 5 4
cagrvge 0 3 1 4 2 5 6
cagrveg 0 3 1 4 2 6 5
cagrgve 0 3 1 4 5 2 6
cagrgev 0 3 1 4 5 6 2
cagrevg 0 3 1 4 6 2 5
cagregv 0 3 1 4 6 5 2
caggvre 0 3 1 5 2 4 6
caggver 0 3 1 5 2 6 4
caggrve 0 3 1 5 4 2 6
caggrev 0 3 1 5 4 6 2
caggevr 0 3 1 5 6 2 4
caggerv 0 3 1 5 6 4 2
cagevrg 0 3 1 6 2 4 5
cagevgr 0 3 1 6 2 5 4
cagervg 0 3 1 6 4 2 5
cagergv 0 3 1 6 4 5 2
cagegvr 0 3 1 6 5 2 4
cagegrv 0 3 1 6 5 4 2
cavgrge 0 3 2 1 4 5 6
cavgreg 0 3 2 1 4 6 5
cavggre 0 3 2 1 5 4 6
cavgger 0 3 2 1 5 6 4
cavgerg 0 3 2 1 6 4 5
cavgegr 0 3 2 1 6 5 4
cavrgge 0 3 2 4 1 5 6
cavrgeg 0 3 2 4 1 6 5
cavrgge 0 3 2 4 5 1 6
cavrgeg 0 3 2 4 5 6 1
cavregg 0 3 2 4 6 1 5
cavregg 0 3 2 4 6 5 1
cavggre 0 3 2 5 1 4 6
cavgger 0 3 2 5 1 6 4
cavgrge 0 3 2 5 4 1 6
cavgreg 0 3 2 5 4 6 1
cavgegr 0 3 2 5 6 1 4
cavgerg 0 3 2 5 6 4 1
cavegrg 0 3 2 6 1 4 5
caveggr 0 3 2 6 1 5 4
cavergg 0 3 2 6 4 1 5
cavergg 0 3 2 6 4 5 1
caveggr 0 3 2 6 5 1 4
cavegrg 0 3 2 6 5 4 1
cargvge 0 3 4 1 2 5 6
cargveg 0 3 4 1 2 6 5
carggve 0 3 4 1 5 2 6
carggev 0 3 4 1 5 6 2
cargevg 0 3 4 1 6 2 5
cargegv 0 3 4 1 6 5 2
carvgge 0 3 4 2 1 5 6
carvgeg 0 3 4 2 1 6 5
carvgge 0 3 4 2 5 1 6
carvgeg 0 3 4 2 5 6 1
carvegg 0 3 4 2 6 1 5
carvegg 0 3 4 2 6 5 1
carggve 0 3 4 5 1 2 6
carggev 0 3 4 5 1 6 2
cargvge 0 3 4 5 2 1 6
cargveg 0 3 4 5 2 6 1
cargegv 0 3 4 5 6 1 2
cargevg 0 3 4 5 6 2 1
caregvg 0 3 4 6 1 2 5
careggv 0 3 4 6 1 5 2
carevgg 0 3 4 6 2 1 5
carevgg 0 3 4 6 2 5 1
careggv 0 3 4 6 5 1 2
caregvg 0 3 4 6 5 2 1
caggvre 0 3 5 1 2 4 6
caggver 0 3 5 1 2 6 4
caggrve 0 3 5 1 4 2 6
caggrev 0 3 5 1 4 6 2
caggevr 0 3 5 1 6 2 4
caggerv 0 3 5 1 6 4 2
cagvgre 0 3 5 2 1 4 6
cagvger 0 3 5 2 1 6 4
cagvrge 0 3 5 2 4 1 6
cagvreg 0 3 5 2 4 6 1
cagvegr 0 3 5 2 6 1 4
cagverg 0 3 5 2 6 4 1
cagrgve 0 3 5 4 1 2 6
cagrgev 0 3 5 4 1 6 2
cagrvge 0 3 5 4 2 1 6
cagrveg 0 3 5 4 2 6 1
cagregv 0 3 5 4 6 1 2
cagrevg 0 3 5 4 6 2 1
cagegvr 0 3 5 6 1 2 4
cagegrv 0 3 5 6 1 4 2
cagevgr 0 3 5 6 2 1 4
cagevrg 0 3 5 6 2 4 1
cagergv 0 3 5 6 4 1 2
cagervg 0 3 5 6 4 2 1
caegvrg 0 3 6 1 2 4 5
caegvgr 0 3 6 1 2 5 4
caegrvg 0 3 6 1 4 2 5
caegrgv 0 3 6 1 4 5 2
caeggvr 0 3 6 1 5 2 4
caeggrv 0 3 6 1 5 4 2
caevgrg 0 3 6 2 1 4 5
caevggr 0 3 6 2 1 5 4
caevrgg 0 3 6 2 4 1 5
caevrgg 0 3 6 2 4 5 1
caevggr 0 3 6 2 5 1 4
caevgrg 0 3 6 2 5 4 1
caergvg 0 3 6 4 1 2 5
caerggv 0 3 6 4 1 5 2
caervgg 0 3 6 4 2 1 5
caervgg 0 3 6 4 2 5 1
caerggv 0 3 6 4 5 1 2
caergvg 0 3 6 4 5 2 1
caeggvr 0 3 6 5 1 2 4
caeggrv 0 3 6 5 1 4 2
caegvgr 0 3 6 5 2 1 4
caegvrg 0 3 6 5 2 4 1
caegrgv 0 3 6 5 4 1 2
caegrvg 0 3 6 5 4 2 1
crgvage 0 4 1 2 3 5 6
crgvaeg 0 4 1 2 3 6 5
crgvgae 0 4 1 2 5 3 6
crgvgea 0 4 1 2 5 6 3
crgveag 0 4 1 2 6 3 5
crgvega 0 4 1 2 6 5 3
crgavge 0 4 1 3 2 5 6
crgaveg 0 4 1 3 2 6 5
crgagve 0 4 1 3 5 2 6
crgagev 0 4 1 3 5 6 2
crgaevg 0 4 1 3 6 2 5
crgaegv 0 4 1 3 6 5 2
crggvae 0 4 1 5 2 3 6
crggvea 0 4 1 5 2 6 3
crggave 0 4 1 5 3 2 6
crggaev 0 4 1 5 3 6 2
crggeva 0 4 1 5 6 2 3
crggeav 0 4 1 5 6 3 2
crgevag 0 4 1 6 2 3 5
crgevga 0 4 1 6 2 5 3
crgeavg 0 4 1 6 3 2 5
crgeagv 0 4 1 6 3 5 2
crgegva 0 4 1 6 5 2 3
crgegav 0 4 1 6 5 3 2
crvgage 0 4 2 1 3 5 6
crvgaeg 0 4 2 1 3 6 5
crvggae 0 4 2 1 5 3 6
crvggea 0 4 2 1 5 6 3
crvgeag 0 4 2 1 6 3 5
crvgega 0 4 2 1 6 5 3
crvagge 0 4 2 3 1 5 6
crvageg 0 4 2 3 1 6 5
crvagge 0 4 2 3 5 1 6
crvageg 0 4 2 3 5 6 1
crvaegg 0 4 2 3 6 1 5
crvaegg 0 4 2 3 6 5 1
crvggae 0 4 2 5 1 3 6
crvggea 0 4 2 5 1 6 3
crvgage 0 4 2 5 3 1 6
crvgaeg 0 4 2 5 3 6 1
crvgega 0 4 2 5 6 1 3
crvgeag 0 4 2 5 6 3 1
crvegag 0 4 2 6 1 3 5
crvegga 0 4 2 6 1 5 3
crveagg 0 4 2 6 3 1 5
crveagg 0 4 2 6 3 5 1
crvegga 0 4 2 6 5 1 3
crvegag 0 4 2 6 5 3 1
cragvge 0 4 3 1 2 5 6
cragveg 0 4 3 1 2 6 5
craggve 0 4 3 1 5 2 6
craggev 0 4 3 1 5 6 2
cragevg 0 4 3 1 6 2 5
cragegv 0 4 3 1 6 5 2
cravgge 0 4 3 2 1 5 6
cravgeg 0 4 3 2 1 6 5
cravgge 0 4 3 2 5 1 6
cravgeg 0 4 3 2 5 6 1
cravegg 0 4 3 2 6 1 5
cravegg 0 4 3 2 6 5 1
craggve 0 4 3 5 1 2 6
craggev 0 4 3 5 1 6 2
cragvge 0 4 3 5 2 1 6
cragveg 0 4 3 5 2 6 1
cragegv 0 4 3 5 6 1 2
cragevg 0 4 3 5 6 2 1
craegvg 0 4 3 6 1 2 5
craeggv 0 4 3 6 1 5 2
craevgg 0 4 3 6 2 1 5
craevgg 0 4 3 6 2 5 1
craeggv 0 4 3 6 5 1 2
craegvg 0 4 3 6 5 2 1
crggvae 0 4 5 1 2 3 6
crggvea 0 4 5 1 2 6 3
crggave 0 4 5 1 3 2 6
crggaev 0 4 5 1 3 6 2
crggeva 0 4 5 1 6 2 3
crggeav 0 4 5 1 6 3 2
crgvgae 0 4 5 2 1 3 6
crgvgea 0 4 5 2 1 6 3
crgvage 0 4 5 2 3 1 6
crgvaeg 0 4 5 2 3 6 1
crgvega 0 4 5 2 6 1 3
crgveag 0 4 5 2 6 3 1
crgagve 0 4 5 3 1 2 6
crgagev 0 4 5 3 1 6 2
crgavge 0 4 5 3 2 1 6
crgaveg 0 4 5 3 2 6 1
crgaegv 0 4 5 3 6 1 2
crgaevg 0 4 5 3 6 2 1
crgegva 0 4 5 6 1 2 3
crgegav 0 4 5 6 1 3 2
crgevga 0 4 5 6 2 1 3
crgevag 0 4 5 6 2 3 1
crgeagv 0 4 5 6 3 1 2
crgeavg 0 4 5 6 3 2 1
cregvag 0 4 6 1 2 3 5
cregvga 0 4 6 1 2 5 3
cregavg 0 4 6 1 3 2 5
cregagv 0 4 6 1 3 5 2
creggva 0 4 6 1 5 2 3
creggav 0 4 6 1 5 3 2
crevgag 0 4 6 2 1 3 5
crevgga 0 4 6 2 1 5 3
crevagg 0 4 6 2 3 1 5
crevagg 0 4 6 2 3 5 1
crevgga 0 4 6 2 5 1 3
crevgag 0 4 6 2 5 3 1
creagvg 0 4 6 3 1 2 5
creaggv 0 4 6 3 1 5 2
creavgg 0 4 6 3 2 1 5
creavgg 0 4 6 3 2 5 1
creaggv 0 4 6 3 5 1 2
creagvg 0 4 6 3 5 2 1
creggva 0 4 6 5 1 2 3
creggav 0 4 6 5 1 3 2
cregvga 0 4 6 5 2 1 3
cregvag 0 4 6 5 2 3 1
cregagv 0 4 6 5 3 1 2
cregavg 0 4 6 5 3 2 1
cggvare 0 5 1 2 3 4 6
cggvaer 0 5 1 2 3 6 4
cggvrae 0 5 1 2 4 3 6
cggvrea 0 5 1 2 4 6 3
cggvear 0 5 1 2 6 3 4
cggvera 0 5 1 2 6 4 3
cggavre 0 5 1 3 2 4 6
cggaver 0 5 1 3 2 6 4
cggarve 0 5 1 3 4 2 6
cggarev 0 5 1 3 4 6 2
cggaevr 0 5 1 3 6 2 4
cggaerv 0 5 1 3 6 4 2
cggrvae 0 5 1 4 2 3 6
cggrvea 0 5 1 4 2 6 3
cggrave 0 5 1 4 3 2 6
cggraev 0 5 1 4 3 6 2
cggreva 0 5 1 4 6 2 3
cggreav 0 5 1 4 6 3 2
cggevar 0 5 1 6 2 3 4
cggevra 0 5 1 6 2 4 3
cggeavr 0 5 1 6 3 2 4
cggearv 0 5 1 6 3 4 2
cggerva 0 5 1 6 4 2 3
cggerav 0 5 1 6 4 3 2
cgvgare 0 5 2 1 3 4 6
cgvgaer 0 5 2 1 3 6 4
cgvgrae 0 5 2 1 4 3 6
cgvgrea 0 5 2 1 4 6 3
cgvgear 0 5 2 1 6 3 4
cgvgera 0 5 2 1 6 4 3
cgvagre 0 5 2 3 1 4 6
cgvager 0 5 2 3 1 6 4
cgvarge 0 5 2 3 4 1 6
cgvareg 0 5 2 3 4 6 1
cgvaegr 0 5 2 3 6 1 4
cgvaerg 0 5 2 3 6 4 1
cgvrgae 0 5 2 4 1 3 6
cgvrgea 0 5 2 4 1 6 3
cgvrage 0 5 2 4 3 1 6
cgvraeg 0 5 2 4 3 6 1
cgvrega 0 5 2 4 6 1 3
cgvreag 0 5 2 4 6 3 1
cgvegar 0 5 2 6 1 3 4
cgvegra 0 5 2 6 1 4 3
cgveagr 0 5 2 6 3 1 4
cgvearg 0 5 2 6 3 4 1
cgverga 0 5 2 6 4 1 3
cgverag 0 5 2 6 4 3 1
cgagvre 0 5 3 1 2 4 6
cgagver 0 5 3 1 2 6 4
cgagrve 0 5 3 1 4 2 6
cgagrev 0 5 3 1 4 6 2
cgagevr 0 5 3 1 6 2 4
cgagerv 0 5 3 1 6 4 2
cgavgre 0 5 3 2 1 4 6
cgavger 0 5 3 2 1 6 4
cgavrge 0 5 3 2 4 1 6
cgavreg 0 5 3 2 4 6 1
cgavegr 0 5 3 2 6 1 4
cgaverg 0 5 3 2 6 4 1
cgargve 0 5 3 4 1 2 6
cgargev 0 5 3 4 1 6 2
cgarvge 0 5 3 4 2 1 6
cgarveg 0 5 3 4 2 6 1
cgaregv 0 5 3 4 6 1 2
cgarevg 0 5 3 4 6 2 1
cgaegvr 0 5 3 6 1 2 4
cgaegrv 0 5 3 6 1 4 2
cgaevgr 0 5 3 6 2 1 4
cgaevrg 0 5 3 6 2 4 1
cgaergv 0 5 3 6 4 1 2
cgaervg 0 5 3 6 4 2 1
cgrgvae 0 5 4 1 2 3 6
cgrgvea 0 5 4 1 2 6 3
cgrgave 0 5 4 1 3 2 6
cgrgaev 0 5 4 1 3 6 2
cgrgeva 0 5 4 1 6 2 3
cgrgeav 0 5 4 1 6 3 2
cgrvgae 0 5 4 2 1 3 6
cgrvgea 0 5 4 2 1 6 3
cgrvage 0 5 4 2 3 1 6
cgrvaeg 0 5 4 2 3 6 1
cgrvega 0 5 4 2 6 1 3
cgrveag 0 5 4 2 6 3 1
cgragve 0 5 4 3 1 2 6
cgragev 0 5 4 3 1 6 2
cgravge 0 5 4 3 2 1 6
cgraveg 0 5 4 3 2 6 1
cgraegv 0 5 4 3 6 1 2
cgraevg 0 5 4 3 6 2 1
cgregva 0 5 4 6 1 2 3
cgregav 0 5 4 6 1 3 2
cgrevga 0 5 4 6 2 1 3
cgrevag 0 5 4 6 2 3 1
cgreagv 0 5 4 6 3 1 2
cgreavg 0 5 4 6 3 2 1
cgegvar 0 5 6 1 2 3 4
cgegvra 0 5 6 1 2 4 3
cgegavr 0 5 6 1 3 2 4
cgegarv 0 5 6 1 3 4 2
cgegrva 0 5 6 1 4 2 3
cgegrav 0 5 6 1 4 3 2
cgevgar 0 5 6 2 1 3 4
cgevgra 0 5 6 2 1 4 3
cgevagr 0 5 6 2 3 1 4
cgevarg 0 5 6 2 3 4 1
cgevrga 0 5 6 2 4 1 3
cgevrag 0 5 6 2 4 3 1
cgeagvr 0 5 6 3 1 2 4
cgeagrv 0 5 6 3 1 4 2
cgeavgr 0 5 6 3 2 1 4
cgeavrg 0 5 6 3 2 4 1
cgeargv 0 5 6 3 4 1 2
cgearvg 0 5 6 3 4 2 1
cgergva 0 5 6 4 1 2 3
cgergav 0 5 6 4 1 3 2
cgervga 0 5 6 4 2 1 3
cgervag 0 5 6 4 2 3 1
cgeragv 0 5 6 4 3 1 2
cgeravg 0 5 6 4 3 2 1
cegvarg 0 6 1 2 3 4 5
cegvagr 0 6 1 2 3 5 4
cegvrag 0 6 1 2 4 3 5
cegvrga 0 6 1 2 4 5 3
cegvgar 0 6 1 2 5 3 4
cegvgra 0 6 1 2 5 4 3
cegavrg 0 6 1 3 2 4 5
cegavgr 0 6 1 3 2 5 4
cegarvg 0 6 1 3 4 2 5
cegargv 0 6 1 3 4 5 2
cegagvr 0 6 1 3 5 2 4
cegagrv 0 6 1 3 5 4 2
cegrvag 0 6 1 4 2 3 5
cegrvga 0 6 1 4 2 5 3
cegravg 0 6 1 4 3 2 5
cegragv 0 6 1 4 3 5 2
cegrgva 0 6 1 4 5 2 3
cegrgav 0 6 1 4 5 3 2
ceggvar 0 6 1 5 2 3 4
ceggvra 0 6 1 5 2 4 3
ceggavr 0 6 1 5 3 2 4
ceggarv 0 6 1 5 3 4 2
ceggrva 0 6 1 5 4 2 3
ceggrav 0 6 1 5 4 3 2
cevgarg 0 6 2 1 3 4 5
cevgagr 0 6 2 1 3 5 4
cevgrag 0 6 2 1 4 3 5
cevgrga 0 6 2 1 4 5 3
cevggar 0 6 2 1 5 3 4
cevggra 0 6 2 1 5 4 3
cevagrg 0 6 2 3 1 4 5
cevaggr 0 6 2 3 1 5 4
cevargg 0 6 2 3 4 1 5
cevargg 0 6 2 3 4 5 1
cevaggr 0 6 2 3 5 1 4
cevagrg 0 6 2 3 5 4 1
cevrgag 0 6 2 4 1 3 5
cevrgga 0 6 2 4 1 5 3
cevragg 0 6 2 4 3 1 5
cevragg 0 6 2 4 3 5 1
cevrgga 0 6 2 4 5 1 3
cevrgag 0 6 2 4 5 3 1
cevggar 0 6 2 5 1 3 4
cevggra 0 6 2 5 1 4 3
cevgagr 0 6 2 5 3 1 4
cevgarg 0 6 2 5 3 4 1
cevgrga 0 6 2 5 4 1 3
cevgrag 0 6 2 5 4 3 1
ceagvrg 0 6 3 1 2 4 5
ceagvgr 0 6 3 1 2 5 4
ceagrvg 0 6 3 1 4 2 5
ceagrgv 0 6 3 1 4 5 2
ceaggvr 0 6 3 1 5 2 4
ceaggrv 0 6 3 1 5 4 2
ceavgrg 0 6 3 2 1 4 5
ceavggr 0 6 3 2 1 5 4
ceavrgg 0 6 3 2 4 1 5
ceavrgg 0 6 3 2 4 5 1
ceavggr 0 6 3 2 5 1 4
ceavgrg 0 6 3 2 5 4 1
ceargvg 0 6 3 4 1 2 5
cearggv 0 6 3 4 1 5 2
cearvgg 0 6 3 4 2 1 5
cearvgg 0 6 3 4 2 5 1
cearggv 0 6 3 4 5 1 2
ceargvg 0 6 3 4 5 2 1
ceaggvr 0 6 3 5 1 2 4
ceaggrv 0 6 3 5 1 4 2
ceagvgr 0 6 3 5 2 1 4
ceagvrg 0 6 3 5 2 4 1
ceagrgv 0 6 3 5 4 1 2
ceagrvg 0 6 3 5 4 2 1
cergvag 0 6 4 1 2 3 5
cergvga 0 6 4 1 2 5 3
cergavg 0 6 4 1 3 2 5
cergagv 0 6 4 1 3 5 2
cerggva 0 6 4 1 5 2 3
cerggav 0 6 4 1 5 3 2
cervgag 0 6 4 2 1 3 5
cervgga 0 6 4 2 1 5 3
cervagg 0 6 4 2 3 1 5
cervagg 0 6 4 2 3 5 1
cervgga 0 6 4 2 5 1 3
cervgag 0 6 4 2 5 3 1
ceragvg 0 6 4 3 1 2 5
ceraggv 0 6 4 3 1 5 2
ceravgg 0 6 4 3 2 1 5
ceravgg 0 6 4 3 2 5 1
ceraggv 0 6 4 3 5 1 2
ceragvg 0 6 4 3 5 2 1
cerggva 0 6 4 5 1 2 3
cerggav 0 6 4 5 1 3 2
cergvga 0 6 4 5 2 1 3
cergvag 0 6 4 5 2 3 1
cergagv 0 6 4 5 3 1 2
cergavg 0 6 4 5 3 2 1
ceggvar 0 6 5 1 2 3 4
ceggvra 0 6 5 1 2 4 3
ceggavr 0 6 5 1 3 2 4
ceggarv 0 6 5 1 3 4 2
ceggrva 0 6 5 1 4 2 3
ceggrav 0 6 5 1 4 3 2
cegvgar 0 6 5 2 1 3 4
cegvgra 0 6 5 2 1 4 3
cegvagr 0 6 5 2 3 1 4
cegvarg 0 6 5 2 3 4 1
cegvrga 0 6 5 2 4 1 3
cegvrag 0 6 5 2 4 3 1
