Shift: 11
lpejapn 0 1 2 3 4 5 6
lpnpaej 0 1 6 5 4 2 3
lpnpaje 0 1 6 5 4 3 2
lepjapn 0 2 1 3 4 5 6
lepjanp 0 2 1 3 4 6 5
lepjpan 0 2 1 3 5 4 6
lepjpna 0 2 1 3 5 6 4
lepjnap 0 2 1 3 6 4 5
lepjnpa 0 2 1 3 6 5 4
lepajpn 0 2 1 4 3 5 6
lepajnp 0 2 1 4 3 6 5
lepapjn 0 2 1 4 5 3 6
lepapnj 0 2 1 4 5 6 3
lepanjp 0 2 1 4 6 3 5
lepanpj 0 2 1 4 6 5 3
leppjan 0 2 1 5 3 4 6
leppjna 0 2 1 5 3 6 4
leppajn 0 2 1 5 4 3 6
leppanj 0 2 1 5 4 6 3
leppnja 0 2 1 5 6 3 4
leppnaj 0 2 1 5 6 4 3
lepnjap 0 2 1 6 3 4 5
lepnjpa 0 2 1 6 3 5 4
lepnajp 0 2 1 6 4 3 5
lepnapj 0 2 1 6 4 5 3
lepnpja 0 2 1 6 5 3 4
lepnpaj 0 2 1 6 5 4 3
lejpapn 0 2 3 1 4 5 6
lejpanp 0 2 3 1 4 6 5
lejppan 0 2 3 1 5 4 6
lejppna 0 2 3 1 5 6 4
lejpnap 0 2 3 1 6 4 5
lejpnpa 0 2 3 1 6 5 4
lejappn 0 2 3 4 1 5 6
lejapnp 0 2 3 4 1 6 5
lejappn 0 2 3 4 5 1 6
lejapnp 0 2 3 4 5 6 1
lejanpp 0 2 3 4 6 1 5
lejanpp 0 2 3 4 6 5 1
lejppan 0 2 3 5 1 4 6
lejppna 0 2 3 5 1 6 4
lejpapn 0 2 3 5 4 1 6
lejpanp 0 2 3 5 4 6 1
lejpnpa 0 2 3 5 6 1 4
lejpnap 0 2 3 5 6 4 1
lejnpap 0 2 3 6 1 4 5
lejnppa 0 2 3 6 1 5 4
lejnapp 0 2 3 6 4 1 5
lejnapp 0 2 3 6 4 5 1
lejnppa 0 2 3 6 5 1 4
lejnpap 0 2 3 6 5 4 1
leapjpn 0 2 4 1 3 5 6
leapjnp 0 2 4 1 3 6 5
leappjn 0 2 4 1 5 3 6
leappnj 0 2 4 1 5 6 3
leapnjp 0 2 4 1 6 3 5
leapnpj 0 2 4 1 6 5 3
leajppn 0 2 4 3 1 5 6
leajpnp 0 2 4 3 1 6 5
leajppn 0 2 4 3 5 1 6
leajpnp 0 2 4 3 5 6 1
leajnpp 0 2 4 3 6 1 5
leajnpp 0 2 4 3 6 5 1
leappjn 0 2 4 5 1 3 6
leappnj 0 2 4 5 1 6 3
leapjpn 0 2 4 5 3 1 6
leapjnp 0 2 4 5 3 6 1
leapnpj 0 2 4 5 6 1 3
leapnjp 0 2 4 5 6 3 1
leanpjp 0 2 4 6 1 3 5
leanppj 0 2 4 6 1 5 3
leanjpp 0 2 4 6 3 1 5
leanjpp 0 2 4 6 3 5 1
leanppj 0 2 4 6 5 1 3
leanpjp 0 2 4 6 5 3 1
leppjan 0 2 5 1 3 4 6
leppjna 0 2 5 1 3 6 4
leppajn 0 2 5 1 4 3 6
leppanj 0 2 5 1 4 6 3
leppnja 0 2 5 1 6 3 4
leppnaj 0 2 5 1 6 4 3
lepjpan 0 2 5 3 1 4 6
lepjpna 0 2 5 3 1 6 4
lepjapn 0 2 5 3 4 1 6
lepjanp 0 2 5 3 4 6 1
lepjnpa 0 2 5 3 6 1 4
lepjnap 0 2 5 3 6 4 1
lepapjn 0 2 5 4 1 3 6
lepapnj 0 2 5 4 1 6 3
lepajpn 0 2 5 4 3 1 6
lepajnp 0 2 5 4 3 6 1
lepanpj 0 2 5 4 6 1 3
lepanjp 0 2 5 4 6 3 1
lepnpja 0 2 5 6 1 3 4
lepnpaj 0 2 5 6 1 4 3
lepnjpa 0 2 5 6 3 1 4
lepnjap 0 2 5 6 3 4 1
lepnapj 0 2 5 6 4 1 3
lepnajp 0 2 5 6 4 3 1
lenpjap 0 2 6 1 3 4 5
lenpjpa 0 2 6 1 3 5 4
lenpajp 0 2 6 1 4 3 5
lenpapj 0 2 6 1 4 5 3
lenppja 0 2 6 1 5 3 4
lenppaj 0 2 6 1 5 4 3
lenjpap 0 2 6 3 1 4 5
lenjppa 0 2 6 3 1 5 4
lenjapp 0 2 6 3 4 1 5
lenjapp 0 2 6 3 4 5 1
lenjppa 0 2 6 3 5 1 4
lenjpap 0 2 6 3 5 4 1
lenapjp 0 2 6 4 1 3 5
lenappj 0 2 6 4 1 5 3
lenajpp 0 2 6 4 3 1 5
lenajpp 0 2 6 4 3 5 1
lenappj 0 2 6 4 5 1 3
lenapjp 0 2 6 4 5 3 1
lenppja 0 2 6 5 1 3 4
lenppaj 0 2 6 5 1 4 3
lenpjpa 0 2 6 5 3 1 4
lenpjap 0 2 6 5 3 4 1
lenpapj 0 2 6 5 4 1 3
lenpajp 0 2 6 5 4 3 1
ljpeapn 0 3 1 2 4 5 6
ljpeanp 0 3 1 2 4 6 5
ljpepan 0 3 1 2 5 4 6
ljpepna 0 3 1 2 5 6 4
ljpenap 0 3 1 2 6 4 5
ljpenpa 0 3 1 2 6 5 4
ljpaepn 0 3 1 4 2 5 6
ljpaenp 0 3 1 4 2 6 5
ljpapen 0 3 1 4 5 2 6
ljpapne 0 3 1 4 5 6 2
ljpanep 0 3 1 4 6 2 5
ljpanpe 0 3 1 4 6 5 2
ljppean 0 3 1 5 2 4 6
ljppena 0 3 1 5 2 6 4
ljppaen 0 3 1 5 4 2 6
ljppane 0 3 1 5 4 6 2
ljppnea 0 3 1 5 6 2 4
ljppnae 0 3 1 5 6 4 2
ljpneap 0 3 1 6 2 4 5
ljpnepa 0 3 1 6 2 5 4
ljpnaep 0 3 1 6 4 2 5
ljpnape 0 3 1 6 4 5 2
ljpnpea 0 3 1 6 5 2 4
ljpnpae 0 3 1 6 5 4 2
ljepapn 0 3 2 1 4 5 6
ljepanp 0 3 2 1 4 6 5
ljeppan 0 3 2 1 5 4 6
ljeppna 0 3 2 1 5 6 4
ljepnap 0 3 2 1 6 4 5
ljepnpa 0 3 2 1 6 5 4
ljeappn 0 3 2 4 1 5 6
ljeapnp 0 3 2 4 1 6 5
ljeappn 0 3 2 4 5 1 6
ljeapnp 0 3 2 4 5 6 1
ljeanpp 0 3 2 4 6 1 5
ljeanpp 0 3 2 4 6 5 1
ljeppan 0 3 2 5 1 4 6
ljeppna 0 3 2 5 1 6 4
ljepapn 0 3 2 5 4 1 6
ljepanp 0 3 2 5 4 6 1
ljepnpa 0 3 2 5 6 1 4
ljepnap 0 3 2 5 6 4 1
ljenpap 0 3 2 6 1 4 5
ljenppa 0 3 2 6 1 5 4
ljenapp 0 3 2 6 4 1 5
ljenapp 0 3 2 6 4 5 1
ljenppa 0 3 2 6 5 1 4
ljenpap 0 3 2 6 5 4 1
ljapepn 0 3 4 1 2 5 6
ljapenp 0 3 4 1 2 6 5
ljappen 0 3 4 1 5 2 6
ljappne 0 3 4 1 5 6 2
ljapnep 0 3 4 1 6 2 5
ljapnpe 0 3 4 1 6 5 2
ljaeppn 0 3 4 2 1 5 6
ljaepnp 0 3 4 2 1 6 5
ljaeppn 0 3 4 2 5 1 6
ljaepnp 0 3 4 2 5 6 1
ljaenpp 0 3 4 2 6 1 5
ljaenpp 0 3 4 2 6 5 1
ljappen 0 3 4 5 1 2 6
ljappne 0 3 4 5 1 6 2
ljapepn 0 3 4 5 2 1 6
ljapenp 0 3 4 5 2 6 1
ljapnpe 0 3 4 5 6 1 2
ljapnep 0 3 4 5 6 2 1
ljanpep 0 3 4 6 1 2 5
ljanppe 0 3 4 6 1 5 2
ljanepp 0 3 4 6 2 1 5
ljanepp 0 3 4 6 2 5 1
ljanppe 0 3 4 6 5 1 2
ljanpep 0 3 4 6 5 2 1
ljppean 0 3 5 1 2 4 6
ljppena 0 3 5 1 2 6 4
ljppaen 0 3 5 1 4 2 6
ljppane 0 3 5 1 4 6 2
ljppnea 0 3 5 1 6 2 4
ljppnae 0 3 5 1 6 4 2
ljpepan 0 3 5 2 1 4 6
ljpepna 0 3 5 2 1 6 4
ljpeapn 0 3 5 2 4 1 6
ljpeanp 0 3 5 2 4 6 1
ljpenpa 0 3 5 2 6 1 4
ljpenap 0 3 5 2 6 4 1
ljpapen 0 3 5 4 1 2 6
ljpapne 0 3 5 4 1 6 2
ljpaepn 0 3 5 4 2 1 6
ljpaenp 0 3 5 4 2 6 1
ljpanpe 0 3 5 4 6 1 2
ljpanep 0 3 5 4 6 2 1
ljpnpea 0 3 5 6 1 2 4
ljpnpae 0 3 5 6 1 4 2
ljpnepa 0 3 5 6 2 1 4
ljpneap 0 3 5 6 2 4 1
ljpnape 0 3 5 6 4 1 2
ljpnaep 0 3 5 6 4 2 1
ljnpeap 0 3 6 1 2 4 5
ljnpepa 0 3 6 1 2 5 4
ljnpaep 0 3 6 1 4 2 5
ljnpape 0 3 6 1 4 5 2
ljnppea 0 3 6 1 5 2 4
ljnppae 0 3 6 1 5 4 2
ljnepap 0 3 6 2 1 4 5
ljneppa 0 3 6 2 1 5 4
ljneapp 0 3 6 2 4 1 5
ljneapp 0 3 6 2 4 5 1
ljneppa 0 3 6 2 5 1 4
ljnepap 0 3 6 2 5 4 1
ljnapep 0 3 6 4 1 2 5
ljnappe 0 3 6 4 1 5 2
ljnaepp 0 3 6 4 2 1 5
ljnaepp 0 3 6 4 2 5 1
ljnappe 0 3 6 4 5 1 2
ljnapep 0 3 6 4 5 2 1
ljnppea 0 3 6 5 1 2 4
ljnppae 0 3 6 5 1 4 2
ljnpepa 0 3 6 5 2 1 4
ljnpeap 0 3 6 5 2 4 1
ljnpape 0 3 6 5 4 1 2
ljnpaep 0 3 6 5 4 2 1
lapejpn 0 4 1 2 3 5 6
lapejnp 0 4 1 2 3 6 5
lapepjn 0 4 1 2 5 3 6
lapepnj 0 4 1 2 5 6 3
lapenjp 0 4 1 2 6 3 5
lapenpj 0 4 1 2 6 5 3
lapjepn 0 4 1 3 2 5 6
lapjenp 0 4 1 3 2 6 5
lapjpen 0 4 1 3 5 2 6
lapjpne 0 4 1 3 5 6 2
lapjnep 0 4 1 3 6 2 5
lapjnpe 0 4 1 3 6 5 2
lappejn 0 4 1 5 2 3 6
lappenj 0 4 1 5 2 6 3
lappjen 0 4 1 5 3 2 6
lappjne 0 4 1 5 3 6 2
lappnej 0 4 1 5 6 2 3
lappnje 0 4 1 5 6 3 2
lapnejp 0 4 1 6 2 3 5
lapnepj 0 4 1 6 2 5 3
lapnjep 0 4 1 6 3 2 5
lapnjpe 0 4 1 6 3 5 2
lapnpej 0 4 1 6 5 2 3
lapnpje 0 4 1 6 5 3 2
laepjpn 0 4 2 1 3 5 6
laepjnp 0 4 2 1 3 6 5
laeppjn 0 4 2 1 5 3 6
laeppnj 0 4 2 1 5 6 3
laepnjp 0 4 2 1 6 3 5
laepnpj 0 4 2 1 6 5 3
laejppn 0 4 2 3 1 5 6
laejpnp 0 4 2 3 1 6 5
laejppn 0 4 2 3 5 1 6
laejpnp 0 4 2 3 5 6 1
laejnpp 0 4 2 3 6 1 5
laejnpp 0 4 2 3 6 5 1
laeppjn 0 4 2 5 1 3 6
laeppnj 0 4 2 5 1 6 3
laepjpn 0 4 2 5 3 1 6
laepjnp 0 4 2 5 3 6 1
laepnpj 0 4 2 5 6 1 3
laepnjp 0 4 2 5 6 3 1
laenpjp 0 4 2 6 1 3 5
laenppj 0 4 2 6 1 5 3
laenjpp 0 4 2 6 3 1 5
laenjpp 0 4 2 6 3 5 1
laenppj 0 4 2 6 5 1 3
laenpjp 0 4 2 6 5 3 1
lajpepn 0 4 3 1 2 5 6
lajpenp 0 4 3 1 2 6 5
lajppen 0 4 3 1 5 2 6
lajppne 0 4 3 1 5 6 2
lajpnep 0 4 3 1 6 2 5
lajpnpe 0 4 3 1 6 5 2
lajeppn 0 4 3 2 1 5 6
lajepnp 0 4 3 2 1 6 5
lajeppn 0 4 3 2 5 1 6
lajepnp 0 4 3 2 5 6 1
lajenpp 0 4 3 2 6 1 5
lajenpp 0 4 3 2 6 5 1
lajppen 0 4 3 5 1 2 6
lajppne 0 4 3 5 1 6 2
lajpepn 0 4 3 5 2 1 6
lajpenp 0 4 3 5 2 6 1
lajpnpe 0 4 3 5 6 1 2
lajpnep 0 4 3 5 6 2 1
lajnpep 0 4 3 6 1 2 5
lajnppe 0 4 3 6 1 5 2
lajnepp 0 4 3 6 2 1 5
lajnepp 0 4 3 6 2 5 1
lajnppe 0 4 3 6 5 1 2
lajnpep 0 4 3 6 5 2 1
lappejn 0 4 5 1 2 3 6
lappenj 0 4 5 1 2 6 3
lappjen 0 4 5 1 3 2 6
lappjne 0 4 5 1 3 6 2
lappnej 0 4 5 1 6 2 3
lappnje 0 4 5 1 6 3 2
lapepjn 0 4 5 2 1 3 6
lapepnj 0 4 5 2 1 6 3
lapejpn 0 4 5 2 3 1 6
lapejnp 0 4 5 2 3 6 1
lapenpj 0 4 5 2 6 1 3
lapenjp 0 4 5 2 6 3 1
lapjpen 0 4 5 3 1 2 6
lapjpne 0 4 5 3 1 6 2
lapjepn 0 4 5 3 2 1 6
lapjenp 0 4 5 3 2 6 1
lapjnpe 0 4 5 3 6 1 2
lapjnep 0 4 5 3 6 2 1
lapnpej 0 4 5 6 1 2 3
lapnpje 0 4 5 6 1 3 2
lapnepj 0 4 5 6 2 1 3
lapnejp 0 4 5 6 2 3 1
lapnjpe 0 4 5 6 3 1 2
lapnjep 0 4 5 6 3 2 1
lanpejp 0 4 6 1 2 3 5
lanpepj 0 4 6 1 2 5 3
lanpjep 0 4 6 1 3 2 5
lanpjpe 0 4 6 1 3 5 2
lanppej 0 4 6 1 5 2 3
lanppje 0 4 6 1 5 3 2
lanepjp 0 4 6 2 1 3 5
laneppj 0 4 6 2 1 5 3
lanejpp 0 4 6 2 3 1 5
lanejpp 0 4 6 2 3 5 1
laneppj 0 4 6 2 5 1 3
lanepjp 0 4 6 2 5 3 1
lanjpep 0 4 6 3 1 2 5
lanjppe 0 4 6 3 1 5 2
lanjepp 0 4 6 3 2 1 5
lanjepp 0 4 6 3 2 5 1
lanjppe 0 4 6 3 5 1 2
lanjpep 0 4 6 3 5 2 1
lanppej 0 4 6 5 1 2 3
lanppje 0 4 6 5 1 3 2
lanpepj 0 4 6 5 2 1 3
lanpejp 0 4 6 5 2 3 1
lanpjpe 0 4 6 5 3 1 2
lanpjep 0 4 6 5 3 2 1
lppejan 0 5 1 2 3 4 6
lppejna 0 5 1 2 3 6 4
lppeajn 0 5 1 2 4 3 6
lppeanj 0 5 1 2 4 6 3
lppenja 0 5 1 2 6 3 4
lppenaj 0 5 1 2 6 4 3
lppjean 0 5 1 3 2 4 6
lppjena 0 5 1 3 2 6 4
lppjaen 0 5 1 3 4 2 6
lppjane 0 5 1 3 4 6 2
lppjnea 0 5 1 3 6 2 4
lppjnae 0 5 1 3 6 4 2
lppaejn 0 5 1 4 2 3 6
lppaenj 0 5 1 4 2 6 3
lppajen 0 5 1 4 3 2 6
lppajne 0 5 1 4 3 6 2
lppanej 0 5 1 4 6 2 3
lppanje 0 5 1 4 6 3 2
lppneja 0 5 1 6 2 3 4
lppneaj 0 5 1 6 2 4 3
lppnjea 0 5 1 6 3 2 4
lppnjae 0 5 1 6 3 4 2
lppnaej 0 5 1 6 4 2 3
lppnaje 0 5 1 6 4 3 2
lpepjan 0 5 2 1 3 4 6
lpepjna 0 5 2 1 3 6 4
lpepajn 0 5 2 1 4 3 6
lpepanj 0 5 2 1 4 6 3
lpepnja 0 5 2 1 6 3 4
lpepnaj 0 5 2 1 6 4 3
lpejpan 0 5 2 3 1 4 6
lpejpna 0 5 2 3 1 6 4
lpejapn 0 5 2 3 4 1 6
lpejanp 0 5 2 3 4 6 1
lpejnpa 0 5 2 3 6 1 4
lpejnap 0 5 2 3 6 4 1
lpeapjn 0 5 2 4 1 3 6
lpeapnj 0 5 2 4 1 6 3
lpeajpn 0 5 2 4 3 1 6
lpeajnp 0 5 2 4 3 6 1
lpeanpj 0 5 2 4 6 1 3
lpeanjp 0 5 2 4 6 3 1
lpenpja 0 5 2 6 1 3 4
lpenpaj 0 5 2 6 1 4 3
lpenjpa 0 5 2 6 3 1 4
lpenjap 0 5 2 6 3 4 1
lpenapj 0 5 2 6 4 1 3
lpenajp 0 5 2 6 4 3 1
lpjpean 0 5 3 1 2 4 6
lpjpena 0 5 3 1 2 6 4
lpjpaen 0 5 3 1 4 2 6
lpjpane 0 5 3 1 4 6 2
lpjpnea 0 5 3 1 6 2 4
lpjpnae 0 5 3 1 6 4 2
lpjepan 0 5 3 2 1 4 6
lpjepna 0 5 3 2 1 6 4
lpjeapn 0 5 3 2 4 1 6
lpjeanp 0 5 3 2 4 6 1
lpjenpa 0 5 3 2 6 1 4
lpjenap 0 5 3 2 6 4 1
lpjapen 0 5 3 4 1 2 6
lpjapne 0 5 3 4 1 6 2
lpjaepn 0 5 3 4 2 1 6
lpjaenp 0 5 3 4 2 6 1
lpjanpe 0 5 3 4 6 1 2
lpjanep 0 5 3 4 6 2 1
lpjnpea 0 5 3 6 1 2 4
lpjnpae 0 5 3 6 1 4 2
lpjnepa 0 5 3 6 2 1 4
lpjneap 0 5 3 6 2 4 1
lpjnape 0 5 3 6 4 1 2
lpjnaep 0 5 3 6 4 2 1
lpapejn 0 5 4 1 2 3 6
lpapenj 0 5 4 1 2 6 3
lpapjen 0 5 4 1 3 2 6
lpapjne 0 5 4 1 3 6 2
lpapnej 0 5 4 1 6 2 3
lpapnje 0 5 4 1 6 3 2
lpaepjn 0 5 4 2 1 3 6
lpaepnj 0 5 4 2 1 6 3
lpaejpn 0 5 4 2 3 1 6
lpaejnp 0 5 4 2 3 6 1
lpaenpj 0 5 4 2 6 1 3
lpaenjp 0 5 4 2 6 3 1
lpajpen 0 5 4 3 1 2 6
lpajpne 0 5 4 3 1 6 2
lpajepn 0 5 4 3 2 1 6
lpajenp 0 5 4 3 2 6 1
lpajnpe 0 5 4 3 6 1 2
lpajnep 0 5 4 3 6 2 1
lpanpej 0 5 4 6 1 2 3
lpanpje 0 5 4 6 1 3 2
lpanepj 0 5 4 6 2 1 3
lpanejp 0 5 4 6 2 3 1
lpanjpe 0 5 4 6 3 1 2
lpanjep 0 5 4 6 3 2 1
lpnpeja 0 5 6 1 2 3 4
lpnpeaj 0 5 6 1 2 4 3
lpnpjea 0 5 6 1 3 2 4
lpnpjae 0 5 6 1 3 4 2
lpnpaej 0 5 6 1 4 2 3
lpnpaje 0 5 6 1 4 3 2
lpnepja 0 5 6 2 1 3 4
lpnepaj 0 5 6 2 1 4 3
lpnejpa 0 5 6 2 3 1 4
lpnejap 0 5 6 2 3 4 1
lpneapj 0 5 6 2 4 1 3
lpneajp 0 5 6 2 4 3 1
lpnjpea 0 5 6 3 1 2 4
lpnjpae 0 5 6 3 1 4 2
lpnjepa 0 5 6 3 2 1 4
lpnjeap 0 5 6 3 2 4 1
lpnjape 0 5 6 3 4 1 2
lpnjaep 0 5 6 3 4 2 1
lpnapej 0 5 6 4 1 2 3
lpnapje 0 5 6 4 1 3 2
lpnaepj 0 5 6 4 2 1 3
lpnaejp 0 5 6 4 2 3 1
lpnajpe 0 5 6 4 3 1 2
lpnajep 0 5 6 4 3 2 1
lnpejap 0 6 1 2 3 4 5
lnpejpa 0 6 1 2 3 5 4
lnpeajp 0 6 1 2 4 3 5
lnpeapj 0 6 1 2 4 5 3
lnpepja 0 6 1 2 5 3 4
lnpepaj 0 6 1 2 5 4 3
lnpjeap 0 6 1 3 2 4 5
lnpjepa 0 6 1 3 2 5 4
lnpjaep 0 6 1 3 4 2 5
lnpjape 0 6 1 3 4 5 2
lnpjpea 0 6 1 3 5 2 4
lnpjpae 0 6 1 3 5 4 2
lnpaejp 0 6 1 4 2 3 5
lnpaepj 0 6 1 4 2 5 3
lnpajep 0 6 1 4 3 2 5
lnpajpe 0 6 1 4 3 5 2
lnpapej 0 6 1 4 5 2 3
lnpapje 0 6 1 4 5 3 2
lnppeja 0 6 1 5 2 3 4
lnppeaj 0 6 1 5 2 4 3
lnppjea 0 6 1 5 3 2 4
lnppjae 0 6 1 5 3 4 2
lnppaej 0 6 1 5 4 2 3
lnppaje 0 6 1 5 4 3 2
lnepjap 0 6 2 1 3 4 5
lnepjpa 0 6 2 1 3 5 4
lnepajp 0 6 2 1 4 3 5
lnepapj 0 6 2 1 4 5 3
lneppja 0 6 2 1 5 3 4
lneppaj 0 6 2 1 5 4 3
lnejpap 0 6 2 3 1 4 5
lnejppa 0 6 2 3 1 5 4
lnejapp 0 6 2 3 4 1 5
lnejapp 0 6 2 3 4 5 1
lnejppa 0 6 2 3 5 1 4
lnejpap 0 6 2 3 5 4 1
lneapjp 0 6 2 4 1 3 5
lneappj 0 6 2 4 1 5 3
lneajpp 0 6 2 4 3 1 5
lneajpp 0 6 2 4 3 5 1
lneappj 0 6 2 4 5 1 3
lneapjp 0 6 2 4 5 3 1
lneppja 0 6 2 5 1 3 4
lneppaj 0 6 2 5 1 4 3
lnepjpa 0 6 2 5 3 1 4
lnepjap 0 6 2 5 3 4 1
lnepapj 0 6 2 5 4 1 3
lnepajp 0 6 2 5 4 3 1
lnjpeap 0 6 3 1 2 4 5
lnjpepa 0 6 3 1 2 5 4
lnjpaep 0 6 3 1 4 2 5
lnjpape 0 6 3 1 4 5 2
lnjppea 0 6 3 1 5 2 4
lnjppae 0 6 3 1 5 4 2
lnjepap 0 6 3 2 1 4 5
lnjeppa 0 6 3 2 1 5 4
lnjeapp 0 6 3 2 4 1 5
lnjeapp 0 6 3 2 4 5 1
lnjeppa 0 6 3 2 5 1 4
lnjepap 0 6 3 2 5 4 1
lnjapep 0 6 3 4 1 2 5
lnjappe 0 6 3 4 1 5 2
lnjaepp 0 6 3 4 2 1 5
lnjaepp 0 6 3 4 2 5 1
lnjappe 0 6 3 4 5 1 2
lnjapep 0 6 3 4 5 2 1
lnjppea 0 6 3 5 1 2 4
lnjppae 0 6 3 5 1 4 2
lnjpepa 0 6 3 5 2 1 4
lnjpeap 0 6 3 5 2 4 1
lnjpape 0 6 3 5 4 1 2
lnjpaep 0 6 3 5 4 2 1
lnapejp 0 6 4 1 2 3 5
lnapepj 0 6 4 1 2 5 3
lnapjep 0 6 4 1 3 2 5
lnapjpe 0 6 4 1 3 5 2
lnappej 0 6 4 1 5 2 3
lnappje 0 6 4 1 5 3 2
lnaepjp 0 6 4 2 1 3 5
lnaeppj 0 6 4 2 1 5 3
lnaejpp 0 6 4 2 3 1 5
lnaejpp 0 6 4 2 3 5 1
lnaeppj 0 6 4 2 5 1 3
lnaepjp 0 6 4 2 5 3 1
lnajpep 0 6 4 3 1 2 5
lnajppe 0 6 4 3 1 5 2
lnajepp 0 6 4 3 2 1 5
lnajepp 0 6 4 3 2 5 1
lnajppe 0 6 4 3 5 1 2
lnajpep 0 6 4 3 5 2 1
lnappej 0 6 4 5 1 2 3
lnappje 0 6 4 5 1 3 2
lnapepj 0 6 4 5 2 1 3
