Shift: 4
eixctig 0 1 2 3 4 5 6
eiicgtx 0 1 5 3 6 4 2
eiitxcg 0 1 5 4 2 3 6
eiitxgc 0 1 5 4 2 6 3
eiitcxg 0 1 5 4 3 2 6
eiitcgx 0 1 5 4 3 6 2
eiitgxc 0 1 5 4 6 2 3
eiitgcx 0 1 5 4 6 3 2
eiigxct 0 1 5 6 2 3 4
eiigxtc 0 1 5 6 2 4 3
eiigcxt 0 1 5 6 3 2 4
eiigctx 0 1 5 6 3 4 2
eiigtxc 0 1 5 6 4 2 3
eiigtcx 0 1 5 6 4 3 2
eigxcti 0 1 6 2 3 4 5
eigxcit 0 1 6 2 3 5 4
eigxtci 0 1 6 2 4 3 5
eigxtic 0 1 6 2 4 5 3
eigxict 0 1 6 2 5 3 4
eigxitc 0 1 6 2 5 4 3
eigcxti 0 1 6 3 2 4 5
eigcxit 0 1 6 3 2 5 4
eigctxi 0 1 6 3 4 2 5
eigctix 0 1 6 3 4 5 2
eigcixt 0 1 6 3 5 2 4
eigcitx 0 1 6 3 5 4 2
eigtxci 0 1 6 4 2 3 5
eigtxic 0 1 6 4 2 5 3
eigtcxi 0 1 6 4 3 2 5
eigtcix 0 1 6 4 3 5 2
eigtixc 0 1 6 4 5 2 3
eigticx 0 1 6 4 5 3 2
eigixct 0 1 6 5 2 3 4
eigixtc 0 1 6 5 2 4 3
eigicxt 0 1 6 5 3 2 4
eigictx 0 1 6 5 3 4 2
eigitxc 0 1 6 5 4 2 3
eigitcx 0 1 6 5 4 3 2
exictig 0 2 1 3 4 5 6
exictgi 0 2 1 3 4 6 5
exicitg 0 2 1 3 5 4 6
exicigt 0 2 1 3 5 6 4
exicgti 0 2 1 3 6 4 5
exicgit 0 2 1 3 6 5 4
exitcig 0 2 1 4 3 5 6
exitcgi 0 2 1 4 3 6 5
exiticg 0 2 1 4 5 3 6
exitigc 0 2 1 4 5 6 3
exitgci 0 2 1 4 6 3 5
exitgic 0 2 1 4 6 5 3
exiictg 0 2 1 5 3 4 6
exiicgt 0 2 1 5 3 6 4
exiitcg 0 2 1 5 4 3 6
exiitgc 0 2 1 5 4 6 3
exiigct 0 2 1 5 6 3 4
exiigtc 0 2 1 5 6 4 3
exigcti 0 2 1 6 3 4 5
exigcit 0 2 1 6 3 5 4
exigtci 0 2 1 6 4 3 5
exigtic 0 2 1 6 4 5 3
exigict 0 2 1 6 5 3 4
exigitc 0 2 1 6 5 4 3
excitig 0 2 3 1 4 5 6
excitgi 0 2 3 1 4 6 5
exciitg 0 2 3 1 5 4 6
exciigt 0 2 3 1 5 6 4
excigti 0 2 3 1 6 4 5
excigit 0 2 3 1 6 5 4
exctiig 0 2 3 4 1 5 6
exctigi 0 2 3 4 1 6 5
exctiig 0 2 3 4 5 1 6
exctigi 0 2 3 4 5 6 1
exctgii 0 2 3 4 6 1 5
exctgii 0 2 3 4 6 5 1
exciitg 0 2 3 5 1 4 6
exciigt 0 2 3 5 1 6 4
excitig 0 2 3 5 4 1 6
excitgi 0 2 3 5 4 6 1
excigit 0 2 3 5 6 1 4
excigti 0 2 3 5 6 4 1
excgiti 0 2 3 6 1 4 5
excgiit 0 2 3 6 1 5 4
excgtii 0 2 3 6 4 1 5
excgtii 0 2 3 6 4 5 1
excgiit 0 2 3 6 5 1 4
excgiti 0 2 3 6 5 4 1
exticig 0 2 4 1 3 5 6
exticgi 0 2 4 1 3 6 5
extiicg 0 2 4 1 5 3 6
extiigc 0 2 4 1 5 6 3
extigci 0 2 4 1 6 3 5
extigic 0 2 4 1 6 5 3
extciig 0 2 4 3 1 5 6
extcigi 0 2 4 3 1 6 5
extciig 0 2 4 3 5 1 6
extcigi 0 2 4 3 5 6 1
extcgii 0 2 4 3 6 1 5
extcgii 0 2 4 3 6 5 1
extiicg 0 2 4 5 1 3 6
extiigc 0 2 4 5 1 6 3
exticig 0 2 4 5 3 1 6
exticgi 0 2 4 5 3 6 1
extigic 0 2 4 5 6 1 3
extigci 0 2 4 5 6 3 1
extgici 0 2 4 6 1 3 5
extgiic 0 2 4 6 1 5 3
extgcii 0 2 4 6 3 1 5
extgcii 0 2 4 6 3 5 1
extgiic 0 2 4 6 5 1 3
extgici 0 2 4 6 5 3 1
exiictg 0 2 5 1 3 4 6
exiicgt 0 2 5 1 3 6 4
exiitcg 0 2 5 1 4 3 6
exiitgc 0 2 5 1 4 6 3
exiigct 0 2 5 1 6 3 4
exiigtc 0 2 5 1 6 4 3
exicitg 0 2 5 3 1 4 6
exicigt 0 2 5 3 1 6 4
exictig 0 2 5 3 4 1 6
exictgi 0 2 5 3 4 6 1
exicgit 0 2 5 3 6 1 4
exicgti 0 2 5 3 6 4 1
exiticg 0 2 5 4 1 3 6
exitigc 0 2 5 4 1 6 3
exitcig 0 2 5 4 3 1 6
exitcgi 0 2 5 4 3 6 1
exitgic 0 2 5 4 6 1 3
exitgci 0 2 5 4 6 3 1
exigict 0 2 5 6 1 3 4
exigitc 0 2 5 6 1 4 3
exigcit 0 2 5 6 3 1 4
exigcti 0 2 5 6 3 4 1
exigtic 0 2 5 6 4 1 3
exigtci 0 2 5 6 4 3 1
exgicti 0 2 6 1 3 4 5
exgicit 0 2 6 1 3 5 4
exgitci 0 2 6 1 4 3 5
exgitic 0 2 6 1 4 5 3
exgiict 0 2 6 1 5 3 4
exgiitc 0 2 6 1 5 4 3
exgciti 0 2 6 3 1 4 5
exgciit 0 2 6 3 1 5 4
exgctii 0 2 6 3 4 1 5
exgctii 0 2 6 3 4 5 1
exgciit 0 2 6 3 5 1 4
exgciti 0 2 6 3 5 4 1
exgtici 0 2 6 4 1 3 5
exgtiic 0 2 6 4 1 5 3
exgtcii 0 2 6 4 3 1 5
exgtcii 0 2 6 4 3 5 1
exgtiic 0 2 6 4 5 1 3
exgtici 0 2 6 4 5 3 1
exgiict 0 2 6 5 1 3 4
exgiitc 0 2 6 5 1 4 3
exgicit 0 2 6 5 3 1 4
exgicti 0 2 6 5 3 4 1
exgitic 0 2 6 5 4 1 3
exgitci 0 2 6 5 4 3 1
ecixtig 0 3 1 2 4 5 6
ecixtgi 0 3 1 2 4 6 5
ecixitg 0 3 1 2 5 4 6
ecixigt 0 3 1 2 5 6 4
ecixgti 0 3 1 2 6 4 5
ecixgit 0 3 1 2 6 5 4
ecitxig 0 3 1 4 2 5 6
ecitxgi 0 3 1 4 2 6 5
ecitixg 0 3 1 4 5 2 6
ecitigx 0 3 1 4 5 6 2
ecitgxi 0 3 1 4 6 2 5
ecitgix 0 3 1 4 6 5 2
eciixtg 0 3 1 5 2 4 6
eciixgt 0 3 1 5 2 6 4
eciitxg 0 3 1 5 4 2 6
eciitgx 0 3 1 5 4 6 2
eciigxt 0 3 1 5 6 2 4
eciigtx 0 3 1 5 6 4 2
ecigxti 0 3 1 6 2 4 5
ecigxit 0 3 1 6 2 5 4
ecigtxi 0 3 1 6 4 2 5
ecigtix 0 3 1 6 4 5 2
ecigixt 0 3 1 6 5 2 4
ecigitx 0 3 1 6 5 4 2
ecxitig 0 3 2 1 4 5 6
ecxitgi 0 3 2 1 4 6 5
ecxiitg 0 3 2 1 5 4 6
ecxiigt 0 3 2 1 5 6 4
ecxigti 0 3 2 1 6 4 5
ecxigit 0 3 2 1 6 5 4
ecxtiig 0 3 2 4 1 5 6
ecxtigi 0 3 2 4 1 6 5
ecxtiig 0 3 2 4 5 1 6
ecxtigi 0 3 2 4 5 6 1
ecxtgii 0 3 2 4 6 1 5
ecxtgii 0 3 2 4 6 5 1
ecxiitg 0 3 2 5 1 4 6
ecxiigt 0 3 2 5 1 6 4
ecxitig 0 3 2 5 4 1 6
ecxitgi 0 3 2 5 4 6 1
ecxigit 0 3 2 5 6 1 4
ecxigti 0 3 2 5 6 4 1
ecxgiti 0 3 2 6 1 4 5
ecxgiit 0 3 2 6 1 5 4
ecxgtii 0 3 2 6 4 1 5
ecxgtii 0 3 2 6 4 5 1
ecxgiit 0 3 2 6 5 1 4
ecxgiti 0 3 2 6 5 4 1
ectixig 0 3 4 1 2 5 6
ectixgi 0 3 4 1 2 6 5
ectiixg 0 3 4 1 5 2 6
ectiigx 0 3 4 1 5 6 2
ectigxi 0 3 4 1 6 2 5
ectigix 0 3 4 1 6 5 2
ectxiig 0 3 4 2 1 5 6
ectxigi 0 3 4 2 1 6 5
ectxiig 0 3 4 2 5 1 6
ectxigi 0 3 4 2 5 6 1
ectxgii 0 3 4 2 6 1 5
ectxgii 0 3 4 2 6 5 1
ectiixg 0 3 4 5 1 2 6
ectiigx 0 3 4 5 1 6 2
ectixig 0 3 4 5 2 1 6
ectixgi 0 3 4 5 2 6 1
ectigix 0 3 4 5 6 1 2
ectigxi 0 3 4 5 6 2 1
ectgixi 0 3 4 6 1 2 5
ectgiix 0 3 4 6 1 5 2
ectgxii 0 3 4 6 2 1 5
ectgxii 0 3 4 6 2 5 1
ectgiix 0 3 4 6 5 1 2
ectgixi 0 3 4 6 5 2 1
eciixtg 0 3 5 1 2 4 6
eciixgt 0 3 5 1 2 6 4
eciitxg 0 3 5 1 4 2 6
eciitgx 0 3 5 1 4 6 2
eciigxt 0 3 5 1 6 2 4
eciigtx 0 3 5 1 6 4 2
ecixitg 0 3 5 2 1 4 6
ecixigt 0 3 5 2 1 6 4
ecixtig 0 3 5 2 4 1 6
ecixtgi 0 3 5 2 4 6 1
ecixgit 0 3 5 2 6 1 4
ecixgti 0 3 5 2 6 4 1
ecitixg 0 3 5 4 1 2 6
ecitigx 0 3 5 4 1 6 2
ecitxig 0 3 5 4 2 1 6
ecitxgi 0 3 5 4 2 6 1
ecitgix 0 3 5 4 6 1 2
ecitgxi 0 3 5 4 6 2 1
ecigixt 0 3 5 6 1 2 4
ecigitx 0 3 5 6 1 4 2
ecigxit 0 3 5 6 2 1 4
ecigxti 0 3 5 6 2 4 1
ecigtix 0 3 5 6 4 1 2
ecigtxi 0 3 5 6 4 2 1
ecgixti 0 3 6 1 2 4 5
ecgixit 0 3 6 1 2 5 4
ecgitxi 0 3 6 1 4 2 5
ecgitix 0 3 6 1 4 5 2
ecgiixt 0 3 6 1 5 2 4
ecgiitx 0 3 6 1 5 4 2
ecgxiti 0 3 6 2 1 4 5
ecgxiit 0 3 6 2 1 5 4
ecgxtii 0 3 6 2 4 1 5
ecgxtii 0 3 6 2 4 5 1
ecgxiit 0 3 6 2 5 1 4
ecgxiti 0 3 6 2 5 4 1
ecgtixi 0 3 6 4 1 2 5
ecgtiix 0 3 6 4 1 5 2
ecgtxii 0 3 6 4 2 1 5
ecgtxii 0 3 6 4 2 5 1
ecgtiix 0 3 6 4 5 1 2
ecgtixi 0 3 6 4 5 2 1
ecgiixt 0 3 6 5 1 2 4
ecgiitx 0 3 6 5 1 4 2
ecgixit 0 3 6 5 2 1 4
ecgixti 0 3 6 5 2 4 1
ecgitix 0 3 6 5 4 1 2
ecgitxi 0 3 6 5 4 2 1
etixcig 0 4 1 2 3 5 6
etixcgi 0 4 1 2 3 6 5
etixicg 0 4 1 2 5 3 6
etixigc 0 4 1 2 5 6 3
etixgci 0 4 1 2 6 3 5
etixgic 0 4 1 2 6 5 3
eticxig 0 4 1 3 2 5 6
eticxgi 0 4 1 3 2 6 5
eticixg 0 4 1 3 5 2 6
eticigx 0 4 1 3 5 6 2
eticgxi 0 4 1 3 6 2 5
eticgix 0 4 1 3 6 5 2
etiixcg 0 4 1 5 2 3 6
etiixgc 0 4 1 5 2 6 3
etiicxg 0 4 1 5 3 2 6
etiicgx 0 4 1 5 3 6 2
etiigxc 0 4 1 5 6 2 3
etiigcx 0 4 1 5 6 3 2
etigxci 0 4 1 6 2 3 5
etigxic 0 4 1 6 2 5 3
etigcxi 0 4 1 6 3 2 5
etigcix 0 4 1 6 3 5 2
etigixc 0 4 1 6 5 2 3
etigicx 0 4 1 6 5 3 2
etxicig 0 4 2 1 3 5 6
etxicgi 0 4 2 1 3 6 5
etxiicg 0 4 2 1 5 3 6
etxiigc 0 4 2 1 5 6 3
etxigci 0 4 2 1 6 3 5
etxigic 0 4 2 1 6 5 3
etxciig 0 4 2 3 1 5 6
etxcigi 0 4 2 3 1 6 5
etxciig 0 4 2 3 5 1 6
etxcigi 0 4 2 3 5 6 1
etxcgii 0 4 2 3 6 1 5
etxcgii 0 4 2 3 6 5 1
etxiicg 0 4 2 5 1 3 6
etxiigc 0 4 2 5 1 6 3
etxicig 0 4 2 5 3 1 6
etxicgi 0 4 2 5 3 6 1
etxigic 0 4 2 5 6 1 3
etxigci 0 4 2 5 6 3 1
etxgici 0 4 2 6 1 3 5
etxgiic 0 4 2 6 1 5 3
etxgcii 0 4 2 6 3 1 5
etxgcii 0 4 2 6 3 5 1
etxgiic 0 4 2 6 5 1 3
etxgici 0 4 2 6 5 3 1
etcixig 0 4 3 1 2 5 6
etcixgi 0 4 3 1 2 6 5
etciixg 0 4 3 1 5 2 6
etciigx 0 4 3 1 5 6 2
etcigxi 0 4 3 1 6 2 5
etcigix 0 4 3 1 6 5 2
etcxiig 0 4 3 2 1 5 6
etcxigi 0 4 3 2 1 6 5
etcxiig 0 4 3 2 5 1 6
etcxigi 0 4 3 2 5 6 1
etcxgii 0 4 3 2 6 1 5
etcxgii 0 4 3 2 6 5 1
etciixg 0 4 3 5 1 2 6
etciigx 0 4 3 5 1 6 2
etcixig 0 4 3 5 2 1 6
etcixgi 0 4 3 5 2 6 1
etcigix 0 4 3 5 6 1 2
etcigxi 0 4 3 5 6 2 1
etcgixi 0 4 3 6 1 2 5
etcgiix 0 4 3 6 1 5 2
etcgxii 0 4 3 6 2 1 5
etcgxii 0 4 3 6 2 5 1
etcgiix 0 4 3 6 5 1 2
etcgixi 0 4 3 6 5 2 1
etiixcg 0 4 5 1 2 3 6
etiixgc 0 4 5 1 2 6 3
etiicxg 0 4 5 1 3 2 6
etiicgx 0 4 5 1 3 6 2
etiigxc 0 4 5 1 6 2 3
etiigcx 0 4 5 1 6 3 2
etixicg 0 4 5 2 1 3 6
etixigc 0 4 5 2 1 6 3
etixcig 0 4 5 2 3 1 6
etixcgi 0 4 5 2 3 6 1
etixgic 0 4 5 2 6 1 3
etixgci 0 4 5 2 6 3 1
eticixg 0 4 5 3 1 2 6
eticigx 0 4 5 3 1 6 2
eticxig 0 4 5 3 2 1 6
eticxgi 0 4 5 3 2 6 1
eticgix 0 4 5 3 6 1 2
eticgxi 0 4 5 3 6 2 1
etigixc 0 4 5 6 1 2 3
etigicx 0 4 5 6 1 3 2
etigxic 0 4 5 6 2 1 3
etigxci 0 4 5 6 2 3 1
etigcix 0 4 5 6 3 1 2
etigcxi 0 4 5 6 3 2 1
etgixci 0 4 6 1 2 3 5
etgixic 0 4 6 1 2 5 3
etgicxi 0 4 6 1 3 2 5
etgicix 0 4 6 1 3 5 2
etgiixc 0 4 6 1 5 2 3
etgiicx 0 4 6 1 5 3 2
etgxici 0 4 6 2 1 3 5
etgxiic 0 4 6 2 1 5 3
etgxcii 0 4 6 2 3 1 5
etgxcii 0 4 6 2 3 5 1
etgxiic 0 4 6 2 5 1 3
etgxici 0 4 6 2 5 3 1
etgcixi 0 4 6 3 1 2 5
etgciix 0 4 6 3 1 5 2
etgcxii 0 4 6 3 2 1 5
etgcxii 0 4 6 3 2 5 1
etgciix 0 4 6 3 5 1 2
etgcixi 0 4 6 3 5 2 1
etgiixc 0 4 6 5 1 2 3
etgiicx 0 4 6 5 1 3 2
etgixic 0 4 6 5 2 1 3
etgixci 0 4 6 5 2 3 1
etgicix 0 4 6 5 3 1 2
etgicxi 0 4 6 5 3 2 1
eiixctg 0 5 1 2 3 4 6
eiixcgt 0 5 1 2 3 6 4
eiixtcg 0 5 1 2 4 3 6
eiixtgc 0 5 1 2 4 6 3
eiixgct 0 5 1 2 6 3 4
eiixgtc 0 5 1 2 6 4 3
eiicxtg 0 5 1 3 2 4 6
eiicxgt 0 5 1 3 2 6 4
eiictxg 0 5 1 3 4 2 6
eiictgx 0 5 1 3 4 6 2
eiicgxt 0 5 1 3 6 2 4
eiicgtx 0 5 1 3 6 4 2
eiitxcg 0 5 1 4 2 3 6
eiitxgc 0 5 1 4 2 6 3
eiitcxg 0 5 1 4 3 2 6
eiitcgx 0 5 1 4 3 6 2
eiitgxc 0 5 1 4 6 2 3
eiitgcx 0 5 1 4 6 3 2
eiigxct 0 5 1 6 2 3 4
eiigxtc 0 5 1 6 2 4 3
eiigcxt 0 5 1 6 3 2 4
eiigctx 0 5 1 6 3 4 2
eiigtxc 0 5 1 6 4 2 3
eiigtcx 0 5 1 6 4 3 2
eixictg 0 5 2 1 3 4 6
eixicgt 0 5 2 1 3 6 4
eixitcg 0 5 2 1 4 3 6
eixitgc 0 5 2 1 4 6 3
eixigct 0 5 2 1 6 3 4
eixigtc 0 5 2 1 6 4 3
eixcitg 0 5 2 3 1 4 6
eixcigt 0 5 2 3 1 6 4
eixctig 0 5 2 3 4 1 6
eixctgi 0 5 2 3 4 6 1
eixcgit 0 5 2 3 6 1 4
eixcgti 0 5 2 3 6 4 1
eixticg 0 5 2 4 1 3 6
eixtigc 0 5 2 4 1 6 3
eixtcig 0 5 2 4 3 1 6
eixtcgi 0 5 2 4 3 6 1
eixtgic 0 5 2 4 6 1 3
eixtgci 0 5 2 4 6 3 1
eixgict 0 5 2 6 1 3 4
eixgitc 0 5 2 6 1 4 3
eixgcit 0 5 2 6 3 1 4
eixgcti 0 5 2 6 3 4 1
eixgtic 0 5 2 6 4 1 3
eixgtci 0 5 2 6 4 3 1
eicixtg 0 5 3 1 2 4 6
eicixgt 0 5 3 1 2 6 4
eicitxg 0 5 3 1 4 2 6
eicitgx 0 5 3 1 4 6 2
eicigxt 0 5 3 1 6 2 4
eicigtx 0 5 3 1 6 4 2
eicxitg 0 5 3 2 1 4 6
eicxigt 0 5 3 2 1 6 4
eicxtig 0 5 3 2 4 1 6
eicxtgi 0 5 3 2 4 6 1
eicxgit 0 5 3 2 6 1 4
eicxgti 0 5 3 2 6 4 1
eictixg 0 5 3 4 1 2 6
eictigx 0 5 3 4 1 6 2
eictxig 0 5 3 4 2 1 6
eictxgi 0 5 3 4 2 6 1
eictgix 0 5 3 4 6 1 2
eictgxi 0 5 3 4 6 2 1
eicgixt 0 5 3 6 1 2 4
eicgitx 0 5 3 6 1 4 2
eicgxit 0 5 3 6 2 1 4
eicgxti 0 5 3 6 2 4 1
eicgtix 0 5 3 6 4 1 2
eicgtxi 0 5 3 6 4 2 1
eitixcg 0 5 4 1 2 3 6
eitixgc 0 5 4 1 2 6 3
eiticxg 0 5 4 1 3 2 6
eiticgx 0 5 4 1 3 6 2
eitigxc 0 5 4 1 6 2 3
eitigcx 0 5 4 1 6 3 2
eitxicg 0 5 4 2 1 3 6
eitxigc 0 5 4 2 1 6 3
eitxcig 0 5 4 2 3 1 6
eitxcgi 0 5 4 2 3 6 1
eitxgic 0 5 4 2 6 1 3
eitxgci 0 5 4 2 6 3 1
eitcixg 0 5 4 3 1 2 6
eitcigx 0 5 4 3 1 6 2
eitcxig 0 5 4 3 2 1 6
eitcxgi 0 5 4 3 2 6 1
eitcgix 0 5 4 3 6 1 2
eitcgxi 0 5 4 3 6 2 1
eitgixc 0 5 4 6 1 2 3
eitgicx 0 5 4 6 1 3 2
eitgxic 0 5 4 6 2 1 3
eitgxci 0 5 4 6 2 3 1
eitgcix 0 5 4 6 3 1 2
eitgcxi 0 5 4 6 3 2 1
eigixct 0 5 6 1 2 3 4
eigixtc 0 5 6 1 2 4 3
eigicxt 0 5 6 1 3 2 4
eigictx 0 5 6 1 3 4 2
eigitxc 0 5 6 1 4 2 3
eigitcx 0 5 6 1 4 3 2
eigxict 0 5 6 2 1 3 4
eigxitc 0 5 6 2 1 4 3
eigxcit 0 5 6 2 3 1 4
eigxcti 0 5 6 2 3 4 1
eigxtic 0 5 6 2 4 1 3
eigxtci 0 5 6 2 4 3 1
eigcixt 0 5 6 3 1 2 4
eigcitx 0 5 6 3 1 4 2
eigcxit 0 5 6 3 2 1 4
eigcxti 0 5 6 3 2 4 1
eigctix 0 5 6 3 4 1 2
eigctxi 0 5 6 3 4 2 1
eigtixc 0 5 6 4 1 2 3
eigticx 0 5 6 4 1 3 2
eigtxic 0 5 6 4 2 1 3
eigtxci 0 5 6 4 2 3 1
eigtcix 0 5 6 4 3 1 2
eigtcxi 0 5 6 4 3 2 1
egixcti 0 6 1 2 3 4 5
egixcit 0 6 1 2 3 5 4
egixtci 0 6 1 2 4 3 5
egixtic 0 6 1 2 4 5 3
egixict 0 6 1 2 5 3 4
egixitc 0 6 1 2 5 4 3
egicxti 0 6 1 3 2 4 5
egicxit 0 6 1 3 2 5 4
egictxi 0 6 1 3 4 2 5
egictix 0 6 1 3 4 5 2
egicixt 0 6 1 3 5 2 4
egicitx 0 6 1 3 5 4 2
egitxci 0 6 1 4 2 3 5
egitxic 0 6 1 4 2 5 3
egitcxi 0 6 1 4 3 2 5
egitcix 0 6 1 4 3 5 2
egitixc 0 6 1 4 5 2 3
egiticx 0 6 1 4 5 3 2
egiixct 0 6 1 5 2 3 4
egiixtc 0 6 1 5 2 4 3
egiicxt 0 6 1 5 3 2 4
egiictx 0 6 1 5 3 4 2
egiitxc 0 6 1 5 4 2 3
egiitcx 0 6 1 5 4 3 2
egxicti 0 6 2 1 3 4 5
egxicit 0 6 2 1 3 5 4
egxitci 0 6 2 1 4 3 5
egxitic 0 6 2 1 4 5 3
egxiict 0 6 2 1 5 3 4
egxiitc 0 6 2 1 5 4 3
egxciti 0 6 2 3 1 4 5
egxciit 0 6 2 3 1 5 4
egxctii 0 6 2 3 4 1 5
egxctii 0 6 2 3 4 5 1
egxciit 0 6 2 3 5 1 4
egxciti 0 6 2 3 5 4 1
egxtici 0 6 2 4 1 3 5
egxtiic 0 6 2 4 1 5 3
egxtcii 0 6 2 4 3 1 5
egxtcii 0 6 2 4 3 5 1
egxtiic 0 6 2 4 5 1 3
egxtici 0 6 2 4 5 3 1
egxiict 0 6 2 5 1 3 4
egxiitc 0 6 2 5 1 4 3
egxicit 0 6 2 5 3 1 4
egxicti 0 6 2 5 3 4 1
egxitic 0 6 2 5 4 1 3
egxitci 0 6 2 5 4 3 1
egcixti 0 6 3 1 2 4 5
egcixit 0 6 3 1 2 5 4
egcitxi 0 6 3 1 4 2 5
egcitix 0 6 3 1 4 5 2
egciixt 0 6 3 1 5 2 4
egciitx 0 6 3 1 5 4 2
egcxiti 0 6 3 2 1 4 5
egcxiit 0 6 3 2 1 5 4
egcxtii 0 6 3 2 4 1 5
egcxtii 0 6 3 2 4 5 1
egcxiit 0 6 3 2 5 1 4
egcxiti 0 6 3 2 5 4 1
egctixi 0 6 3 4 1 2 5
egctiix 0 6 3 4 1 5 2
egctxii 0 6 3 4 2 1 5
egctxii 0 6 3 4 2 5 1
egctiix 0 6 3 4 5 1 2
egctixi 0 6 3 4 5 2 1
egciixt 0 6 3 5 1 2 4
egciitx 0 6 3 5 1 4 2
egcixit 0 6 3 5 2 1 4
egcixti 0 6 3 5 2 4 1
egcitix 0 6 3 5 4 1 2
egcitxi 0 6 3 5 4 2 1
egtixci 0 6 4 1 2 3 5
egtixic 0 6 4 1 2 5 3
egticxi 0 6 4 1 3 2 5
egticix 0 6 4 1 3 5 2
egtiixc 0 6 4 1 5 2 3
egtiicx 0 6 4 1 5 3 2
egtxici 0 6 4 2 1 3 5
egtxiic 0 6 4 2 1 5 3
egtxcii 0 6 4 2 3 1 5
egtxcii 0 6 4 2 3 5 1
egtxiic 0 6 4 2 5 1 3
egtxici 0 6 4 2 5 3 1
egtcixi 0 6 4 3 1 2 5
egtciix 0 6 4 3 1 5 2
egtcxii 0 6 4 3 2 1 5
egtcxii 0 6 4 3 2 5 1
egtciix 0 6 4 3 5 1 2
egtcixi 0 6 4 3 5 2 1
egtiixc 0 6 4 5 1 2 3
egtiicx 0 6 4 5 1 3 2
egtixic 0 6 4 5 2 1 3
egtixci 0 6 4 5 2 3 1
egticix 0 6 4 5 3 1 2
egticxi 0 6 4 5 3 2 1
egiixct 0 6 5 1 2 3 4
egiixtc 0 6 5 1 2 4 3
egiicxt 0 6 5 1 3 2 4
egiictx 0 6 5 1 3 4 2
egiitxc 0 6 5 1 4 2 3
egiitcx 0 6 5 1 4 3 2
egixict 0 6 5 2 1 3 4
egixitc 0 6 5 2 1 4 3
egixcit 0 6 5 2 3 1 4
egixcti 0 6 5 2 3 4 1
egixtic 0 6 5 2 4 1 3
egixtci 0 6 5 2 4 3 1
