Shift: 16
qujofus 0 1 2 3 4 5 6
qjusfou 0 2 5 6 4 3 1
qjsuofu 0 2 6 1 3 4 5
qjsuouf 0 2 6 1 3 5 4
qjsufou 0 2 6 1 4 3 5
qjsufuo 0 2 6 1 4 5 3
qjsuuof 0 2 6 1 5 3 4
qjsuufo 0 2 6 1 5 4 3
qjsoufu 0 2 6 3 1 4 5
qjsouuf 0 2 6 3 1 5 4
qjsofuu 0 2 6 3 4 1 5
qjsofuu 0 2 6 3 4 5 1
qjsouuf 0 2 6 3 5 1 4
qjsoufu 0 2 6 3 5 4 1
qjsfuou 0 2 6 4 1 3 5
qjsfuuo 0 2 6 4 1 5 3
qjsfouu 0 2 6 4 3 1 5
qjsfouu 0 2 6 4 3 5 1
qjsfuuo 0 2 6 4 5 1 3
qjsfuou 0 2 6 4 5 3 1
qjsuuof 0 2 6 5 1 3 4
qjsuufo 0 2 6 5 1 4 3
qjsuouf 0 2 6 5 3 1 4
qjsuofu 0 2 6 5 3 4 1
qjsufuo 0 2 6 5 4 1 3
qjsufou 0 2 6 5 4 3 1
qoujfus 0 3 1 2 4 5 6
qoujfsu 0 3 1 2 4 6 5
qoujufs 0 3 1 2 5 4 6
qoujusf 0 3 1 2 5 6 4
qoujsfu 0 3 1 2 6 4 5
qoujsuf 0 3 1 2 6 5 4
qoufjus 0 3 1 4 2 5 6
qoufjsu 0 3 1 4 2 6 5
qoufujs 0 3 1 4 5 2 6
qoufusj 0 3 1 4 5 6 2
qoufsju 0 3 1 4 6 2 5
qoufsuj 0 3 1 4 6 5 2
qouujfs 0 3 1 5 2 4 6
qouujsf 0 3 1 5 2 6 4
qouufjs 0 3 1 5 4 2 6
qouufsj 0 3 1 5 4 6 2
qouusjf 0 3 1 5 6 2 4
qouusfj 0 3 1 5 6 4 2
qousjfu 0 3 1 6 2 4 5
qousjuf 0 3 1 6 2 5 4
qousfju 0 3 1 6 4 2 5
qousfuj 0 3 1 6 4 5 2
qousujf 0 3 1 6 5 2 4
qousufj 0 3 1 6 5 4 2
qojufus 0 3 2 1 4 5 6
qojufsu 0 3 2 1 4 6 5
qojuufs 0 3 2 1 5 4 6
qojuusf 0 3 2 1 5 6 4
qojusfu 0 3 2 1 6 4 5
qojusuf 0 3 2 1 6 5 4
qojfuus 0 3 2 4 1 5 6
qojfusu 0 3 2 4 1 6 5
qojfuus 0 3 2 4 5 1 6
qojfusu 0 3 2 4 5 6 1
qojfsuu 0 3 2 4 6 1 5
qojfsuu 0 3 2 4 6 5 1
qojuufs 0 3 2 5 1 4 6
qojuusf 0 3 2 5 1 6 4
qojufus 0 3 2 5 4 1 6
qojufsu 0 3 2 5 4 6 1
qojusuf 0 3 2 5 6 1 4
qojusfu 0 3 2 5 6 4 1
qojsufu 0 3 2 6 1 4 5
qojsuuf 0 3 2 6 1 5 4
qojsfuu 0 3 2 6 4 1 5
qojsfuu 0 3 2 6 4 5 1
qojsuuf 0 3 2 6 5 1 4
qojsufu 0 3 2 6 5 4 1
qofujus 0 3 4 1 2 5 6
qofujsu 0 3 4 1 2 6 5
qofuujs 0 3 4 1 5 2 6
qofuusj 0 3 4 1 5 6 2
qofusju 0 3 4 1 6 2 5
qofusuj 0 3 4 1 6 5 2
qofjuus 0 3 4 2 1 5 6
qofjusu 0 3 4 2 1 6 5
qofjuus 0 3 4 2 5 1 6
qofjusu 0 3 4 2 5 6 1
qofjsuu 0 3 4 2 6 1 5
qofjsuu 0 3 4 2 6 5 1
qofuujs 0 3 4 5 1 2 6
qofuusj 0 3 4 5 1 6 2
qofujus 0 3 4 5 2 1 6
qofujsu 0 3 4 5 2 6 1
qofusuj 0 3 4 5 6 1 2
qofusju 0 3 4 5 6 2 1
qofsuju 0 3 4 6 1 2 5
qofsuuj 0 3 4 6 1 5 2
qofsjuu 0 3 4 6 2 1 5
qofsjuu 0 3 4 6 2 5 1
qofsuuj 0 3 4 6 5 1 2
qofsuju 0 3 4 6 5 2 1
qouujfs 0 3 5 1 2 4 6
qouujsf 0 3 5 1 2 6 4
qouufjs 0 3 5 1 4 2 6
qouufsj 0 3 5 1 4 6 2
qouusjf 0 3 5 1 6 2 4
qouusfj 0 3 5 1 6 4 2
qoujufs 0 3 5 2 1 4 6
qoujusf 0 3 5 2 1 6 4
qoujfus 0 3 5 2 4 1 6
qoujfsu 0 3 5 2 4 6 1
qoujsuf 0 3 5 2 6 1 4
qoujsfu 0 3 5 2 6 4 1
qoufujs 0 3 5 4 1 2 6
qoufusj 0 3 5 4 1 6 2
qoufjus 0 3 5 4 2 1 6
qoufjsu 0 3 5 4 2 6 1
qoufsuj 0 3 5 4 6 1 2
qoufsju 0 3 5 4 6 2 1
qousujf 0 3 5 6 1 2 4
qousufj 0 3 5 6 1 4 2
qousjuf 0 3 5 6 2 1 4
qousjfu 0 3 5 6 2 4 1
qousfuj 0 3 5 6 4 1 2
qousfju 0 3 5 6 4 2 1
qosujfu 0 3 6 1 2 4 5
qosujuf 0 3 6 1 2 5 4
qosufju 0 3 6 1 4 2 5
qosufuj 0 3 6 1 4 5 2
qosuujf 0 3 6 1 5 2 4
qosuufj 0 3 6 1 5 4 2
qosjufu 0 3 6 2 1 4 5
qosjuuf 0 3 6 2 1 5 4
qosjfuu 0 3 6 2 4 1 5
qosjfuu 0 3 6 2 4 5 1
qosjuuf 0 3 6 2 5 1 4
qosjufu 0 3 6 2 5 4 1
qosfuju 0 3 6 4 1 2 5
qosfuuj 0 3 6 4 1 5 2
qosfjuu 0 3 6 4 2 1 5
qosfjuu 0 3 6 4 2 5 1
qosfuuj 0 3 6 4 5 1 2
qosfuju 0 3 6 4 5 2 1
qosuujf 0 3 6 5 1 2 4
qosuufj 0 3 6 5 1 4 2
qosujuf 0 3 6 5 2 1 4
qosujfu 0 3 6 5 2 4 1
qosufuj 0 3 6 5 4 1 2
qosufju 0 3 6 5 4 2 1
qfujous 0 4 1 2 3 5 6
qfujosu 0 4 1 2 3 6 5
qfujuos 0 4 1 2 5 3 6
qfujuso 0 4 1 2 5 6 3
qfujsou 0 4 1 2 6 3 5
qfujsuo 0 4 1 2 6 5 3
qfuojus 0 4 1 3 2 5 6
qfuojsu 0 4 1 3 2 6 5
qfuoujs 0 4 1 3 5 2 6
qfuousj 0 4 1 3 5 6 2
qfuosju 0 4 1 3 6 2 5
qfuosuj 0 4 1 3 6 5 2
qfuujos 0 4 1 5 2 3 6
qfuujso 0 4 1 5 2 6 3
qfuuojs 0 4 1 5 3 2 6
qfuuosj 0 4 1 5 3 6 2
qfuusjo 0 4 1 5 6 2 3
qfuusoj 0 4 1 5 6 3 2
qfusjou 0 4 1 6 2 3 5
qfusjuo 0 4 1 6 2 5 3
qfusoju 0 4 1 6 3 2 5
qfusouj 0 4 1 6 3 5 2
qfusujo 0 4 1 6 5 2 3
qfusuoj 0 4 1 6 5 3 2
qfjuous 0 4 2 1 3 5 6
qfjuosu 0 4 2 1 3 6 5
qfjuuos 0 4 2 1 5 3 6
qfjuuso 0 4 2 1 5 6 3
qfjusou 0 4 2 1 6 3 5
qfjusuo 0 4 2 1 6 5 3
qfjouus 0 4 2 3 1 5 6
qfjousu 0 4 2 3 1 6 5
qfjouus 0 4 2 3 5 1 6
qfjousu 0 4 2 3 5 6 1
qfjosuu 0 4 2 3 6 1 5
qfjosuu 0 4 2 3 6 5 1
qfjuuos 0 4 2 5 1 3 6
qfjuuso 0 4 2 5 1 6 3
qfjuous 0 4 2 5 3 1 6
qfjuosu 0 4 2 5 3 6 1
qfjusuo 0 4 2 5 6 1 3
qfjusou 0 4 2 5 6 3 1
qfjsuou 0 4 2 6 1 3 5
qfjsuuo 0 4 2 6 1 5 3
qfjsouu 0 4 2 6 3 1 5
qfjsouu 0 4 2 6 3 5 1
qfjsuuo 0 4 2 6 5 1 3
qfjsuou 0 4 2 6 5 3 1
qfoujus 0 4 3 1 2 5 6
qfoujsu 0 4 3 1 2 6 5
qfouujs 0 4 3 1 5 2 6
qfouusj 0 4 3 1 5 6 2
qfousju 0 4 3 1 6 2 5
qfousuj 0 4 3 1 6 5 2
qfojuus 0 4 3 2 1 5 6
qfojusu 0 4 3 2 1 6 5
qfojuus 0 4 3 2 5 1 6
qfojusu 0 4 3 2 5 6 1
qfojsuu 0 4 3 2 6 1 5
qfojsuu 0 4 3 2 6 5 1
qfouujs 0 4 3 5 1 2 6
qfouusj 0 4 3 5 1 6 2
qfoujus 0 4 3 5 2 1 6
qfoujsu 0 4 3 5 2 6 1
qfousuj 0 4 3 5 6 1 2
qfousju 0 4 3 5 6 2 1
qfosuju 0 4 3 6 1 2 5
qfosuuj 0 4 3 6 1 5 2
qfosjuu 0 4 3 6 2 1 5
qfosjuu 0 4 3 6 2 5 1
qfosuuj 0 4 3 6 5 1 2
qfosuju 0 4 3 6 5 2 1
qfuujos 0 4 5 1 2 3 6
qfuujso 0 4 5 1 2 6 3
qfuuojs 0 4 5 1 3 2 6
qfuuosj 0 4 5 1 3 6 2
qfuusjo 0 4 5 1 6 2 3
qfuusoj 0 4 5 1 6 3 2
qfujuos 0 4 5 2 1 3 6
qfujuso 0 4 5 2 1 6 3
qfujous 0 4 5 2 3 1 6
qfujosu 0 4 5 2 3 6 1
qfujsuo 0 4 5 2 6 1 3
qfujsou 0 4 5 2 6 3 1
qfuoujs 0 4 5 3 1 2 6
qfuousj 0 4 5 3 1 6 2
qfuojus 0 4 5 3 2 1 6
qfuojsu 0 4 5 3 2 6 1
qfuosuj 0 4 5 3 6 1 2
qfuosju 0 4 5 3 6 2 1
qfusujo 0 4 5 6 1 2 3
qfusuoj 0 4 5 6 1 3 2
qfusjuo 0 4 5 6 2 1 3
qfusjou 0 4 5 6 2 3 1
qfusouj 0 4 5 6 3 1 2
qfusoju 0 4 5 6 3 2 1
qfsujou 0 4 6 1 2 3 5
qfsujuo 0 4 6 1 2 5 3
qfsuoju 0 4 6 1 3 2 5
qfsuouj 0 4 6 1 3 5 2
qfsuujo 0 4 6 1 5 2 3
qfsuuoj 0 4 6 1 5 3 2
qfsjuou 0 4 6 2 1 3 5
qfsjuuo 0 4 6 2 1 5 3
qfsjouu 0 4 6 2 3 1 5
qfsjouu 0 4 6 2 3 5 1
qfsjuuo 0 4 6 2 5 1 3
qfsjuou 0 4 6 2 5 3 1
qfsouju 0 4 6 3 1 2 5
qfsouuj 0 4 6 3 1 5 2
qfsojuu 0 4 6 3 2 1 5
qfsojuu 0 4 6 3 2 5 1
qfsouuj 0 4 6 3 5 1 2
qfsouju 0 4 6 3 5 2 1
qfsuujo 0 4 6 5 1 2 3
qfsuuoj 0 4 6 5 1 3 2
qfsujuo 0 4 6 5 2 1 3
qfsujou 0 4 6 5 2 3 1
qfsuouj 0 4 6 5 3 1 2
qfsuoju 0 4 6 5 3 2 1
quujofs 0 5 1 2 3 4 6
quujosf 0 5 1 2 3 6 4
quujfos 0 5 1 2 4 3 6
quujfso 0 5 1 2 4 6 3
quujsof 0 5 1 2 6 3 4
quujsfo 0 5 1 2 6 4 3
quuojfs 0 5 1 3 2 4 6
quuojsf 0 5 1 3 2 6 4
quuofjs 0 5 1 3 4 2 6
quuofsj 0 5 1 3 4 6 2
quuosjf 0 5 1 3 6 2 4
quuosfj 0 5 1 3 6 4 2
quufjos 0 5 1 4 2 3 6
quufjso 0 5 1 4 2 6 3
quufojs 0 5 1 4 3 2 6
quufosj 0 5 1 4 3 6 2
quufsjo 0 5 1 4 6 2 3
quufsoj 0 5 1 4 6 3 2
quusjof 0 5 1 6 2 3 4
quusjfo 0 5 1 6 2 4 3
quusojf 0 5 1 6 3 2 4
quusofj 0 5 1 6 3 4 2
quusfjo 0 5 1 6 4 2 3
quusfoj 0 5 1 6 4 3 2
qujuofs 0 5 2 1 3 4 6
qujuosf 0 5 2 1 3 6 4
qujufos 0 5 2 1 4 3 6
qujufso 0 5 2 1 4 6 3
qujusof 0 5 2 1 6 3 4
qujusfo 0 5 2 1 6 4 3
qujoufs 0 5 2 3 1 4 6
qujousf 0 5 2 3 1 6 4
qujofus 0 5 2 3 4 1 6
qujofsu 0 5 2 3 4 6 1
qujosuf 0 5 2 3 6 1 4
qujosfu 0 5 2 3 6 4 1
qujfuos 0 5 2 4 1 3 6
qujfuso 0 5 2 4 1 6 3
qujfous 0 5 2 4 3 1 6
qujfosu 0 5 2 4 3 6 1
qujfsuo 0 5 2 4 6 1 3
qujfsou 0 5 2 4 6 3 1
qujsuof 0 5 2 6 1 3 4
qujsufo 0 5 2 6 1 4 3
qujsouf 0 5 2 6 3 1 4
qujsofu 0 5 2 6 3 4 1
qujsfuo 0 5 2 6 4 1 3
qujsfou 0 5 2 6 4 3 1
quoujfs 0 5 3 1 2 4 6
quoujsf 0 5 3 1 2 6 4
quoufjs 0 5 3 1 4 2 6
quoufsj 0 5 3 1 4 6 2
quousjf 0 5 3 1 6 2 4
quousfj 0 5 3 1 6 4 2
quojufs 0 5 3 2 1 4 6
quojusf 0 5 3 2 1 6 4
quojfus 0 5 3 2 4 1 6
quojfsu 0 5 3 2 4 6 1
quojsuf 0 5 3 2 6 1 4
quojsfu 0 5 3 2 6 4 1
quofujs 0 5 3 4 1 2 6
quofusj 0 5 3 4 1 6 2
quofjus 0 5 3 4 2 1 6
quofjsu 0 5 3 4 2 6 1
quofsuj 0 5 3 4 6 1 2
quofsju 0 5 3 4 6 2 1
quosujf 0 5 3 6 1 2 4
quosufj 0 5 3 6 1 4 2
quosjuf 0 5 3 6 2 1 4
quosjfu 0 5 3 6 2 4 1
quosfuj 0 5 3 6 4 1 2
quosfju 0 5 3 6 4 2 1
qufujos 0 5 4 1 2 3 6
qufujso 0 5 4 1 2 6 3
qufuojs 0 5 4 1 3 2 6
qufuosj 0 5 4 1 3 6 2
qufusjo 0 5 4 1 6 2 3
qufusoj 0 5 4 1 6 3 2
qufjuos 0 5 4 2 1 3 6
qufjuso 0 5 4 2 1 6 3
qufjous 0 5 4 2 3 1 6
qufjosu 0 5 4 2 3 6 1
qufjsuo 0 5 4 2 6 1 3
qufjsou 0 5 4 2 6 3 1
qufoujs 0 5 4 3 1 2 6
qufousj 0 5 4 3 1 6 2
qufojus 0 5 4 3 2 1 6
qufojsu 0 5 4 3 2 6 1
qufosuj 0 5 4 3 6 1 2
qufosju 0 5 4 3 6 2 1
qufsujo 0 5 4 6 1 2 3
qufsuoj 0 5 4 6 1 3 2
qufsjuo 0 5 4 6 2 1 3
qufsjou 0 5 4 6 2 3 1
qufsouj 0 5 4 6 3 1 2
qufsoju 0 5 4 6 3 2 1
qusujof 0 5 6 1 2 3 4
qusujfo 0 5 6 1 2 4 3
qusuojf 0 5 6 1 3 2 4
qusuofj 0 5 6 1 3 4 2
qusufjo 0 5 6 1 4 2 3
qusufoj 0 5 6 1 4 3 2
qusjuof 0 5 6 2 1 3 4
qusjufo 0 5 6 2 1 4 3
qusjouf 0 5 6 2 3 1 4
qusjofu 0 5 6 2 3 4 1
qusjfuo 0 5 6 2 4 1 3
qusjfou 0 5 6 2 4 3 1
qusoujf 0 5 6 3 1 2 4
qusoufj 0 5 6 3 1 4 2
qusojuf 0 5 6 3 2 1 4
qusojfu 0 5 6 3 2 4 1
qusofuj 0 5 6 3 4 1 2
qusofju 0 5 6 3 4 2 1
qusfujo 0 5 6 4 1 2 3
qusfuoj 0 5 6 4 1 3 2
qusfjuo 0 5 6 4 2 1 3
qusfjou 0 5 6 4 2 3 1
qusfouj 0 5 6 4 3 1 2
qusfoju 0 5 6 4 3 2 1
qsujofu 0 6 1 2 3 4 5
qsujouf 0 6 1 2 3 5 4
qsujfou 0 6 1 2 4 3 5
qsujfuo 0 6 1 2 4 5 3
qsujuof 0 6 1 2 5 3 4
qsujufo 0 6 1 2 5 4 3
qsuojfu 0 6 1 3 2 4 5
qsuojuf 0 6 1 3 2 5 4
qsuofju 0 6 1 3 4 2 5
qsuofuj 0 6 1 3 4 5 2
qsuoujf 0 6 1 3 5 2 4
qsuoufj 0 6 1 3 5 4 2
qsufjou 0 6 1 4 2 3 5
qsufjuo 0 6 1 4 2 5 3
qsufoju 0 6 1 4 3 2 5
qsufouj 0 6 1 4 3 5 2
qsufujo 0 6 1 4 5 2 3
qsufuoj 0 6 1 4 5 3 2
qsuujof 0 6 1 5 2 3 4
qsuujfo 0 6 1 5 2 4 3
qsuuojf 0 6 1 5 3 2 4
qsuuofj 0 6 1 5 3 4 2
qsuufjo 0 6 1 5 4 2 3
qsuufoj 0 6 1 5 4 3 2
qsjuofu 0 6 2 1 3 4 5
qsjuouf 0 6 2 1 3 5 4
qsjufou 0 6 2 1 4 3 5
qsjufuo 0 6 2 1 4 5 3
qsjuuof 0 6 2 1 5 3 4
qsjuufo 0 6 2 1 5 4 3
qsjoufu 0 6 2 3 1 4 5
qsjouuf 0 6 2 3 1 5 4
qsjofuu 0 6 2 3 4 1 5
qsjofuu 0 6 2 3 4 5 1
qsjouuf 0 6 2 3 5 1 4
qsjoufu 0 6 2 3 5 4 1
qsjfuou 0 6 2 4 1 3 5
qsjfuuo 0 6 2 4 1 5 3
qsjfouu 0 6 2 4 3 1 5
qsjfouu 0 6 2 4 3 5 1
qsjfuuo 0 6 2 4 5 1 3
qsjfuou 0 6 2 4 5 3 1
qsjuuof 0 6 2 5 1 3 4
qsjuufo 0 6 2 5 1 4 3
qsjuouf 0 6 2 5 3 1 4
qsjuofu 0 6 2 5 3 4 1
qsjufuo 0 6 2 5 4 1 3
qsjufou 0 6 2 5 4 3 1
qsoujfu 0 6 3 1 2 4 5
qsoujuf 0 6 3 1 2 5 4
qsoufju 0 6 3 1 4 2 5
qsoufuj 0 6 3 1 4 5 2
qsouujf 0 6 3 1 5 2 4
qsouufj 0 6 3 1 5 4 2
qsojufu 0 6 3 2 1 4 5
qsojuuf 0 6 3 2 1 5 4
qsojfuu 0 6 3 2 4 1 5
qsojfuu 0 6 3 2 4 5 1
qsojuuf 0 6 3 2 5 1 4
qsojufu 0 6 3 2 5 4 1
qsofuju 0 6 3 4 1 2 5
qsofuuj 0 6 3 4 1 5 2
qsofjuu 0 6 3 4 2 1 5
qsofjuu 0 6 3 4 2 5 1
qsofuuj 0 6 3 4 5 1 2
qsofuju 0 6 3 4 5 2 1
qsouujf 0 6 3 5 1 2 4
qsouufj 0 6 3 5 1 4 2
qsoujuf 0 6 3 5 2 1 4
qsoujfu 0 6 3 5 2 4 1
qsoufuj 0 6 3 5 4 1 2
qsoufju 0 6 3 5 4 2 1
qsfujou 0 6 4 1 2 3 5
qsfujuo 0 6 4 1 2 5 3
qsfuoju 0 6 4 1 3 2 5
qsfuouj 0 6 4 1 3 5 2
qsfuujo 0 6 4 1 5 2 3
qsfuuoj 0 6 4 1 5 3 2
qsfjuou 0 6 4 2 1 3 5
qsfjuuo 0 6 4 2 1 5 3
qsfjouu 0 6 4 2 3 1 5
qsfjouu 0 6 4 2 3 5 1
qsfjuuo 0 6 4 2 5 1 3
qsfjuou 0 6 4 2 5 3 1
qsfouju 0 6 4 3 1 2 5
qsfouuj 0 6 4 3 1 5 2
qsfojuu 0 6 4 3 2 1 5
qsfojuu 0 6 4 3 2 5 1
qsfouuj 0 6 4 3 5 1 2
qsfouju 0 6 4 3 5 2 1
