Shift: 6
gkzevki 0 1 2 3 4 5 6
gkvkeiz 0 1 4 5 3 6 2
gkvkize 0 1 4 5 6 2 3
gkvkiez 0 1 4 5 6 3 2
gkvizek 0 1 4 6 2 3 5
gkvizke 0 1 4 6 2 5 3
gkviezk 0 1 4 6 3 2 5
gkviekz 0 1 4 6 3 5 2
gkvikze 0 1 4 6 5 2 3
gkvikez 0 1 4 6 5 3 2
gkkzevi 0 1 5 2 3 4 6
gkkzeiv 0 1 5 2 3 6 4
gkkzvei 0 1 5 2 4 3 6
gkkzvie 0 1 5 2 4 6 3
gkkziev 0 1 5 2 6 3 4
gkkzive 0 1 5 2 6 4 3
gkkezvi 0 1 5 3 2 4 6
gkkeziv 0 1 5 3 2 6 4
gkkevzi 0 1 5 3 4 2 6
gkkeviz 0 1 5 3 4 6 2
gkkeizv 0 1 5 3 6 2 4
gkkeivz 0 1 5 3 6 4 2
gkkvzei 0 1 5 4 2 3 6
gkkvzie 0 1 5 4 2 6 3
gkkvezi 0 1 5 4 3 2 6
gkkveiz 0 1 5 4 3 6 2
gkkvize 0 1 5 4 6 2 3
gkkviez 0 1 5 4 6 3 2
gkkizev 0 1 5 6 2 3 4
gkkizve 0 1 5 6 2 4 3
gkkiezv 0 1 5 6 3 2 4
gkkievz 0 1 5 6 3 4 2
gkkivze 0 1 5 6 4 2 3
gkkivez 0 1 5 6 4 3 2
gkizevk 0 1 6 2 3 4 5
gkizekv 0 1 6 2 3 5 4
gkizvek 0 1 6 2 4 3 5
gkizvke 0 1 6 2 4 5 3
gkizkev 0 1 6 2 5 3 4
gkizkve 0 1 6 2 5 4 3
gkiezvk 0 1 6 3 2 4 5
gkiezkv 0 1 6 3 2 5 4
gkievzk 0 1 6 3 4 2 5
gkievkz 0 1 6 3 4 5 2
gkiekzv 0 1 6 3 5 2 4
gkiekvz 0 1 6 3 5 4 2
gkivzek 0 1 6 4 2 3 5
gkivzke 0 1 6 4 2 5 3
gkivezk 0 1 6 4 3 2 5
gkivekz 0 1 6 4 3 5 2
gkivkze 0 1 6 4 5 2 3
gkivkez 0 1 6 4 5 3 2
gkikzev 0 1 6 5 2 3 4
gkikzve 0 1 6 5 2 4 3
gkikezv 0 1 6 5 3 2 4
gkikevz 0 1 6 5 3 4 2
gkikvze 0 1 6 5 4 2 3
gkikvez 0 1 6 5 4 3 2
gzkevki 0 2 1 3 4 5 6
gzkevik 0 2 1 3 4 6 5
gzkekvi 0 2 1 3 5 4 6
gzkekiv 0 2 1 3 5 6 4
gzkeivk 0 2 1 3 6 4 5
gzkeikv 0 2 1 3 6 5 4
gzkveki 0 2 1 4 3 5 6
gzkveik 0 2 1 4 3 6 5
gzkvkei 0 2 1 4 5 3 6
gzkvkie 0 2 1 4 5 6 3
gzkviek 0 2 1 4 6 3 5
gzkvike 0 2 1 4 6 5 3
gzkkevi 0 2 1 5 3 4 6
gzkkeiv 0 2 1 5 3 6 4
gzkkvei 0 2 1 5 4 3 6
gzkkvie 0 2 1 5 4 6 3
gzkkiev 0 2 1 5 6 3 4
gzkkive 0 2 1 5 6 4 3
gzkievk 0 2 1 6 3 4 5
gzkiekv 0 2 1 6 3 5 4
gzkivek 0 2 1 6 4 3 5
gzkivke 0 2 1 6 4 5 3
gzkikev 0 2 1 6 5 3 4
gzkikve 0 2 1 6 5 4 3
gzekvki 0 2 3 1 4 5 6
gzekvik 0 2 3 1 4 6 5
gzekkvi 0 2 3 1 5 4 6
gzekkiv 0 2 3 1 5 6 4
gzekivk 0 2 3 1 6 4 5
gzekikv 0 2 3 1 6 5 4
gzevkki 0 2 3 4 1 5 6
gzevkik 0 2 3 4 1 6 5
gzevkki 0 2 3 4 5 1 6
gzevkik 0 2 3 4 5 6 1
gzevikk 0 2 3 4 6 1 5
gzevikk 0 2 3 4 6 5 1
gzekkvi 0 2 3 5 1 4 6
gzekkiv 0 2 3 5 1 6 4
gzekvki 0 2 3 5 4 1 6
gzekvik 0 2 3 5 4 6 1
gzekikv 0 2 3 5 6 1 4
gzekivk 0 2 3 5 6 4 1
gzeikvk 0 2 3 6 1 4 5
gzeikkv 0 2 3 6 1 5 4
gzeivkk 0 2 3 6 4 1 5
gzeivkk 0 2 3 6 4 5 1
gzeikkv 0 2 3 6 5 1 4
gzeikvk 0 2 3 6 5 4 1
gzvkeki 0 2 4 1 3 5 6
gzvkeik 0 2 4 1 3 6 5
gzvkkei 0 2 4 1 5 3 6
gzvkkie 0 2 4 1 5 6 3
gzvkiek 0 2 4 1 6 3 5
gzvkike 0 2 4 1 6 5 3
gzvekki 0 2 4 3 1 5 6
gzvekik 0 2 4 3 1 6 5
gzvekki 0 2 4 3 5 1 6
gzvekik 0 2 4 3 5 6 1
gzveikk 0 2 4 3 6 1 5
gzveikk 0 2 4 3 6 5 1
gzvkkei 0 2 4 5 1 3 6
gzvkkie 0 2 4 5 1 6 3
gzvkeki 0 2 4 5 3 1 6
gzvkeik 0 2 4 5 3 6 1
gzvkike 0 2 4 5 6 1 3
gzvkiek 0 2 4 5 6 3 1
gzvikek 0 2 4 6 1 3 5
gzvikke 0 2 4 6 1 5 3
gzviekk 0 2 4 6 3 1 5
gzviekk 0 2 4 6 3 5 1
gzvikke 0 2 4 6 5 1 3
gzvikek 0 2 4 6 5 3 1
gzkkevi 0 2 5 1 3 4 6
gzkkeiv 0 2 5 1 3 6 4
gzkkvei 0 2 5 1 4 3 6
gzkkvie 0 2 5 1 4 6 3
gzkkiev 0 2 5 1 6 3 4
gzkkive 0 2 5 1 6 4 3
gzkekvi 0 2 5 3 1 4 6
gzkekiv 0 2 5 3 1 6 4
gzkevki 0 2 5 3 4 1 6
gzkevik 0 2 5 3 4 6 1
gzkeikv 0 2 5 3 6 1 4
gzkeivk 0 2 5 3 6 4 1
gzkvkei 0 2 5 4 1 3 6
gzkvkie 0 2 5 4 1 6 3
gzkveki 0 2 5 4 3 1 6
gzkveik 0 2 5 4 3 6 1
gzkvike 0 2 5 4 6 1 3
gzkviek 0 2 5 4 6 3 1
gzkikev 0 2 5 6 1 3 4
gzkikve 0 2 5 6 1 4 3
gzkiekv 0 2 5 6 3 1 4
gzkievk 0 2 5 6 3 4 1
gzkivke 0 2 5 6 4 1 3
gzkivek 0 2 5 6 4 3 1
gzikevk 0 2 6 1 3 4 5
gzikekv 0 2 6 1 3 5 4
gzikvek 0 2 6 1 4 3 5
gzikvke 0 2 6 1 4 5 3
gzikkev 0 2 6 1 5 3 4
gzikkve 0 2 6 1 5 4 3
gziekvk 0 2 6 3 1 4 5
gziekkv 0 2 6 3 1 5 4
gzievkk 0 2 6 3 4 1 5
gzievkk 0 2 6 3 4 5 1
gziekkv 0 2 6 3 5 1 4
gziekvk 0 2 6 3 5 4 1
gzivkek 0 2 6 4 1 3 5
gzivkke 0 2 6 4 1 5 3
gzivekk 0 2 6 4 3 1 5
gzivekk 0 2 6 4 3 5 1
gzivkke 0 2 6 4 5 1 3
gzivkek 0 2 6 4 5 3 1
gzikkev 0 2 6 5 1 3 4
gzikkve 0 2 6 5 1 4 3
gzikekv 0 2 6 5 3 1 4
gzikevk 0 2 6 5 3 4 1
gzikvke 0 2 6 5 4 1 3
gzikvek 0 2 6 5 4 3 1
gekzvki 0 3 1 2 4 5 6
gekzvik 0 3 1 2 4 6 5
gekzkvi 0 3 1 2 5 4 6
gekzkiv 0 3 1 2 5 6 4
gekzivk 0 3 1 2 6 4 5
gekzikv 0 3 1 2 6 5 4
gekvzki 0 3 1 4 2 5 6
gekvzik 0 3 1 4 2 6 5
gekvkzi 0 3 1 4 5 2 6
gekvkiz 0 3 1 4 5 6 2
gekvizk 0 3 1 4 6 2 5
gekvikz 0 3 1 4 6 5 2
gekkzvi 0 3 1 5 2 4 6
gekkziv 0 3 1 5 2 6 4
gekkvzi 0 3 1 5 4 2 6
gekkviz 0 3 1 5 4 6 2
gekkizv 0 3 1 5 6 2 4
gekkivz 0 3 1 5 6 4 2
gekizvk 0 3 1 6 2 4 5
gekizkv 0 3 1 6 2 5 4
gekivzk 0 3 1 6 4 2 5
gekivkz 0 3 1 6 4 5 2
gekikzv 0 3 1 6 5 2 4
gekikvz 0 3 1 6 5 4 2
gezkvki 0 3 2 1 4 5 6
gezkvik 0 3 2 1 4 6 5
gezkkvi 0 3 2 1 5 4 6
gezkkiv 0 3 2 1 5 6 4
gezkivk 0 3 2 1 6 4 5
gezkikv 0 3 2 1 6 5 4
gezvkki 0 3 2 4 1 5 6
gezvkik 0 3 2 4 1 6 5
gezvkki 0 3 2 4 5 1 6
gezvkik 0 3 2 4 5 6 1
gezvikk 0 3 2 4 6 1 5
gezvikk 0 3 2 4 6 5 1
gezkkvi 0 3 2 5 1 4 6
gezkkiv 0 3 2 5 1 6 4
gezkvki 0 3 2 5 4 1 6
gezkvik 0 3 2 5 4 6 1
gezkikv 0 3 2 5 6 1 4
gezkivk 0 3 2 5 6 4 1
gezikvk 0 3 2 6 1 4 5
gezikkv 0 3 2 6 1 5 4
gezivkk 0 3 2 6 4 1 5
gezivkk 0 3 2 6 4 5 1
gezikkv 0 3 2 6 5 1 4
gezikvk 0 3 2 6 5 4 1
gevkzki 0 3 4 1 2 5 6
gevkzik 0 3 4 1 2 6 5
gevkkzi 0 3 4 1 5 2 6
gevkkiz 0 3 4 1 5 6 2
gevkizk 0 3 4 1 6 2 5
gevkikz 0 3 4 1 6 5 2
gevzkki 0 3 4 2 1 5 6
gevzkik 0 3 4 2 1 6 5
gevzkki 0 3 4 2 5 1 6
gevzkik 0 3 4 2 5 6 1
gevzikk 0 3 4 2 6 1 5
gevzikk 0 3 4 2 6 5 1
gevkkzi 0 3 4 5 1 2 6
gevkkiz 0 3 4 5 1 6 2
gevkzki 0 3 4 5 2 1 6
gevkzik 0 3 4 5 2 6 1
gevkikz 0 3 4 5 6 1 2
gevkizk 0 3 4 5 6 2 1
gevikzk 0 3 4 6 1 2 5
gevikkz 0 3 4 6 1 5 2
gevizkk 0 3 4 6 2 1 5
gevizkk 0 3 4 6 2 5 1
gevikkz 0 3 4 6 5 1 2
gevikzk 0 3 4 6 5 2 1
gekkzvi 0 3 5 1 2 4 6
gekkziv 0 3 5 1 2 6 4
gekkvzi 0 3 5 1 4 2 6
gekkviz 0 3 5 1 4 6 2
gekkizv 0 3 5 1 6 2 4
gekkivz 0 3 5 1 6 4 2
gekzkvi 0 3 5 2 1 4 6
gekzkiv 0 3 5 2 1 6 4
gekzvki 0 3 5 2 4 1 6
gekzvik 0 3 5 2 4 6 1
gekzikv 0 3 5 2 6 1 4
gekzivk 0 3 5 2 6 4 1
gekvkzi 0 3 5 4 1 2 6
gekvkiz 0 3 5 4 1 6 2
gekvzki 0 3 5 4 2 1 6
gekvzik 0 3 5 4 2 6 1
gekvikz 0 3 5 4 6 1 2
gekvizk 0 3 5 4 6 2 1
gekikzv 0 3 5 6 1 2 4
gekikvz 0 3 5 6 1 4 2
gekizkv 0 3 5 6 2 1 4
gekizvk 0 3 5 6 2 4 1
gekivkz 0 3 5 6 4 1 2
gekivzk 0 3 5 6 4 2 1
geikzvk 0 3 6 1 2 4 5
geikzkv 0 3 6 1 2 5 4
geikvzk 0 3 6 1 4 2 5
geikvkz 0 3 6 1 4 5 2
geikkzv 0 3 6 1 5 2 4
geikkvz 0 3 6 1 5 4 2
geizkvk 0 3 6 2 1 4 5
geizkkv 0 3 6 2 1 5 4
geizvkk 0 3 6 2 4 1 5
geizvkk 0 3 6 2 4 5 1
geizkkv 0 3 6 2 5 1 4
geizkvk 0 3 6 2 5 4 1
geivkzk 0 3 6 4 1 2 5
geivkkz 0 3 6 4 1 5 2
geivzkk 0 3 6 4 2 1 5
geivzkk 0 3 6 4 2 5 1
geivkkz 0 3 6 4 5 1 2
geivkzk 0 3 6 4 5 2 1
geikkzv 0 3 6 5 1 2 4
geikkvz 0 3 6 5 1 4 2
geikzkv 0 3 6 5 2 1 4
geikzvk 0 3 6 5 2 4 1
geikvkz 0 3 6 5 4 1 2
geikvzk 0 3 6 5 4 2 1
gvkzeki 0 4 1 2 3 5 6
gvkzeik 0 4 1 2 3 6 5
gvkzkei 0 4 1 2 5 3 6
gvkzkie 0 4 1 2 5 6 3
gvkziek 0 4 1 2 6 3 5
gvkzike 0 4 1 2 6 5 3
gvkezki 0 4 1 3 2 5 6
gvkezik 0 4 1 3 2 6 5
gvkekzi 0 4 1 3 5 2 6
gvkekiz 0 4 1 3 5 6 2
gvkeizk 0 4 1 3 6 2 5
gvkeikz 0 4 1 3 6 5 2
gvkkzei 0 4 1 5 2 3 6
gvkkzie 0 4 1 5 2 6 3
gvkkezi 0 4 1 5 3 2 6
gvkkeiz 0 4 1 5 3 6 2
gvkkize 0 4 1 5 6 2 3
gvkkiez 0 4 1 5 6 3 2
gvkizek 0 4 1 6 2 3 5
gvkizke 0 4 1 6 2 5 3
gvkiezk 0 4 1 6 3 2 5
gvkiekz 0 4 1 6 3 5 2
gvkikze 0 4 1 6 5 2 3
gvkikez 0 4 1 6 5 3 2
gvzkeki 0 4 2 1 3 5 6
gvzkeik 0 4 2 1 3 6 5
gvzkkei 0 4 2 1 5 3 6
gvzkkie 0 4 2 1 5 6 3
gvzkiek 0 4 2 1 6 3 5
gvzkike 0 4 2 1 6 5 3
gvzekki 0 4 2 3 1 5 6
gvzekik 0 4 2 3 1 6 5
gvzekki 0 4 2 3 5 1 6
gvzekik 0 4 2 3 5 6 1
gvzeikk 0 4 2 3 6 1 5
gvzeikk 0 4 2 3 6 5 1
gvzkkei 0 4 2 5 1 3 6
gvzkkie 0 4 2 5 1 6 3
gvzkeki 0 4 2 5 3 1 6
gvzkeik 0 4 2 5 3 6 1
gvzkike 0 4 2 5 6 1 3
gvzkiek 0 4 2 5 6 3 1
gvzikek 0 4 2 6 1 3 5
gvzikke 0 4 2 6 1 5 3
gvziekk 0 4 2 6 3 1 5
gvziekk 0 4 2 6 3 5 1
gvzikke 0 4 2 6 5 1 3
gvzikek 0 4 2 6 5 3 1
gvekzki 0 4 3 1 2 5 6
gvekzik 0 4 3 1 2 6 5
gvekkzi 0 4 3 1 5 2 6
gvekkiz 0 4 3 1 5 6 2
gvekizk 0 4 3 1 6 2 5
gvekikz 0 4 3 1 6 5 2
gvezkki 0 4 3 2 1 5 6
gvezkik 0 4 3 2 1 6 5
gvezkki 0 4 3 2 5 1 6
gvezkik 0 4 3 2 5 6 1
gvezikk 0 4 3 2 6 1 5
gvezikk 0 4 3 2 6 5 1
gvekkzi 0 4 3 5 1 2 6
gvekkiz 0 4 3 5 1 6 2
gvekzki 0 4 3 5 2 1 6
gvekzik 0 4 3 5 2 6 1
gvekikz 0 4 3 5 6 1 2
gvekizk 0 4 3 5 6 2 1
gveikzk 0 4 3 6 1 2 5
gveikkz 0 4 3 6 1 5 2
gveizkk 0 4 3 6 2 1 5
gveizkk 0 4 3 6 2 5 1
gveikkz 0 4 3 6 5 1 2
gveikzk 0 4 3 6 5 2 1
gvkkzei 0 4 5 1 2 3 6
gvkkzie 0 4 5 1 2 6 3
gvkkezi 0 4 5 1 3 2 6
gvkkeiz 0 4 5 1 3 6 2
gvkkize 0 4 5 1 6 2 3
gvkkiez 0 4 5 1 6 3 2
gvkzkei 0 4 5 2 1 3 6
gvkzkie 0 4 5 2 1 6 3
gvkzeki 0 4 5 2 3 1 6
gvkzeik 0 4 5 2 3 6 1
gvkzike 0 4 5 2 6 1 3
gvkziek 0 4 5 2 6 3 1
gvkekzi 0 4 5 3 1 2 6
gvkekiz 0 4 5 3 1 6 2
gvkezki 0 4 5 3 2 1 6
gvkezik 0 4 5 3 2 6 1
gvkeikz 0 4 5 3 6 1 2
gvkeizk 0 4 5 3 6 2 1
gvkikze 0 4 5 6 1 2 3
gvkikez 0 4 5 6 1 3 2
gvkizke 0 4 5 6 2 1 3
gvkizek 0 4 5 6 2 3 1
gvkiekz 0 4 5 6 3 1 2
gvkiezk 0 4 5 6 3 2 1
gvikzek 0 4 6 1 2 3 5
gvikzke 0 4 6 1 2 5 3
gvikezk 0 4 6 1 3 2 5
gvikekz 0 4 6 1 3 5 2
gvikkze 0 4 6 1 5 2 3
gvikkez 0 4 6 1 5 3 2
gvizkek 0 4 6 2 1 3 5
gvizkke 0 4 6 2 1 5 3
gvizekk 0 4 6 2 3 1 5
gvizekk 0 4 6 2 3 5 1
gvizkke 0 4 6 2 5 1 3
gvizkek 0 4 6 2 5 3 1
gviekzk 0 4 6 3 1 2 5
gviekkz 0 4 6 3 1 5 2
gviezkk 0 4 6 3 2 1 5
gviezkk 0 4 6 3 2 5 1
gviekkz 0 4 6 3 5 1 2
gviekzk 0 4 6 3 5 2 1
gvikkze 0 4 6 5 1 2 3
gvikkez 0 4 6 5 1 3 2
gvikzke 0 4 6 5 2 1 3
gvikzek 0 4 6 5 2 3 1
gvikekz 0 4 6 5 3 1 2
gvikezk 0 4 6 5 3 2 1
gkkzevi 0 5 1 2 3 4 6
gkkzeiv 0 5 1 2 3 6 4
gkkzvei 0 5 1 2 4 3 6
gkkzvie 0 5 1 2 4 6 3
gkkziev 0 5 1 2 6 3 4
gkkzive 0 5 1 2 6 4 3
gkkezvi 0 5 1 3 2 4 6
gkkeziv 0 5 1 3 2 6 4
gkkevzi 0 5 1 3 4 2 6
gkkeviz 0 5 1 3 4 6 2
gkkeizv 0 5 1 3 6 2 4
gkkeivz 0 5 1 3 6 4 2
gkkvzei 0 5 1 4 2 3 6
gkkvzie 0 5 1 4 2 6 3
gkkvezi 0 5 1 4 3 2 6
gkkveiz 0 5 1 4 3 6 2
gkkvize 0 5 1 4 6 2 3
gkkviez 0 5 1 4 6 3 2
gkkizev 0 5 1 6 2 3 4
gkkizve 0 5 1 6 2 4 3
gkkiezv 0 5 1 6 3 2 4
gkkievz 0 5 1 6 3 4 2
gkkivze 0 5 1 6 4 2 3
gkkivez 0 5 1 6 4 3 2
gkzkevi 0 5 2 1 3 4 6
gkzkeiv 0 5 2 1 3 6 4
gkzkvei 0 5 2 1 4 3 6
gkzkvie 0 5 2 1 4 6 3
gkzkiev 0 5 2 1 6 3 4
gkzkive 0 5 2 1 6 4 3
gkzekvi 0 5 2 3 1 4 6
gkzekiv 0 5 2 3 1 6 4
gkzevki 0 5 2 3 4 1 6
gkzevik 0 5 2 3 4 6 1
gkzeikv 0 5 2 3 6 1 4
gkzeivk 0 5 2 3 6 4 1
gkzvkei 0 5 2 4 1 3 6
gkzvkie 0 5 2 4 1 6 3
gkzveki 0 5 2 4 3 1 6
gkzveik 0 5 2 4 3 6 1
gkzvike 0 5 2 4 6 1 3
gkzviek 0 5 2 4 6 3 1
gkzikev 0 5 2 6 1 3 4
gkzikve 0 5 2 6 1 4 3
gkziekv 0 5 2 6 3 1 4
gkzievk 0 5 2 6 3 4 1
gkzivke 0 5 2 6 4 1 3
gkzivek 0 5 2 6 4 3 1
gkekzvi 0 5 3 1 2 4 6
gkekziv 0 5 3 1 2 6 4
gkekvzi 0 5 3 1 4 2 6
gkekviz 0 5 3 1 4 6 2
gkekizv 0 5 3 1 6 2 4
gkekivz 0 5 3 1 6 4 2
gkezkvi 0 5 3 2 1 4 6
gkezkiv 0 5 3 2 1 6 4
gkezvki 0 5 3 2 4 1 6
gkezvik 0 5 3 2 4 6 1
gkezikv 0 5 3 2 6 1 4
gkezivk 0 5 3 2 6 4 1
gkevkzi 0 5 3 4 1 2 6
gkevkiz 0 5 3 4 1 6 2
gkevzki 0 5 3 4 2 1 6
gkevzik 0 5 3 4 2 6 1
gkevikz 0 5 3 4 6 1 2
gkevizk 0 5 3 4 6 2 1
gkeikzv 0 5 3 6 1 2 4
gkeikvz 0 5 3 6 1 4 2
gkeizkv 0 5 3 6 2 1 4
gkeizvk 0 5 3 6 2 4 1
gkeivkz 0 5 3 6 4 1 2
gkeivzk 0 5 3 6 4 2 1
gkvkzei 0 5 4 1 2 3 6
gkvkzie 0 5 4 1 2 6 3
gkvkezi 0 5 4 1 3 2 6
gkvkeiz 0 5 4 1 3 6 2
gkvkize 0 5 4 1 6 2 3
gkvkiez 0 5 4 1 6 3 2
gkvzkei 0 5 4 2 1 3 6
gkvzkie 0 5 4 2 1 6 3
gkvzeki 0 5 4 2 3 1 6
gkvzeik 0 5 4 2 3 6 1
gkvzike 0 5 4 2 6 1 3
gkvziek 0 5 4 2 6 3 1
gkvekzi 0 5 4 3 1 2 6
gkvekiz 0 5 4 3 1 6 2
gkvezki 0 5 4 3 2 1 6
gkvezik 0 5 4 3 2 6 1
gkveikz 0 5 4 3 6 1 2
gkveizk 0 5 4 3 6 2 1
gkvikze 0 5 4 6 1 2 3
gkvikez 0 5 4 6 1 3 2
gkvizke 0 5 4 6 2 1 3
gkvizek 0 5 4 6 2 3 1
gkviekz 0 5 4 6 3 1 2
gkviezk 0 5 4 6 3 2 1
gkikzev 0 5 6 1 2 3 4
gkikzve 0 5 6 1 2 4 3
gkikezv 0 5 6 1 3 2 4
gkikevz 0 5 6 1 3 4 2
gkikvze 0 5 6 1 4 2 3
gkikvez 0 5 6 1 4 3 2
gkizkev 0 5 6 2 1 3 4
gkizkve 0 5 6 2 1 4 3
gkizekv 0 5 6 2 3 1 4
gkizevk 0 5 6 2 3 4 1
gkizvke 0 5 6 2 4 1 3
gkizvek 0 5 6 2 4 3 1
gkiekzv 0 5 6 3 1 2 4
gkiekvz 0 5 6 3 1 4 2
gkiezkv 0 5 6 3 2 1 4
gkiezvk 0 5 6 3 2 4 1
gkievkz 0 5 6 3 4 1 2
gkievzk 0 5 6 3 4 2 1
gkivkze 0 5 6 4 1 2 3
gkivkez 0 5 6 4 1 3 2
gkivzke 0 5 6 4 2 1 3
gkivzek 0 5 6 4 2 3 1
gkivekz 0 5 6 4 3 1 2
gkivezk 0 5 6 4 3 2 1
gikzevk 0 6 1 2 3 4 5
gikzekv 0 6 1 2 3 5 4
gikzvek 0 6 1 2 4 3 5
gikzvke 0 6 1 2 4 5 3
gikzkev 0 6 1 2 5 3 4
gikzkve 0 6 1 2 5 4 3
gikezvk 0 6 1 3 2 4 5
gikezkv 0 6 1 3 2 5 4
gikevzk 0 6 1 3 4 2 5
gikevkz 0 6 1 3 4 5 2
gikekzv 0 6 1 3 5 2 4
gikekvz 0 6 1 3 5 4 2
gikvzek 0 6 1 4 2 3 5
gikvzke 0 6 1 4 2 5 3
gikvezk 0 6 1 4 3 2 5
gikvekz 0 6 1 4 3 5 2
gikvkze 0 6 1 4 5 2 3
gikvkez 0 6 1 4 5 3 2
gikkzev 0 6 1 5 2 3 4
gikkzve 0 6 1 5 2 4 3
gikkezv 0 6 1 5 3 2 4
gikkevz 0 6 1 5 3 4 2
gikkvze 0 6 1 5 4 2 3
gikkvez 0 6 1 5 4 3 2
gizkevk 0 6 2 1 3 4 5
gizkekv 0 6 2 1 3 5 4
gizkvek 0 6 2 1 4 3 5
gizkvke 0 6 2 1 4 5 3
gizkkev 0 6 2 1 5 3 4
gizkkve 0 6 2 1 5 4 3
gizekvk 0 6 2 3 1 4 5
gizekkv 0 6 2 3 1 5 4
gizevkk 0 6 2 3 4 1 5
gizevkk 0 6 2 3 4 5 1
gizekkv 0 6 2 3 5 1 4
gizekvk 0 6 2 3 5 4 1
gizvkek 0 6 2 4 1 3 5
gizvkke 0 6 2 4 1 5 3
gizvekk 0 6 2 4 3 1 5
gizvekk 0 6 2 4 3 5 1
gizvkke 0 6 2 4 5 1 3
gizvkek 0 6 2 4 5 3 1
gizkkev 0 6 2 5 1 3 4
gizkkve 0 6 2 5 1 4 3
gizkekv 0 6 2 5 3 1 4
gizkevk 0 6 2 5 3 4 1
gizkvke 0 6 2 5 4 1 3
gizkvek 0 6 2 5 4 3 1
giekzvk 0 6 3 1 2 4 5
giekzkv 0 6 3 1 2 5 4
giekvzk 0 6 3 1 4 2 5
giekvkz 0 6 3 1 4 5 2
giekkzv 0 6 3 1 5 2 4
giekkvz 0 6 3 1 5 4 2
giezkvk 0 6 3 2 1 4 5
giezkkv 0 6 3 2 1 5 4
giezvkk 0 6 3 2 4 1 5
giezvkk 0 6 3 2 4 5 1
giezkkv 0 6 3 2 5 1 4
giezkvk 0 6 3 2 5 4 1
gievkzk 0 6 3 4 1 2 5
gievkkz 0 6 3 4 1 5 2
gievzkk 0 6 3 4 2 1 5
gievzkk 0 6 3 4 2 5 1
gievkkz 0 6 3 4 5 1 2
gievkzk 0 6 3 4 5 2 1
giekkzv 0 6 3 5 1 2 4
giekkvz 0 6 3 5 1 4 2
giekzkv 0 6 3 5 2 1 4
giekzvk 0 6 3 5 2 4 1
giekvkz 0 6 3 5 4 1 2
giekvzk 0 6 3 5 4 2 1
givkzek 0 6 4 1 2 3 5
givkzke 0 6 4 1 2 5 3
givkezk 0 6 4 1 3 2 5
givkekz 0 6 4 1 3 5 2
givkkze 0 6 4 1 5 2 3
givkkez 0 6 4 1 5 3 2
givzkek 0 6 4 2 1 3 5
givzkke 0 6 4 2 1 5 3
givzekk 0 6 4 2 3 1 5
givzekk 0 6 4 2 3 5 1
givzkke 0 6 4 2 5 1 3
givzkek 0 6 4 2 5 3 1
givekzk 0 6 4 3 1 2 5
givekkz 0 6 4 3 1 5 2
givezkk 0 6 4 3 2 1 5
