Shift: 22
wapulay 0 1 2 3 4 5 6
wpuyaal 0 2 3 6 5 1 4
wpuyala 0 2 3 6 5 4 1
wplauay 0 2 4 1 3 5 6
wplauya 0 2 4 1 3 6 5
wplaauy 0 2 4 1 5 3 6
wplaayu 0 2 4 1 5 6 3
wplayua 0 2 4 1 6 3 5
wplayau 0 2 4 1 6 5 3
wpluaay 0 2 4 3 1 5 6
wpluaya 0 2 4 3 1 6 5
wpluaay 0 2 4 3 5 1 6
wpluaya 0 2 4 3 5 6 1
wpluyaa 0 2 4 3 6 1 5
wpluyaa 0 2 4 3 6 5 1
wplaauy 0 2 4 5 1 3 6
wplaayu 0 2 4 5 1 6 3
wplauay 0 2 4 5 3 1 6
wplauya 0 2 4 5 3 6 1
wplayau 0 2 4 5 6 1 3
wplayua 0 2 4 5 6 3 1
wplyaua 0 2 4 6 1 3 5
wplyaau 0 2 4 6 1 5 3
wplyuaa 0 2 4 6 3 1 5
wplyuaa 0 2 4 6 3 5 1
wplyaau 0 2 4 6 5 1 3
wplyaua 0 2 4 6 5 3 1
wpaauly 0 2 5 1 3 4 6
wpaauyl 0 2 5 1 3 6 4
wpaaluy 0 2 5 1 4 3 6
wpaalyu 0 2 5 1 4 6 3
wpaayul 0 2 5 1 6 3 4
wpaaylu 0 2 5 1 6 4 3
wpaualy 0 2 5 3 1 4 6
wpauayl 0 2 5 3 1 6 4
wpaulay 0 2 5 3 4 1 6
wpaulya 0 2 5 3 4 6 1
wpauyal 0 2 5 3 6 1 4
wpauyla 0 2 5 3 6 4 1
wpalauy 0 2 5 4 1 3 6
wpalayu 0 2 5 4 1 6 3
wpaluay 0 2 5 4 3 1 6
wpaluya 0 2 5 4 3 6 1
wpalyau 0 2 5 4 6 1 3
wpalyua 0 2 5 4 6 3 1
wpayaul 0 2 5 6 1 3 4
wpayalu 0 2 5 6 1 4 3
wpayual 0 2 5 6 3 1 4
wpayula 0 2 5 6 3 4 1
wpaylau 0 2 5 6 4 1 3
wpaylua 0 2 5 6 4 3 1
wpyaula 0 2 6 1 3 4 5
wpyaual 0 2 6 1 3 5 4
wpyalua 0 2 6 1 4 3 5
wpyalau 0 2 6 1 4 5 3
wpyaaul 0 2 6 1 5 3 4
wpyaalu 0 2 6 1 5 4 3
wpyuala 0 2 6 3 1 4 5
wpyuaal 0 2 6 3 1 5 4
wpyulaa 0 2 6 3 4 1 5
wpyulaa 0 2 6 3 4 5 1
wpyuaal 0 2 6 3 5 1 4
wpyuala 0 2 6 3 5 4 1
wpylaua 0 2 6 4 1 3 5
wpylaau 0 2 6 4 1 5 3
wpyluaa 0 2 6 4 3 1 5
wpyluaa 0 2 6 4 3 5 1
wpylaau 0 2 6 4 5 1 3
wpylaua 0 2 6 4 5 3 1
wpyaaul 0 2 6 5 1 3 4
wpyaalu 0 2 6 5 1 4 3
wpyaual 0 2 6 5 3 1 4
wpyaula 0 2 6 5 3 4 1
wpyalau 0 2 6 5 4 1 3
wpyalua 0 2 6 5 4 3 1
wuaplay 0 3 1 2 4 5 6
wuaplya 0 3 1 2 4 6 5
wuapaly 0 3 1 2 5 4 6
wuapayl 0 3 1 2 5 6 4
wuapyla 0 3 1 2 6 4 5
wuapyal 0 3 1 2 6 5 4
wualpay 0 3 1 4 2 5 6
wualpya 0 3 1 4 2 6 5
wualapy 0 3 1 4 5 2 6
wualayp 0 3 1 4 5 6 2
wualypa 0 3 1 4 6 2 5
wualyap 0 3 1 4 6 5 2
wuaaply 0 3 1 5 2 4 6
wuaapyl 0 3 1 5 2 6 4
wuaalpy 0 3 1 5 4 2 6
wuaalyp 0 3 1 5 4 6 2
wuaaypl 0 3 1 5 6 2 4
wuaaylp 0 3 1 5 6 4 2
wuaypla 0 3 1 6 2 4 5
wuaypal 0 3 1 6 2 5 4
wuaylpa 0 3 1 6 4 2 5
wuaylap 0 3 1 6 4 5 2
wuayapl 0 3 1 6 5 2 4
wuayalp 0 3 1 6 5 4 2
wupalay 0 3 2 1 4 5 6
wupalya 0 3 2 1 4 6 5
wupaaly 0 3 2 1 5 4 6
wupaayl 0 3 2 1 5 6 4
wupayla 0 3 2 1 6 4 5
wupayal 0 3 2 1 6 5 4
wuplaay 0 3 2 4 1 5 6
wuplaya 0 3 2 4 1 6 5
wuplaay 0 3 2 4 5 1 6
wuplaya 0 3 2 4 5 6 1
wuplyaa 0 3 2 4 6 1 5
wuplyaa 0 3 2 4 6 5 1
wupaaly 0 3 2 5 1 4 6
wupaayl 0 3 2 5 1 6 4
wupalay 0 3 2 5 4 1 6
wupalya 0 3 2 5 4 6 1
wupayal 0 3 2 5 6 1 4
wupayla 0 3 2 5 6 4 1
wupyala 0 3 2 6 1 4 5
wupyaal 0 3 2 6 1 5 4
wupylaa 0 3 2 6 4 1 5
wupylaa 0 3 2 6 4 5 1
wupyaal 0 3 2 6 5 1 4
wupyala 0 3 2 6 5 4 1
wulapay 0 3 4 1 2 5 6
wulapya 0 3 4 1 2 6 5
wulaapy 0 3 4 1 5 2 6
wulaayp 0 3 4 1 5 6 2
wulaypa 0 3 4 1 6 2 5
wulayap 0 3 4 1 6 5 2
wulpaay 0 3 4 2 1 5 6
wulpaya 0 3 4 2 1 6 5
wulpaay 0 3 4 2 5 1 6
wulpaya 0 3 4 2 5 6 1
wulpyaa 0 3 4 2 6 1 5
wulpyaa 0 3 4 2 6 5 1
wulaapy 0 3 4 5 1 2 6
wulaayp 0 3 4 5 1 6 2
wulapay 0 3 4 5 2 1 6
wulapya 0 3 4 5 2 6 1
wulayap 0 3 4 5 6 1 2
wulaypa 0 3 4 5 6 2 1
wulyapa 0 3 4 6 1 2 5
wulyaap 0 3 4 6 1 5 2
wulypaa 0 3 4 6 2 1 5
wulypaa 0 3 4 6 2 5 1
wulyaap 0 3 4 6 5 1 2
wulyapa 0 3 4 6 5 2 1
wuaaply 0 3 5 1 2 4 6
wuaapyl 0 3 5 1 2 6 4
wuaalpy 0 3 5 1 4 2 6
wuaalyp 0 3 5 1 4 6 2
wuaaypl 0 3 5 1 6 2 4
wuaaylp 0 3 5 1 6 4 2
wuapaly 0 3 5 2 1 4 6
wuapayl 0 3 5 2 1 6 4
wuaplay 0 3 5 2 4 1 6
wuaplya 0 3 5 2 4 6 1
wuapyal 0 3 5 2 6 1 4
wuapyla 0 3 5 2 6 4 1
wualapy 0 3 5 4 1 2 6
wualayp 0 3 5 4 1 6 2
wualpay 0 3 5 4 2 1 6
wualpya 0 3 5 4 2 6 1
wualyap 0 3 5 4 6 1 2
wualypa 0 3 5 4 6 2 1
wuayapl 0 3 5 6 1 2 4
wuayalp 0 3 5 6 1 4 2
wuaypal 0 3 5 6 2 1 4
wuaypla 0 3 5 6 2 4 1
wuaylap 0 3 5 6 4 1 2
wuaylpa 0 3 5 6 4 2 1
wuyapla 0 3 6 1 2 4 5
wuyapal 0 3 6 1 2 5 4
wuyalpa 0 3 6 1 4 2 5
wuyalap 0 3 6 1 4 5 2
wuyaapl 0 3 6 1 5 2 4
wuyaalp 0 3 6 1 5 4 2
wuypala 0 3 6 2 1 4 5
wuypaal 0 3 6 2 1 5 4
wuyplaa 0 3 6 2 4 1 5
wuyplaa 0 3 6 2 4 5 1
wuypaal 0 3 6 2 5 1 4
wuypala 0 3 6 2 5 4 1
wuylapa 0 3 6 4 1 2 5
wuylaap 0 3 6 4 1 5 2
wuylpaa 0 3 6 4 2 1 5
wuylpaa 0 3 6 4 2 5 1
wuylaap 0 3 6 4 5 1 2
wuylapa 0 3 6 4 5 2 1
wuyaapl 0 3 6 5 1 2 4
wuyaalp 0 3 6 5 1 4 2
wuyapal 0 3 6 5 2 1 4
wuyapla 0 3 6 5 2 4 1
wuyalap 0 3 6 5 4 1 2
wuyalpa 0 3 6 5 4 2 1
wlapuay 0 4 1 2 3 5 6
wlapuya 0 4 1 2 3 6 5
wlapauy 0 4 1 2 5 3 6
wlapayu 0 4 1 2 5 6 3
wlapyua 0 4 1 2 6 3 5
wlapyau 0 4 1 2 6 5 3
wlaupay 0 4 1 3 2 5 6
wlaupya 0 4 1 3 2 6 5
wlauapy 0 4 1 3 5 2 6
wlauayp 0 4 1 3 5 6 2
wlauypa 0 4 1 3 6 2 5
wlauyap 0 4 1 3 6 5 2
wlaapuy 0 4 1 5 2 3 6
wlaapyu 0 4 1 5 2 6 3
wlaaupy 0 4 1 5 3 2 6
wlaauyp 0 4 1 5 3 6 2
wlaaypu 0 4 1 5 6 2 3
wlaayup 0 4 1 5 6 3 2
wlaypua 0 4 1 6 2 3 5
wlaypau 0 4 1 6 2 5 3
wlayupa 0 4 1 6 3 2 5
wlayuap 0 4 1 6 3 5 2
wlayapu 0 4 1 6 5 2 3
wlayaup 0 4 1 6 5 3 2
wlpauay 0 4 2 1 3 5 6
wlpauya 0 4 2 1 3 6 5
wlpaauy 0 4 2 1 5 3 6
wlpaayu 0 4 2 1 5 6 3
wlpayua 0 4 2 1 6 3 5
wlpayau 0 4 2 1 6 5 3
wlpuaay 0 4 2 3 1 5 6
wlpuaya 0 4 2 3 1 6 5
wlpuaay 0 4 2 3 5 1 6
wlpuaya 0 4 2 3 5 6 1
wlpuyaa 0 4 2 3 6 1 5
wlpuyaa 0 4 2 3 6 5 1
wlpaauy 0 4 2 5 1 3 6
wlpaayu 0 4 2 5 1 6 3
wlpauay 0 4 2 5 3 1 6
wlpauya 0 4 2 5 3 6 1
wlpayau 0 4 2 5 6 1 3
wlpayua 0 4 2 5 6 3 1
wlpyaua 0 4 2 6 1 3 5
wlpyaau 0 4 2 6 1 5 3
wlpyuaa 0 4 2 6 3 1 5
wlpyuaa 0 4 2 6 3 5 1
wlpyaau 0 4 2 6 5 1 3
wlpyaua 0 4 2 6 5 3 1
wluapay 0 4 3 1 2 5 6
wluapya 0 4 3 1 2 6 5
wluaapy 0 4 3 1 5 2 6
wluaayp 0 4 3 1 5 6 2
wluaypa 0 4 3 1 6 2 5
wluayap 0 4 3 1 6 5 2
wlupaay 0 4 3 2 1 5 6
wlupaya 0 4 3 2 1 6 5
wlupaay 0 4 3 2 5 1 6
wlupaya 0 4 3 2 5 6 1
wlupyaa 0 4 3 2 6 1 5
wlupyaa 0 4 3 2 6 5 1
wluaapy 0 4 3 5 1 2 6
wluaayp 0 4 3 5 1 6 2
wluapay 0 4 3 5 2 1 6
wluapya 0 4 3 5 2 6 1
wluayap 0 4 3 5 6 1 2
wluaypa 0 4 3 5 6 2 1
wluyapa 0 4 3 6 1 2 5
wluyaap 0 4 3 6 1 5 2
wluypaa 0 4 3 6 2 1 5
wluypaa 0 4 3 6 2 5 1
wluyaap 0 4 3 6 5 1 2
wluyapa 0 4 3 6 5 2 1
wlaapuy 0 4 5 1 2 3 6
wlaapyu 0 4 5 1 2 6 3
wlaaupy 0 4 5 1 3 2 6
wlaauyp 0 4 5 1 3 6 2
wlaaypu 0 4 5 1 6 2 3
wlaayup 0 4 5 1 6 3 2
wlapauy 0 4 5 2 1 3 6
wlapayu 0 4 5 2 1 6 3
wlapuay 0 4 5 2 3 1 6
wlapuya 0 4 5 2 3 6 1
wlapyau 0 4 5 2 6 1 3
wlapyua 0 4 5 2 6 3 1
wlauapy 0 4 5 3 1 2 6
wlauayp 0 4 5 3 1 6 2
wlaupay 0 4 5 3 2 1 6
wlaupya 0 4 5 3 2 6 1
wlauyap 0 4 5 3 6 1 2
wlauypa 0 4 5 3 6 2 1
wlayapu 0 4 5 6 1 2 3
wlayaup 0 4 5 6 1 3 2
wlaypau 0 4 5 6 2 1 3
wlaypua 0 4 5 6 2 3 1
wlayuap 0 4 5 6 3 1 2
wlayupa 0 4 5 6 3 2 1
wlyapua 0 4 6 1 2 3 5
wlyapau 0 4 6 1 2 5 3
wlyaupa 0 4 6 1 3 2 5
wlyauap 0 4 6 1 3 5 2
wlyaapu 0 4 6 1 5 2 3
wlyaaup 0 4 6 1 5 3 2
wlypaua 0 4 6 2 1 3 5
wlypaau 0 4 6 2 1 5 3
wlypuaa 0 4 6 2 3 1 5
wlypuaa 0 4 6 2 3 5 1
wlypaau 0 4 6 2 5 1 3
wlypaua 0 4 6 2 5 3 1
wlyuapa 0 4 6 3 1 2 5
wlyuaap 0 4 6 3 1 5 2
wlyupaa 0 4 6 3 2 1 5
wlyupaa 0 4 6 3 2 5 1
wlyuaap 0 4 6 3 5 1 2
wlyuapa 0 4 6 3 5 2 1
wlyaapu 0 4 6 5 1 2 3
wlyaaup 0 4 6 5 1 3 2
wlyapau 0 4 6 5 2 1 3
wlyapua 0 4 6 5 2 3 1
wlyauap 0 4 6 5 3 1 2
wlyaupa 0 4 6 5 3 2 1
waapuly 0 5 1 2 3 4 6
waapuyl 0 5 1 2 3 6 4
waapluy 0 5 1 2 4 3 6
waaplyu 0 5 1 2 4 6 3
waapyul 0 5 1 2 6 3 4
waapylu 0 5 1 2 6 4 3
waauply 0 5 1 3 2 4 6
waaupyl 0 5 1 3 2 6 4
waaulpy 0 5 1 3 4 2 6
waaulyp 0 5 1 3 4 6 2
waauypl 0 5 1 3 6 2 4
waauylp 0 5 1 3 6 4 2
waalpuy 0 5 1 4 2 3 6
waalpyu 0 5 1 4 2 6 3
waalupy 0 5 1 4 3 2 6
waaluyp 0 5 1 4 3 6 2
waalypu 0 5 1 4 6 2 3
waalyup 0 5 1 4 6 3 2
waaypul 0 5 1 6 2 3 4
waayplu 0 5 1 6 2 4 3
waayupl 0 5 1 6 3 2 4
waayulp 0 5 1 6 3 4 2
waaylpu 0 5 1 6 4 2 3
waaylup 0 5 1 6 4 3 2
wapauly 0 5 2 1 3 4 6
wapauyl 0 5 2 1 3 6 4
wapaluy 0 5 2 1 4 3 6
wapalyu 0 5 2 1 4 6 3
wapayul 0 5 2 1 6 3 4
wapaylu 0 5 2 1 6 4 3
wapualy 0 5 2 3 1 4 6
wapuayl 0 5 2 3 1 6 4
wapulay 0 5 2 3 4 1 6
wapulya 0 5 2 3 4 6 1
wapuyal 0 5 2 3 6 1 4
wapuyla 0 5 2 3 6 4 1
waplauy 0 5 2 4 1 3 6
waplayu 0 5 2 4 1 6 3
wapluay 0 5 2 4 3 1 6
wapluya 0 5 2 4 3 6 1
waplyau 0 5 2 4 6 1 3
waplyua 0 5 2 4 6 3 1
wapyaul 0 5 2 6 1 3 4
wapyalu 0 5 2 6 1 4 3
wapyual 0 5 2 6 3 1 4
wapyula 0 5 2 6 3 4 1
wapylau 0 5 2 6 4 1 3
wapylua 0 5 2 6 4 3 1
wauaply 0 5 3 1 2 4 6
wauapyl 0 5 3 1 2 6 4
waualpy 0 5 3 1 4 2 6
waualyp 0 5 3 1 4 6 2
wauaypl 0 5 3 1 6 2 4
wauaylp 0 5 3 1 6 4 2
waupaly 0 5 3 2 1 4 6
waupayl 0 5 3 2 1 6 4
wauplay 0 5 3 2 4 1 6
wauplya 0 5 3 2 4 6 1
waupyal 0 5 3 2 6 1 4
waupyla 0 5 3 2 6 4 1
waulapy 0 5 3 4 1 2 6
waulayp 0 5 3 4 1 6 2
waulpay 0 5 3 4 2 1 6
waulpya 0 5 3 4 2 6 1
waulyap 0 5 3 4 6 1 2
waulypa 0 5 3 4 6 2 1
wauyapl 0 5 3 6 1 2 4
wauyalp 0 5 3 6 1 4 2
wauypal 0 5 3 6 2 1 4
wauypla 0 5 3 6 2 4 1
wauylap 0 5 3 6 4 1 2
wauylpa 0 5 3 6 4 2 1
walapuy 0 5 4 1 2 3 6
walapyu 0 5 4 1 2 6 3
walaupy 0 5 4 1 3 2 6
walauyp 0 5 4 1 3 6 2
walaypu 0 5 4 1 6 2 3
walayup 0 5 4 1 6 3 2
walpauy 0 5 4 2 1 3 6
walpayu 0 5 4 2 1 6 3
walpuay 0 5 4 2 3 1 6
walpuya 0 5 4 2 3 6 1
walpyau 0 5 4 2 6 1 3
walpyua 0 5 4 2 6 3 1
waluapy 0 5 4 3 1 2 6
waluayp 0 5 4 3 1 6 2
walupay 0 5 4 3 2 1 6
walupya 0 5 4 3 2 6 1
waluyap 0 5 4 3 6 1 2
waluypa 0 5 4 3 6 2 1
walyapu 0 5 4 6 1 2 3
walyaup 0 5 4 6 1 3 2
walypau 0 5 4 6 2 1 3
walypua 0 5 4 6 2 3 1
walyuap 0 5 4 6 3 1 2
walyupa 0 5 4 6 3 2 1
wayapul 0 5 6 1 2 3 4
wayaplu 0 5 6 1 2 4 3
wayaupl 0 5 6 1 3 2 4
wayaulp 0 5 6 1 3 4 2
wayalpu 0 5 6 1 4 2 3
wayalup 0 5 6 1 4 3 2
waypaul 0 5 6 2 1 3 4
waypalu 0 5 6 2 1 4 3
waypual 0 5 6 2 3 1 4
waypula 0 5 6 2 3 4 1
wayplau 0 5 6 2 4 1 3
wayplua 0 5 6 2 4 3 1
wayuapl 0 5 6 3 1 2 4
wayualp 0 5 6 3 1 4 2
wayupal 0 5 6 3 2 1 4
wayupla 0 5 6 3 2 4 1
wayulap 0 5 6 3 4 1 2
wayulpa 0 5 6 3 4 2 1
waylapu 0 5 6 4 1 2 3
waylaup 0 5 6 4 1 3 2
waylpau 0 5 6 4 2 1 3
waylpua 0 5 6 4 2 3 1
wayluap 0 5 6 4 3 1 2
waylupa 0 5 6 4 3 2 1
wyapula 0 6 1 2 3 4 5
wyapual 0 6 1 2 3 5 4
wyaplua 0 6 1 2 4 3 5
wyaplau 0 6 1 2 4 5 3
wyapaul 0 6 1 2 5 3 4
wyapalu 0 6 1 2 5 4 3
wyaupla 0 6 1 3 2 4 5
wyaupal 0 6 1 3 2 5 4
wyaulpa 0 6 1 3 4 2 5
wyaulap 0 6 1 3 4 5 2
wyauapl 0 6 1 3 5 2 4
wyaualp 0 6 1 3 5 4 2
wyalpua 0 6 1 4 2 3 5
wyalpau 0 6 1 4 2 5 3
wyalupa 0 6 1 4 3 2 5
wyaluap 0 6 1 4 3 5 2
wyalapu 0 6 1 4 5 2 3
wyalaup 0 6 1 4 5 3 2
wyaapul 0 6 1 5 2 3 4
wyaaplu 0 6 1 5 2 4 3
wyaaupl 0 6 1 5 3 2 4
wyaaulp 0 6 1 5 3 4 2
wyaalpu 0 6 1 5 4 2 3
wyaalup 0 6 1 5 4 3 2
wypaula 0 6 2 1 3 4 5
wypaual 0 6 2 1 3 5 4
wypalua 0 6 2 1 4 3 5
wypalau 0 6 2 1 4 5 3
wypaaul 0 6 2 1 5 3 4
wypaalu 0 6 2 1 5 4 3
wypuala 0 6 2 3 1 4 5
wypuaal 0 6 2 3 1 5 4
wypulaa 0 6 2 3 4 1 5
wypulaa 0 6 2 3 4 5 1
wypuaal 0 6 2 3 5 1 4
wypuala 0 6 2 3 5 4 1
wyplaua 0 6 2 4 1 3 5
wyplaau 0 6 2 4 1 5 3
wypluaa 0 6 2 4 3 1 5
wypluaa 0 6 2 4 3 5 1
wyplaau 0 6 2 4 5 1 3
wyplaua 0 6 2 4 5 3 1
wypaaul 0 6 2 5 1 3 4
wypaalu 0 6 2 5 1 4 3
wypaual 0 6 2 5 3 1 4
wypaula 0 6 2 5 3 4 1
wypalau 0 6 2 5 4 1 3
wypalua 0 6 2 5 4 3 1
wyuapla 0 6 3 1 2 4 5
wyuapal 0 6 3 1 2 5 4
wyualpa 0 6 3 1 4 2 5
wyualap 0 6 3 1 4 5 2
wyuaapl 0 6 3 1 5 2 4
wyuaalp 0 6 3 1 5 4 2
wyupala 0 6 3 2 1 4 5
wyupaal 0 6 3 2 1 5 4
wyuplaa 0 6 3 2 4 1 5
wyuplaa 0 6 3 2 4 5 1
wyupaal 0 6 3 2 5 1 4
wyupala 0 6 3 2 5 4 1
wyulapa 0 6 3 4 1 2 5
wyulaap 0 6 3 4 1 5 2
wyulpaa 0 6 3 4 2 1 5
wyulpaa 0 6 3 4 2 5 1
wyulaap 0 6 3 4 5 1 2
wyulapa 0 6 3 4 5 2 1
wyuaapl 0 6 3 5 1 2 4
wyuaalp 0 6 3 5 1 4 2
wyuapal 0 6 3 5 2 1 4
wyuapla 0 6 3 5 2 4 1
wyualap 0 6 3 5 4 1 2
wyualpa 0 6 3 5 4 2 1
wylapua 0 6 4 1 2 3 5
wylapau 0 6 4 1 2 5 3
wylaupa 0 6 4 1 3 2 5
wylauap 0 6 4 1 3 5 2
wylaapu 0 6 4 1 5 2 3
wylaaup 0 6 4 1 5 3 2
wylpaua 0 6 4 2 1 3 5
wylpaau 0 6 4 2 1 5 3
wylpuaa 0 6 4 2 3 1 5
wylpuaa 0 6 4 2 3 5 1
wylpaau 0 6 4 2 5 1 3
wylpaua 0 6 4 2 5 3 1
wyluapa 0 6 4 3 1 2 5
wyluaap 0 6 4 3 1 5 2
wylupaa 0 6 4 3 2 1 5
wylupaa 0 6 4 3 2 5 1
wyluaap 0 6 4 3 5 1 2
wyluapa 0 6 4 3 5 2 1
wylaapu 0 6 4 5 1 2 3
wylaaup 0 6 4 5 1 3 2
wylapau 0 6 4 5 2 1 3
wylapua 0 6 4 5 2 3 1
wylauap 0 6 4 5 3 1 2
wylaupa 0 6 4 5 3 2 1
wyaapul 0 6 5 1 2 3 4
wyaaplu 0 6 5 1 2 4 3
wyaaupl 0 6 5 1 3 2 4
wyaaulp 0 6 5 1 3 4 2
wyaalpu 0 6 5 1 4 2 3
wyaalup 0 6 5 1 4 3 2
wyapaul 0 6 5 2 1 3 4
wyapalu 0 6 5 2 1 4 3
wyapual 0 6 5 2 3 1 4
