fgffffffffffffff luigkqlgjtlhlrmu
fglmffffffffffff lughffjrghfihrfn
fglnffffffffffff lujplngljfmpgrll
fgloffffffffffff lukiknkgkjlplrkj
fglpffffffffffff lufnjkkikjglmojs
fglqffffffffffff luipkugnfiikjtht
fglrffffffffffff lujjlhingfiuktgp
fglsffffffffffff lulnjgluflfqlflf
fgltffffffffffff luinijhikjimhkir
fgluffffffffffff lukfksjjjfismnio
fgmfffffffffffff luknjtiqksmtjjhg
fgmgffffffffffff lufsgljulmgufmmq
fgmhffffffffffff lugqkrfkgnjnjljm
fgmiffffffffffff lulrikftfrjrfflf
fgmjffffffffffff lujifklpmpgijfms
fgmkffffffffffff luhufpfmmfltljii
fgmlffffffffffff luhrkokhmgjufuhk
fgmmffffffffffff lullkgfoiufilplm
fgmnffffffffffff lumhiqlniqfrkmmr
fgmoffffffffffff luhfhugfitkomokk
fgmpffffffffffff luimigimjkhtjugl
fgmqffffffffffff lumqfhjlkrjufukg
fgmrffffffffffff lugimgfigtjhfilt
fgmsffffffffffff lukrlulsghklfhlq
fgmtffffffffffff lumshlmrfogmjrmo
fgmuffffffffffff lummjghlgijlhgmi
